Sysnet,POS,Predicted
"b'koji imati potreban sposobnost , ve\xc5\xa1tina ili znanje da ne\xc5\xa1to uraditi . '",1,0
b'uhvatiti ; i metafori\xc4\x8dki . ',0,1
b'TN ',0,1
b'vodnica ',0,1
b'hard-shell clams ',0,1
"b'osoba koji donositi , menjati ili odbijati zakon . '",0,1
b'Omota\xc4\x8d koji trebati da za\xc5\xa1tititi ne\xc5\xa1to od o\xc5\xa1te\xc4\x87ivanje ili povreda . ',1,0
b'ne pridr\xc5\xbeavanje moralan princip . ',0,1
b'sjediniti ili spojiti ',0,1
b'gepard ',0,1
b'radnja koji karakterisati dobro raspolo\xc5\xbeenje ',1,0
b'osoba koji vladati ili koamnduje . ',0,1
b'pridat zna\xc4\x8denje ne\xc5\xa1to . ',0,1
b'izgled koji predo\xc4\x8davati lice osoba . ',0,1
b'urezivati izbojak pitom biljka u divljak ',0,1
b'odrediti vrednost ne\xc5\xa1to . ',0,1
b'istrajati ili uspevati . ',0,1
"b'osobina onaj koji ne odustajati od svoj ideja , ose\xc4\x87anje ili namera '",1,0
b'tukan ',0,1
b'nabasati na neki nespreman . ',0,1
b'podvrgnuti nedobronamernom smeh . ',0,1
b'\xc4\x8depac ',0,1
b'postati stabilan ili stabilan . ',1,0
b'koji proizvoditi ili jesam sposoban da proizvesti nameravan rezultat ili koji proizvoditi izuzetan efekt . ',1,0
"b'u skolastika , jedan od \xc4\x8detiri vrlina koji dolaziti od priroda . '",1,0
b'naneti neki nepravda ',0,1
b'gladiola . ',0,1
b'GM ',0,1
b'osoba koji prosu\xc4\x91ivati ',0,1
b'boginja ljubav i lepota ; \xc4\x87erka Zevs u drevan mitologija ; poveyana sa rimski Venera ',0,1
b'koji ose\xc4\x87ati nadolaze\xc4\x87i opasnost ',0,1
"b'koji karakeri\xc5\xa1e ili koji pokazivati odbijanje , poricanje ili suprotstavljanje ; koji nemati pozitivan svojstvo . '",0,1
b'peti ',0,1
b'Biserka ',0,1
b'sposobnost postojanje ili delovanje u harmoni\xc4\x8dan ili uskla\xc4\x91en kombijaciji ',1,0
b'udeo u profit ',0,1
b'Spolja\xc5\xa1nji ili vidljiv aspekt osoba ili stvar . ',0,1
b'biskupov teritorijalan jurisdikcija . ',0,1
b'osoba ili firma koji zapo\xc5\xa1ljavati radnik ',0,1
b'pakujac ',0,1
b'\xc4\x8cin izumljavanja . ',0,1
b'Op\xc5\xa1te stanje u koji se stvar nalaziti . ',0,1
b'anakonda ',0,1
b'U\xc4\x8diniti \xc4\x8distiti uklanjanje prljav\xc5\xa1tina ili ne\xc5\xbeeljen supstanca . ',1,0
b'misija koji imati diplomatski cilj . ',0,1
b'salamander . ',0,1
b'\xc5\xa0ljuke . ',0,1
b'koji se oslanjati na nadrilekarstvo ',0,1
b'impulsivan \xc5\xa1ta izgovoriti ',0,1
b'tungovo dvo ',0,1
b'anga\xc5\xbeovati ili unajmiti za neki posao ',1,0
b'osobina ljudi da verovati u po\xc5\xa1tenje i pouzdanost drugi ',1,0
b'PK ',0,1
b'\xc5\xa0koljka\xc5\xa1i . ',0,1
b'u\xc4\x8diniti \xc4\x8dist ili slobodan od greh ili krivica ',1,0
