X,Predicted,Real
koji motivisati briga za otklanjanje patnja drugi . ,0,1
prijateljski narav ,0,1
koji jesam saglasan sa princip i metoda koji se koristiti u nauka . ,0,1
koristiti nešto zajedno ili sa neki drugi . ,1,0
briga o razlikovanje dobar i zao ili pravedan i nepravedan ; dobar ili pravedan ponašanje ,0,1
"ustanoviti , zasnovati na zakon ili na zvanično prihvaćen pravilo ",1,0
stanje ili uslov u koji jesam neki nevin za određen zločin ili uvreda . ,0,1
preparat koji se koristiti za čišćenje nešto ,1,0
stanje zrelost ; pun razvoj . ,0,1
na nizak nivo po rang ili značaj ,1,0
stanje kada jesam neki prvi po značaj ,1,0
koji jesam pred erupcija ili izbacivati lav ( o vulkan ) ,1,0
u rimski mitologija boginja sreća i sretan slučajnost ; u grčki mitologija ona odgovarati nTiha ,0,1
veličina čiji se vrednost ne menjati ,0,1
stvoriti mišljenje o nešto ; suditi oprezno ; napraviti procena . ,1,0
Osećati snažan antipatija i odbojnost prema neki . ,1,0
imati neželjen ili negativan kvalitet ,1,0
stanje u koji jesam osoba krepak i nem telesni i duševan bolest . ,0,1
imati izvestan dimenzija . ,0,1
specijalan grupa koji jesam delegirati da razmotriti neki stvar . ,1,0
stvoriti mišljenje o nešto ili preneti stav . ,0,1
osećanje izazvati nešto čudan i iznenađujući ,0,1
Čin koji se nešto činiti čistiti . ,1,0
aktivnost štićenje neki ili nešto . ,0,1
koji odgovarati za svoj postupak . ,0,1
osobina stečen tokom čiji formativan godina ,1,0
"proširen značenje , naročito u psihološki slislu , ogledati se u jačina strast ili entuzijazam ",0,1
život životinja za razlika od život biljka ,0,1
"ličan sloboda od ropstvo , zarobljeništvo i ugnjetavanje ",0,1
zaokupiti na prijatan ili zabavan način . ,0,1
procena vrednost poslovanje . ,1,0
Pobeda dobiti na poen kada nem nokaut ( boks ) . ,1,0
Načiniti napet . ,0,1
rad koji se obavljati sa drugi radi zajednički ciljati ili koristiti ,1,0
prihvatiti neki u versaku zajednica ,1,0
biti ili činiti osnova . ,1,0
osoba koji se brina o ljudi i njihov svojina . ,1,0
"koji karakeriše ili koji pokazivati odbijanje , poricanje ili suprotstavljanje ; koji nemati pozitivan svojstvo . ",1,0
dati prednost jedan kreditor u odnos na drugi ,1,0
imati sposobnost ili moć kreativnost . ,1,0
