X,Predicted,Real
osećanje dubok ljubav i divljenje ,0,1
"koji karakterisati ili koji pokazivati prihvatanje , slaganje ili uverenost . ",0,1
stanje zadovoljstvo jer nem bolest . ,0,1
priroda ili svojstvo onaj ko jesam emocionalan . ,0,1
nagon za polni prisnost . ,0,1
koji donositi spasenje ili iskupljenje od greh ,0,1
Osećati tuga . ,1,0
pristajanje uz onaj što jesam opšte prihvaćen . ,0,1
na visok nivo po rang ili značaj ,0,1
profesor visok rang . ,0,1
koji zasluživati sažaljenje ili podsticati na sažaljenje ,1,0
"podsticati ili ohrabrivati , naročito povik ",1,0
"koji ushićivati čuti , uzbuđivati duh ili izazivati emocionalno divljenje . ",0,1
smanjiti bol ili neprijatnost ; ublažiti ,0,1
onaj koji jesam po moralan kvalitet ili izgled nalik na anđeo ili svetac ,0,1
sklonost obavljanje dobrovoljan ili dobrotvoran posao ,0,1
Nestašno ponašanje sa namera da pobuditi seksualan zanimanje . ,0,1
"koji imati veseo karkater , jesam sklon briga . ",0,1
osećanje naklonjenost ,0,1
koji ispoljavati pogodan ili povoljan uticaj ,0,1
energičan i oduševljen uživanje ,0,1
procena vrednost poslovanje . ,1,0
visok strana šta ,1,0
osećanje prijateljstvo i uvažavanje ,0,1
koji proizvoditi ili jesam sposoban da proizvoditi ( posebno u velik količina ) ,0,1
izuzetno dobar ; ovaj reč se koristiti za naglašavanje značenje drugi reč ,0,1
osećati se veselo i biti ispuniti dobar raspoloženje ,0,1
Nešto za šta se verovati da donositi sreća . ,1,0
koji osećati ili pokazivati ljubav i naklonost ,0,1
kvalitet neki ili nectega što jesam važan ili vredan pažnja . ,0,1
koristiti nešto zajedno ili sa neki drugi . ,1,0
propovedati jevanđelje ,1,0
briga o razlikovanje dobar i zao ili pravedan i nepravedan ; dobar ili pravedan ponašanje ,0,1
osobina onaj što ne zasluživati poverenje . ,1,0
biti veoma primetati . ,0,1
diviti se i čuditi nešto ,0,1
postati stabilan ili stabilan . ,0,1
sposoban za korektan i validan rezonovanje ,0,1
Jačati u snaga . ,0,1
kvalitet neki ili nešto što imati slab ili manje poželjan pozicija . ,1,0
