X,Predicted,Real
"koji izazivati iznenađenje , čuđenje ili zadivljenost ",0,1
žestok ran pristalica kakav princip ili reforma ,1,0
okarakterisan zloba ,0,1
( poetski ) muka ,0,1
kvalitet koji ne pružati zadovoljstvo čulo . ,0,1
onaj koji nemati ili ne pokazivati sažaljenje ili saosećanje . ,0,1
koji jesam moralno odbojan ili neugodan za čulo . ,0,1
Ići na put iz zadovoljstvo . ,1,0
neprijatan ili razočaravajući iznenađenje ,0,1
ispuniti divljenje i ushićenje ,0,1
"koji jesam originalan ; jesam produktivan , ne donositi ništa neobično niti sveže . ",0,1
razgnevxlen nešto nepravedan ili pogrešan ,0,1
ne biti podložan nešto . ,0,1
"koji ne tražiti , ne iziskivati specijalan nutricione potreba ",0,1
"koji jesam normalan , tipičan , uobičajen , regularan ili jesam u saglasnost sa norma . ",0,1
stanje zrelost ; pun razvoj . ,1,0
svaki šteta proisteći iz povreda prava ,0,1
Osećaj koji se doživljavati u očekivanje neki određenog bol ili opsasnosti i obično ga pratiti želja da se pobeći . ,0,1
koji jesam moralno lož ili pogrešan . ,0,1
koji drugi žeti zlo ; koji nastajati iz velik zloba ili mržnja . ,0,1
velik tuga uzrokovati gubitak voljen osoba ( posebno smrt ) . ,0,1
"biti uplašiti , plašiti se ",0,1
okrutan poslodavac koji od zaposlen tražiti da prekomeran raditi . ,0,1
koji jesam u dobar zdravlje telo ili duh . ,0,1
postupanje protiv neki drugi način rad koji se vi ne sviđati ,1,0
simptom neki fizički povreda ili poremećaj . ,0,1
koji zasluživati sažaljenje ili podsticati na sažaljenje ,0,1
škrtost koji proizilaziti iz briga za sopstven dobrobit i nepoštovanje drugi ,0,1
Čičkovac . ,0,1
koji jesam nezavisan . ,0,1
koji odrati ( po pitanje cena ) ; za šta nerazuman cena tražiti ,0,1
biti zabrinuti i prestrašiti zbog nešto ,0,1
kada nem jednakost ,0,1
svaki odstupanje od zdrav ili normanog stanje ,0,1
terapija koji lečiti bolest ili ublažavati bol . ,1,0
lišiti sloboda ; držati u zatvor ,0,1
skupina koji sarađivati . ,1,0
iznenadan napad koji uključivati nameran upotreba nasilje prema civil da biti se postignuti politički ili religiozan cilj . ,0,1
izuzetno nelagodan ,0,1
"neraspoznatljiv , nejasan obris ",0,1
kvalitet neki ili nešto što imati slab ili manje poželjan pozicija . ,0,1
žalostan zbog gubitak ili uskraćenosti ,0,1
trajno osećanje ljutina ,1,0
osećati zadovoljstvo zbog nešto ,1,0
Pokušaj da se za sebe dobiti ličan priznanje ( posebno neprihvatljiv sredstvo ) . ,0,1
svojstvo onaj koji nedostajati živost ,0,1
Osećanja koji se javljati kada osoba jesam u srećan stanje . ,0,1
"nešto što jesam sigurno , što jesam pod sumnja ",1,0
uništiti kakav raspored ili redosled ,1,0
taj neprekidan nerazumljiv zvuk ; obično ga pratiti kretanje usna koji ne proivodi artikulisan govor . ,0,1
