X,Predicted,Real
čin okajanja greh ili nepravda ( naročito putem umirivanje božanstvo ) ,1,0
nepokolebljiv verovanje u nešto bez potreba za dokaz ili nalaz ,0,1
stanje kada jesam učiniti prekršaj . ,0,1
staviti na kocka u nada za povoljan ishod . ,0,1
koji jesam kreativan . ,0,1
"koji jesam normalan , tipičan , uobičajen , regularan ili jesam u saglasnost sa norma . ",0,1
nepravedan postupanje prema neki osoba ili grupa na osnova predrasuda . ,0,1
Osećanja koji se javljati kada osoba jesam u srećan stanje . ,0,1
koji osećati ili ispoljavati kajanje zbog nedelo ,0,1
koji jesam intelektualan . ,0,1
podsticati neki da počiniti zločin ili neki krivičan delo ,0,1
Oštećenje normalan fiziološki funkcija koji pogađati deo ili ceo organizam . ,1,0
razgnevxlen nešto nepravedan ili pogrešan ,0,1
zgrada u koji se vršiti likvidacija životinja radi proizvodnja meso ,0,1
patiti od nešto ; bolovati od nešto . ,0,1
lišiti život ,1,0
koji odražavati sumornost i smrknutost ,0,1
Ispuštati vonj . ,0,1
osoba koji jesam imati neki pozicija koji više nemati ,1,0
Hava Or feel a dislike Or distaste for ,0,1
"izazvati ljutnja , bes . ",1,0
Uništiti ili oštetiti na nasilan način . ,0,1
promena u nizak stanje ( manje poštovati ) ,0,1
duhovan tekst sav hrišćanski religija ,1,0
"faza u psihoseksualnom razvoj kada jesam interes dete koncentrisan na analan regija ; fiksacija u ovaj faza jesam reći dmože da dovesti do urednost , zloba , tvrdoglavost , kompulzivnosti . ",1,0
koji više nemati životan funkcija ( ili bar tako izgledati ) . ,0,1
kada nem jednakost ,0,1
ne pridržavanje moralan princip . ,1,0
stanje u koji se malo novac i materijalan dobro . ,0,1
Osećanje averzija ili antipatija . ,0,1
Čin oštećivanje nešto ili neki . ,0,1
moralno iskvariti ,0,1
"nezgoda , posebno ona koji prouzrokovati povreda ili smrt . ",0,1
koji jesam naklonjen prea nešto . ,0,1
ubijanje životinja ( za hrana ) ,1,0
iznenadan napad koji uključivati nameran upotreba nasilje prema civil da biti se postignuti politički ili religiozan cilj . ,0,1
svaki odstupanje od zdrav ili normanog stanje ,0,1
nedoličan ili nemoralan ponašanje ,0,1
"Nemogućnost da se odmoriti , opustiti ili biti miran . ",0,1
biti posledica nešto . ,1,0
koji ne pokazivati dovoljno pijetet prema bog . ,0,1
manjak uljudnost ; nepokazivanje poštovanje prema drugi ; povređivanje osećanje drugi . ,0,1
Onemogućen i jesam slobodan ; ne mpože da delovati po sopstven volja . ,0,1
koji izazivati potištenost ,0,1
"koji ne tražiti , ne iziskivati specijalan nutricione potreba ",0,1
bolan osećaj koji proizlaziti iz svest o nedovoljnost ili krivica ,0,1
koji na sebe imati prljavština ili nečistoća . ,0,1
koji jesam moralno lož ili pogrešan . ,0,1
velik ( glavobolja ) . ,0,1
Osećanje mržnja . ,0,1
onaj što jesam u suprotnost sa princip pravda ili zakon ,0,1
"govoriti nerazgovetno , obično tih glas . ",0,1
ubijati ( životinja ) obično radi hrana ,0,1
simptom neki fizički povreda ili poremećaj . ,0,1
"neraspoznatljiv , nejasan obris ",0,1
odsustvo osećanje ,0,1
Završetak ili uništenje unija . ,1,0
Čin konstruisanje nešto ( kao masšinskog delo ) . ,0,1
"na primer , o vukanima ; koji trajno jesam aktivan . ",0,1
Čičkovac . ,0,1
koji osećati nadolazeći opasnost ,0,1
odbiti s gnušanje ,0,1
koji izazivati ili zasluživati mržnja ,0,1
"( politika ) obezbeđivati usluga , ugovor i pozicija u zamjenu za politički podrška ",0,1
čin davanje otrov osoba ili životinja s namera da se ubiti ,1,0
Nešto što neki zadržavati . ,0,1
Čin prljanje nešto . ,0,1
snažan osećanje nedopadanje ,0,1
koji jesam sklon ljubav ili ispoljavanje ljubav ,1,0
"biti lažljiv , neiskren prema neki . ",0,1
ne biti podložan nešto . ,0,1
na nizak nivo po rang ili značaj ,0,1
