X,Predicted,Real
život životinja za razlika od život biljka ,0,1
Nestašno ponašanje sa namera da pobuditi seksualan zanimanje . ,0,1
lepota koji jesam privlačan čulo . ,0,1
Jačati u snaga . ,0,1
"Obraćanje religiozan priroda , obično za vreme verski služba . ",1,0
visok strana šta ,1,0
imati sposobnost ili moć kreativnost . ,1,0
Ublažavanje patnja ; pokazivanje velik dobrota prema izmučen . ,0,1
imati visoko mišljenje o neki . ,0,1
"koji karakeriše ili koji pokazivati odbijanje , poricanje ili suprotstavljanje ; koji nemati pozitivan svojstvo . ",1,0
koji činiti ili donositi dobro ,0,1
mesto na koji se obavljati posati . ,1,0
koji pokazivati ili izazivati veselje i zadovoljstvo ,0,1
osećati pokajanje zbog nešto ( ? ) ,1,0
"koji ne predstavljati teškoća , ne iziskivati napor . ",0,1
koji obezbeđivati ili osećati fizički udbnost ili opuštanje . ,0,1
general visok rang ,1,0
"uneti , utrošiti na nešto ( trud , energija , i sl . ) ",1,0
dati prednost jedan kreditor u odnos na drugi ,1,0
moralno primeran ,0,1
ustanova u koji se obavljati posati . ,1,0
onaj koji jesam običan ; jesam konevencionalan ili konformist . ,0,1
koji izražavati ili propovedati obožavanje božanstvo . ,0,1
koji inavodi na divljenje ili odobravanje ,0,1
biti privlačan koji ,0,1
Široko poznat ličnost . ,1,0
diviti se i čuditi nešto ,0,1
osećanje izazvati nešto čudan i iznenađujući ,0,1
Nešto za šta se verovati da donositi sreća . ,1,0
biti pažljiv ili siguran da se nešto učiniti ; uveriti se u nešto ,1,0
odbolovati bolest ili prevazići šok . ,0,1
aktivnost štićenje neki ili nešto . ,0,1
kvalitet onaj ko jesam brižljiv i pažljiv . ,0,1
"biti velik po broj , količina , moć , status ili značaj ",1,0
kvalitet neki ili nectega što jesam važan ili vredan pažnja . ,0,1
Osećanje pomanjkanje briga . ,1,0
Učiniti lep . ,0,1
potpuno verovanje u osoba ili plan itd . ,0,1
na nizak nivo po rang ili značaj ,1,0
koji na sebe imati prljavština ili nečistoća . ,1,0
osnovni osećanje koji se teško definisati ali koji ljudi žele da osetiti . ,0,1
ne pridržavanje moralan princip . ,0,1
crkven obred koji se nešto činiti svetiti . ,1,0
"koji ushićivati čuti , uzbuđivati duh ili izazivati emocionalno divljenje . ",0,1
"Učiniti atraktivan dodavanje ukras , boja , i sl . ",0,1
kvalitet koji imati nešto što imati velik vrednost ili cena ,0,1
Mog se izmeriti . ,1,0
osobina ljudi da verovati u poštenje i pouzdanost drugi ,0,1
Apolutno važno . ,0,1
koji jesam neki uveseliti ,0,1
koji osećati ili ispoljavati bol ili žalost zbog greh ili uvreda ,1,0
priznati svoj vera u šta ili privrženost šta ,1,0
koji lako žaliti i sažaljevati ,0,1
"koji se žeti , tražiti ",0,1
"presuda ( odluka ) da optužiti jesam kriv , odluka o nepostojanje krivica , o oslobađanje od krivica ",0,1
imati neželjen ili negativan kvalitet ,1,0
Čin koji se činiti neki dobro delo . ,0,1
ugašen vulkan na ostrvo Honšu ,1,0
smanjiti bol ili neprijatnost ; ublažiti ,0,1
staviti na kocka u nada za povoljan ishod . ,1,0
koji proizvoditi ili jesam sposoban da proizvoditi ( posebno u velik količina ) ,0,1
pristajanje uz onaj što jesam opšte prihvaćen . ,0,1
angažovati ili unajmiti za neki posao ,0,1
zadovoljiti ( žeđ ) ,1,0
anđeo uzeti sav zajedno ,1,0
nedostatak veza između stvar . ,1,0
veseo i ozaren ,0,1
umetnik nenadmašan veština . ,0,1
Osećanje zabrinutost . ,1,0
stanje biti zaposliti ili imati posati . ,1,0
Osećanje mržnja . ,1,0
Osećanje averzija ili antipatija . ,1,0
koji činiti živahan i veseo ,0,1
biti koji predmet tople osećajnost ili odanost ,0,1
"koji privremeno jesam aktivan , o vulkan ",1,0
divljenje Engleska i engleski običaj ,1,0
Čin ili proces merenje . ,1,0
veličina čiji se vrednost ne menjati ,0,1
pogodan trenutak . ,0,1
"koji ne tražiti , ne iziskivati specijalan nutricione potreba ",1,0
postati aktivan i bljuvati lav i stena ; o vulkan . ,1,0
"Onak koji jesam produktivan , svež , neobičan ; nešto što jesam prvi put smišljeno . ",0,1
sklonost obavljanje dobrovoljan ili dobrotvoran posao ,0,1
"kvalitet nešto što jesam isto po količina , mera , vrednost ili status ",0,1
"učiniti da nešto postati sanitarni ( bez bacil ) , replaced-dns ",0,1
rad koji se obavljati sa drugi radi zajednički ciljati ili koristiti ,1,0
biti u život . ,1,0
koji imati složiti nutricione potreba ; rasti samo na specijalan veštački kultura podloga ,1,0
proceniti vrednost nešto . ,1,0
"Nezavistan , jesam spojiti ili sjediniti . ",0,1
koji nemati neki izrazit kvalitet ili karakteristika . ,0,1
Čista nezaslađen čokolada koji se koristiti za kuvanje ( za pravljenje kolač ) . ,0,1
