,Sysnet
149,"promena nabolje , napredak u razvoj . "
16210,mleven kuvan meso ( ili povrće ) u gust beo sos ; uvaljati u prezla i pržiti u dubok ulja 
220,koji zasluživati uvažavanje i poštovanje 
6487,vid glagol koji se izražavati imperfektivnost neki radnja s akcent na njen trajanje 
8425,gust sup od junetina ili ovčetina sa povrće i prekrupa od ječam 
12827,Područje definisati za administrativan namena . 
6882,uglavnom višegodišnji zeljast biljka iz star svet . 
12290,teorija grupa primeniti na rešavanje algebarski jednačina 
6789,koji imati isti predački jezik 
5903,velik fiksiran prilagodljiv stolica u koji berberin sneštaju svoj mušterija . 
6458,Dan računati od ponoć do ponoć . 
10274,koji odstupati od opšti ili uobičajen poredak ili vrsta 
5687,biti koji od kojsanskih jezik koji govoriti stočarski narod Namibija i Južne Afrika 
3054,biljka iz rod Valerianella . 
10995,Lini po koji nešto putovati ili se kretati . 
7894,koji se ticati ili koji pripadati sadašnji vreme 
9045,novčan jedinica Tadžikistan 
8707,prikupiti zajedno . 
9629,dekoracija koji se kao tapiserija kačiti na zid ili iznad prozor . 
11689,neki od mnogi biljka iz rod Begonia koji se gajiti zbog atraktivan sjajan asimetričan lišće ili raznobojan cveće . 
1808,glavoči . 
16961,evroazijski višegodišnji biljka sa beo cvet koji ispuštati zapaljia isparenje po toplom vreme . 
1153,"republika u centralni Amerika , postati nezavisan od Španija @ord@ "
9752,afrički tikva sa jestiv pulpa 
3545,"prvi mleko dan dva posle teljenje ( jagnjenje , koženja ) "
10114,dug ručni alat sa oštar širok razmaknut zubac za podizanje i bacanje sena 
10105,"tipski rod porodica Viscaceae : zimzelen grm , parazit na drvo , posebno hrast , jabuka , topola . "
6725,velik evropski bukva 
14460,slankast tečnost koji ispuštati znojan žlezda 
13566,jedan od koštan ili rskavičav luk sa svaki strana ždrelo koji podržavati škrga riba i voden vodozemac 
5014,"Domaće morski prase , skoro bez repa , snažan telo ; česyo se čuvati kao kućni ljubimac a koristiti se i u eksperiment . "
4151,"preusmeravanje misao , osećanje i nagon sa jedan predmet ili osoba na drugi osoba ili predmet ; ljudi često koristiti pomeranje kada ne moći da ispoljiti svoj osećanje prema neki osoba na siguran način "
16008,vrsta granularnih leukocita čiji jesam funkcija ingestija bakterija 
313,racers 
9050,računarski program koji raščlanjivati kod u funkcionalan komponenta 
8768,"voden zmija , rasprostraniti po ceo svet . "
208,tako strašno da izazivati groza i jeza 
10904,mediteranski biljka čiji se nerascvetali pupoljak upotrebljavati kao začin . 
14229,tej 
3431,koji se odnositi na ili koristiti dijalektika 
8316,malo poznat kamarupski jezik 
16710,uvod u pozorišni komad 
6986,Drzava na severnoamerički kontinent . 
8543,fonema ili nizak fonema koji činiti različit alomorfe neki morfemaheme 
2870,rad koji se obavljati ruka 
15088,memorija čiji se sadržaj moći pristupiti i čitati ali se ne moći menjati ( računarstvo ) 
11968,ptica is strog svet ; poznat kao pevačica . 
1575,porodica sevenoameričkih indijanski jezik koji govoriti Irokezi 
3030,Mediterako drvo koji se gajiti zbog jestiv plod . 
14518,praotac neki osoba . 
1897,esej ili članak u koji se davati kritički procena ( knjiga ili predstava ) 
4334,beo kakadu sa žut izdignut kresta 
3717,dete koji pohađati škola . 
9468,"reka koji teći iz jezero Ira u jezero Ontario , predstavljati granixu između SAD-a i Kanada "
12047,gaziran pića obogatiti ekstrakt voće Kol 
11496,"Pričvrstiti nešto , kao sa konopac . "
10993,meso koji uključivati jedan ili više rebro 
2981,sposobnost za spontan i nezavisan kretanje 
8057,"pristalica monogamija , koji imati samo jedan supružnik u jedan trenutak "
8246,vreme kompletan rotacija zemlja u odnos na neki zvezda koji jesam @card@ minuta kratak od srednji solarni dan . 
2315,neki organizacija koji se smatrati delom velik društven grupa . 
6119,lingvistika deinisana kao analiza formalan struktura tekst i govor 
16563,"rod jednogodišnji , dvogodišnji ili višegodišnji biljka sa ? racemose cvet ; mnogi se smatrati korov . "
10403,mali alka kratak kljuna koji imati mnogo u arktički predeo 
14644,siv ili beo ptica močvarica sa dug vrat i noga i obično sa dug kljuna . 
1944,sočan voće sa kor poput pilša i žućkast ili beličast meso 
289,bled crven višnja sa bezbojan ili skoro bezbojan sok 
13758,biti koji od @card@ region zemljin kugla određenih geografski širina u koji se koristiti isti vreme . 
16452,kokot i ? ? 
1657,o trohejama ili koji jesam sačiniti od troheja 
11395,sob u crkva u koji se čuvati cvet posuda i odeća i održavati sastanak . 
6348,jabuka koji se primarno koristiti za kuvanje 
16809,biljka iz rod Filago koji imati grozdov mali vunast cvetan glavica . 
10246,izazvati ili odvratiti ili pretiti 
17314,napraviti raspored ; planirati vreme i mesto događaj 
1665,Jedini poznat otrovan gušter . 
2997,biti koji prirodan fenomen u koji jesam uključiti heija kao promena na atom ili molekul . 
11824,oblik reč koji označavati više od jedan objekt 
1089,Sveže voće i povrće koji se uzgajati za pijaca . 
300,koji narušavati princip dobra i zlo . 
572,neki voće iz rod Citrus koji imati tvrd kor i sočan meso ; rasti u toplim kraj . 
7965,tipski rod porodica Suidae . 
4441,neki od jestiv pečurka iz rod Morchella sa smeđkastim sunđerast klobuk 
5694,atmosferski fenomen koji se stvarati na granica između dva različit masa vazduh . 
9507,pomalo kiseo i opor pasta pripremljen mlevenje i zagrevanje seme afrički divalj mango ; osnovni hrana neki Afrikanac 
1845,"Čin ometanje , sprečavanje ili zadržavanje . "
11862,finansijski dobit ( zarađen ili nezarađena ) koji se nagomilavati tokom dat vremenski perioda . 
4697,milijarditi deo sekunda ; hiljaditi deo mikrosekunda 
1875,Čin podizanje nešto . 
17407,zaštitni oblog za povređen oka 
11733,meso jesam ispeći pre dinstanje 
12048,Čin prljanje nešto . 
13827,drevan grčki dramski pisac koji jesam ostati upamtiti po komedija ( 448-380g.p.n.e ) 
4910,industrijski centar i zvaničan prestonica Holandija ; centar industrija za obrada dijamant ; sedište značajan berza ; poznat po kanal i muzej umetnost . 
4257,koji se odnositi na fonologija 
3402,detaljan opis kriterijum za osmišljavanje neki delo 
11081,nacionalan prestonica i velik grad Rumunija i jugoistočni Rumunija . 
10773,koji se odnositi na jezik German 
10852,"koji jesam u sklad sa fiksiran redosled , procedura ili princip . "
8058,rod familija Čnocephalidae . 
2105,Sočni kolač u koji se nalaziti izgnječiti suv šljiva . 
10782,jela koji se služiti ali jesam podrediti glavnom jela 
88,ispuniti ili okarakterisati veselje 
16237,cev sa poluloptastim proširenje na jedan kraj ; služiti za pušenje duvan . 
3797,"Višegodišna biljka bez stabljika , imati velik cvet sa beo i ljubičastosmeđim cvetić ugnježdenim u rozeta od dugačak bodljikav list ; rasti u alpski predeo južne i istočni Evropa . "
5779,proučavanje drevan oblik pisanje ( i njihov dešifrovanje ) 
1338,jedan od nekoliko plodov drvo trešnja koji jesam sladak 
8954,staza koji se sastojati od popločan površina za pešak - obično pored ulica ili kolovoz 
2619,šta idealan smatrati 
6647,koji odobravati ustav ili jesam u saglasnost s ustava ili funkcionisati u okvir ustava 
17011,postaviti iznova 
4698,kormoran . 
216,postati gora . 
13659,zagovornik princip humanizam 
11512,"Kolač koji sadržati seckan voće koji se nalaziti u smeh ili između kor , a potom peći i iseći na štangla . "
7250,aktivan slatkovodni riba ; grgeč i ? 
16361,beskičmenjak sa spojen stopalo : arachnids ; crustaceans ; insects ; millipedes ; centipedes 
12280,tanko uvijen testo koji sadržati poruka na parče papir . 
3446,Uređaj koji raditi na mehanički princip . 
16197,prostirati se u krivina i zavoj 
1484,igra koji se igrati sa računar 
8389,Bledo-žuto vino koji se praviti od beo grožđe ili od crven grožđe koji jesam skinut kožica pre fermentacija . 
16364,rod drveće i žbunje koji imati vredan i lep drvo . 
10155,neki od mnogi varijetet biljka Narcissus koji imati lep žut cvet sa središnji krunica u oblik drube . 
8750,vojni jedinica koji se obično sastojati od štab i tri ili više četa . 
305,čiopa ; u ranijim klasifikacija uključiti u red Coraciiformes 
15138,neki od mnogi vrsta kupus . 
8399,zagovornik federalizam 
11977,"jako , zreo piva koji se originalno pripremati u Nemačka za Oktobarfest ; slatko jesam i boja jesam bakar "
12999,neki dati da brinuti ili štititi 
52,smatrati da jesam nešto loše ili pogrešno . 
2230,dozvola za prodavanje pića i njegov konzumiranje u objekt 
11325,porodica južnoamerički indijanski jezik 
16988,junak španski epski poema iz XII vek 
5963,primeniti sila tako da se izazvati kretanje prema izvor kretanje 
728,Činiti uman ili fizički rad s neki cilj ili iz potreba . 
6060,neki zeljast biljka iz rod Atriplex ; dodavati se kolač i salata . 
9637,mali evropski zeba sa crven lice i žuto-crnim krilo . 
16610,"aromatičan biljni liker zelen ili žut bpje , aromatizovan kor od narandža ili menta ; praviti se u manastir u blizina Grenobl u Francuska "
12736,"francuski vojnik i pisac od čiji opis seksualan perverizja jesam nastati izraz "" sadtzam "" ( @card@ ) "
3939,evroazijski sadža sa crn fleka na stomak 
73,"prolivati suza zbog tuga , bes ili bol . "
3171,beo sos sa vino začinjen crn luka i bilje ; služiti se uz meso ili riba 
9953,"tanko , hrskav parac krompir pržiti u dubok ulja "
7149,meso školjka sa tvrd ili mek ljuska 
16635,krupan evropski pasji zub sa ružičast cvet ; gajiti se u mnogi varijetet . 
8181,koji jesam pisati sistema pisanje koji se koristiti slikovan simbol 
7828,procena vrednost poslovanje . 
3208,lagan dodir ruka . 
10281,Teško raditi . 
6971,forma ili metrički kompozicija pesma 
12625,deo vanjski polje sa desni strana hvatač . 
5261,baciti pogled na nešto ; kratko pogledati . 
5420,tkanina koji prekrivati gruda ili prsa 
1858,u grčki mitologija jedan od @card@ morski nimfa koji jesam biti kćer morski bog Nerej 
8512,Čin koji se nešto reprezentovati ; zastupati neki ili neki grupa i govoriti u njihov ime s odobrenje . 
2895,Učiniti poznat oglašavanje . 
290,Čin konstruisanje nešto ( kao masšinskog delo ) . 
9909,hrskav pšenični pahuljica 
10473,"uzorak : @card@ , mustra : @card@ mali deo neÄega koji se shvatati kao predstavnik celina "
17131,sistem koji jesam deo neki velik sistema 
6744,pripadnik narodni istočni i centralni Evropa i Rusija 
8606,"biljka čiji se glava sastojati od mnogo ? : kaloper , ? "
3888,formalan postavljenje na neki funkcija 
4412,ubijati ( životinja ) obično radi hrana 
5598,"grupa familija , uglavnom cveće koji imati ? ? ? ; sadržati @card@ familija uključivati : Caryophyllaceae ( karanfil i ? pinks ) ; Aizoaceae ; Amaranthaceae ; Batidaceae ; Chenopodiaceae ; Cactaceae ( red Opuntiales ) ; Nyctaginaceae ; Phytolaccaceae ; odgovarati približno red Caryophyllales ; ponekad se klasifikovati kao nadred . "
15917,Šljuke . 
4971,rod podporodice Sterninae 
6499,Uobičajena evropski malina sa crven ili narandžast bobica . 
14735,koji se ticati seoski stvar 
9920,odlaziti kao otpad . 
14958,glavna poruka u komunikacija 
8555,prostor gde moći da se parkirati automobil 
8401,politika usvojen platforma koji politički partija 
11104,Priobalska sredina koji jesam i za vreme oseka pod voda . 
183,zaslađen napitak od razblažen voćni sok 
6418,puter napraviti od mleko jak 
436,francuski pisac koji slika kompleksnost francuski društvo XIX vek ( @card@ ) 
16871,društven sistem koji manjinski grupa odvajati u separatan ustanova 
11455,mali mediteranski riba obično konzerviran ili usoljen ; koristiti se za predjelo ili kao začin za soseve 
4658,čin usporavanje ili zaostajanje 
7638,"Čin prisiljavanje postavljanje u mali prostor , nabijanje u mali prostor . "
4673,mali rt na jugozapad Španija ; poznat po čuven pomorski bitka iz @ord@ godina 
4191,prava jela . 
1004,crvenrepke 
5853,deo organizam koji povezivati vrat sa ostatak telo . 
4822,osoba koji imati nadležnost nad građanski posao 
9541,"korpus pravilo , regulativa , nalog i odluka koji donositi administrativan agencija vlada "
1311,zelen ili purpuran bakterija ; energija za rast dobijati od Sunčev svetlost ; ugljenik se dobijati iz ugljen dioksid ili organski ugljenik 
8755,Leteći lemur . 
10634,onaj koji jesam odrediti mesto u skala na osnova procena ili rang ; 
16632,ko 
10080,organ i tkivo koji jesam uključiti u cirkulacija krv i limfa kroz telo . 
3754,privatan nezavisan srednji škola u velik Britanija podržavan donacija i školarina 
10684,"neki nemetalni mineral - kalcit ili feldspat - koji jesam svetao boja , prozračan i cepati se na sloj "
2819,Posteljični sisar koji imati kopitati sa parni broj funkcionalan prst na svaki noga . 
12557,uzak komad zemlja koji prodirati u voden masa . 
8957,velik ptica nalik na rod koji živiti po nepristupačan močvara Belog Nil sa širok kljuna koji ličiti na klompa 
10106,kontraceptivan sredstvo koji se smeštati u materica žena 
9265,posuda za jela i serviranje zjedno . 
17307,teleći jezik koji se koristiti u ishrana 
4249,poreklo sa pacifički ostrvo ; imati jestiv plod čiji tkivo nalikovati na hleb . 
7563,"u prava , neki ko jesam zakonski posedovati posati . "
4940,epitelijalna ćelija koji lučiti sluz ( mukus ) 
4996,promena koji dovoditi do povećanje . 
8239,velik familija trava i žbunje ; obično imati stabljika koji jesam zadebljati kod čvor . 
4128,rasti veoma brzo . 
15053,zaštitnia pregrada obično od prozračan materijal 
6641,"u psihoanaliza nesvestan proces u koji se dva ideja ili slika kombinovati u jedan simbol , posebno u san . "
8248,stan koji se nalaziti na visok sprat zgrada 
9739,rod bičarskin protocista 
9874,okrugao predmet koji se koristiti kao igračka 
8222,visok višegodišna biljka star svet sa ljubičast plav cvet 
8960,jezik čiji iskaz odgovarati problem korisnik 
8502,koji jesam u veza sa gramatika 
16241,Proširiti se kroz nešto ili preko nešto . 
15271,"priča o zločin ( obično ubistvo ) predstaviti kao roman , pozorišni komad ili film "
2479,ispoljiti želja 
115,poluostrvo u oblik čizma na jug Evropa okružen Mediteran 
5590,merni instrument koji imati niz oznaka u pravilan razmak ; koristiti se za merenje . 
12073,neki od mnogi štapičastih gramnegativnih bakterija 
14792,determinator koji se odnositi na klasa entitet koji se moći identifikovati ( ' the ' u Engleska ) 
6878,filovirus koji izazivati Ebola hemoragični groznica ; prenositi jesam životinja ; moći da se koristiti kao biološki oružje 
5743,odnos nalegnuti i naspraman stranica u pravougli trougao 
14096,nauka o kriminalitet i počinilac kriminalan delo 
10401,funkcionalan ili strukturni jedinica biljka ili gljiva . 
1269,Zamišljena linija oko zemlja koji tvoriti velik krug koji jesam jednako udaljen od severni i južnog pol . 
10069,Rođen u Australija ili stanovnik Australija . 
11358,matematičar čiji jesam specijalnost geometrija 
2566,velik doboš sa dva glava ; proizvoditi nedefinisan ali vrlo dubok zvuk . 
10300,"softver koji olakšavati kreiranje , održavanje i korišćenje baza podatak "
16176,biti koji od dva delo zadnjica 
5713,sjediniti se u celina ili postati deo celina . 
124,Osećanje mržnja . 
2146,mali rod evroazijski žbunje sa žut cveće i plod poput mehur . 
1567,udruženj ekoje jesam osnovano i raditi na dobrobit onaj koji ga koristiti 
5485,impulsivan šta izgovoriti 
8652,bodljikav dvozupka 
15786,rod kaktus puzavica koji cvetati noću 
3112,gnjurac severni Atlantik 
8282,"koji se ticati Madagaskar , njegov ljudi i kultura "
15750,koji se odnositi ili koji jesam komponovati za orkestar . 
14214,stil plivanje koji ličiti na kraul samo što jesam plivač okrenut na leđa 
6450,"lagati popodnevan koji se sastojati obrok od čaj , sendvič ili kolač "
1381,uvesti demokratski reforma . 
14199,"u računarstvo , korišćenje centralni računar simultan od strana više korisnik "
16587,stopala životinja sa kandža ( posebno četvoronožac ) 
15425,nizak zimzelen grm familija Ericaceae ; imati mali ružičast ili ljubičast cvet u oblik zvonce . 
15170,glavni grad Namibija 
6925,"administrator , rukovodilac na fakultet ili univerzitet "
7867,Početi se baviti nešto . 
15202,"staklen ili plastičan posuda , cilindričan oblik sa uzak vrat i bez drška . "
269,ubiti velik broj ljudi bez razlika . 
12708,piva točiti iz bure 
12024,rod iz familija Phytolaccaceae : ? pokeweed . 
13786,"onaj što jesam agame za Stari svet taj jesam legvani za Novi svet ( Madagaskar , pacifički ostrvo ) ; imati više od @card@ rod i preko @card@ vrsta ; imati dugačak rep ( dva trećina celokupan dužina ) .lizards of the New World and Madagascar and som Pacific islands ; typically having a Long tail and bright throat patch in males "
3023,omiljen stecište na koji se xudi okupljati . 
7647,stanovnik Gvineja ili poreklo iz Gvineja 
1270,tajmer koji moći da se pokrenuti i zaustaviti u tačno označiti vreme 
7939,rod iz porodica Cicadidae : cvrčak . 
8982,hemijski supstanca koji uništavati biljka ili sprečavati njihov rast 
13816,"nizak ostrvo između Severne i Južne Amerika , popularan letovalište "
2470,Grgeč iz Evropa . 
13562,mali sto na koji stajati stvar različit vrsta . 
17245,komercijalan delatnost kupovina i uvoz roba iz koji inostran zemlja 
1411,svirati kakav duvački instrument 
8185,Drška bič . 
7661,tropski penjačica iz star svet . 
6402,procep u gladak mišićni tkivo kroz koji izvirivati telesni sklop 
13621,nit napraviti od pamučan vlakno 
12046,crveno ljutkast bobičast voće 
2681,"u računarstvo , registar koji imati ugrađen sabirač koji dodavati ulazni broj an sadržaj akumulator "
14732,velik voden daždevnjak : ? hellbenders ; golem štur 
4850,Nešto što jesam zapoveđen . 
2108,rat u koji jesam uključiti sav velik svetski sila 
4552,testo za hleb 
10314,organ i drob zaklan životinja koji se često smatrati nejestiv 
17013,neki od različit drveće iz rod Juglans . 
551,bakterija koji izazivati abortus kod ovca 
12204,malo azijski listopadan drvo koji rađati velik crven ili naranjdžasti jestiv plod . 
2452,supstanca koji sprečavati oksidacija ili reakcija koji izazivati kiseonik ili peroksid 
10150,formalan javan izjava . 
12331,osnovni grupa prirodan predmet . 
