,Sysnet
3531,sistem čulan organ u telo 
1201,jesetra 
7340,svinjski ili goveđi kobasica ( ili tanak kriška ovaj kobasica ) 
15272,istraživanje koji tražiti odgovoriti 
12137,himalajski jezik koji se govoriti na Tibet 
15399,broj u decimalan brojni sistema . 
9007,telegrafski kod u koji jesam slovo i cifra predstavljen niska tačka i crtica ( kratak i dugačak signal ) 
2568,podupirač koji se stavljati na kraj redati knjiga da biti stajati uspravno ( na polica ili sto ) 
2111,a compound derived from ammonia by replacing hydrogen atoms by univalent hydrocarbon radicals 
2096,udaljen u prostor 
17470,ugao koji graditi dva objekt i posmtrač ( koji jesam u teme ) koji ona posmatrati 
13177,"džin s ukus trnjina , divalj šljiva "
44,"uzrokovati bol , unesrećiti "
8210,tekst koji jesam u forma koji računar moći da sačuvati i prikazati na ekran 
977,svojstvo relativan veličina ili opseg . 
176,koji karakterisati životinja za razlika od biljka . 
10846,Zaračunati i prikupiti zaračunat novac . 
157,"kvalitet da čovek ne stavljati sebe prvo , već da jesam spreman da svoj vreme , novac ili trud posvetiti drugi "
15105,krvni grupa čiji crven krvni zrnce nositi antigen B . 
17575,Ženka lav 
4072,koristiti se prilikom obraćanje muški osoba koji jesam uključiti u isti pokret . 
17667,rana faza rast ili razvoj . 
4330,obožavanje svetac 
228,supstanca koji sprečavati oksidacija ili reakcija koji izazivati kiseonik ili peroksid 
5302,Četvrta planeta od sunce . 
15330,pollack 
11097,novčan jedinica Bocvana 
4082,"koji se ticati Belorusija , njen ljudi ili kultura "
7898,vladin politika koji se ticati budžet ( posebno na porez i zaduživanje ) . 
171,briga o razlikovanje dobar i zao ili pravedan i nepravedan ; dobar ili pravedan ponašanje 
5729,nilotski jezik 
5428,koji imati više ugao 
12180,( filozofija ) filozofski teorija po koji jesam materija jedina realnost 
13709,institucija ( zavod ) u koji jesam zatvoren lice u cilj njihov kažnjavanje i kako biti se javnost od ona zaštititi 
7250,tanak ravan komad odseći od neki predmet 
277,"uzajaman transfer ekvivalentan suma novac , posebno valuta različit zemlja "
1724,"organizam za koji jesam tipičan aseksualan reprodukcija kao što jesam pupljenje ili deoba i čiji jesam načiniti ishrana apsorpcija , fotosinteza ili hemosinteza "
17108,Čin gušenje žrtva pritisak na dušnik . 
17572,glavni grad i luka Sejšeli 
10340,skloniti sa položaj ili iz služba . 
14230,odrasti muški osoba ( nasuprot žena ) . 
4050,jedan od četiri perioda u koji jesam podeliti školski godina . 
14795,period od @card@ godina 
1785,pretvoriti u karamel 
12654,priča u rimovan stih za deca 
