,Sysnet
1551,dijalekt čivere jezik koji govoriti narod Misuri 
6617,grupa ljudi koji jesam povezati neki zajednički veza ili zanimanje i posmatrati se kao celina . 
2983,operacija koji pripremati nov karakter za štampanje ili prikazivati sledeći red 
9555,"tvrd i težak taman mineral koji jesam glavni izvor kalijum ; dioksid kalaj , SnO2 . "
3922,regalije ( nakit i drugi predmet ) koji nositi suveren u državni prilika 
7743,osnovni novčan jedinica u SAD-u 
9124,šetati se 
823,bantu jezik koji govoriti narod Kamba u Kenija 
292,"prostor odvojiti za rad , npr . u kancelarija "
17094,pisma od @card@ slovo koji jesam zapisati armenijski jezik 
15409,uspravan zeljast biljka ili penjačica severni hemisfera : dimnjača . 
3474,telo omeđiti poligoni 
9803,razred koji se poklapati sa porodica Palmae : palma . 
3019,sup koji jesam taj dan na meni 
9586,dati privremeno ; ustupiti na odrediti vreme . 
10931,kocka od isušen sup 
1199,velik noćni ptica grabljivica sa čupav uši . 
9003,dravidski jezik koji govoriti Gondi u južnom delo centralni Indija 
7584,zapis na crn balzatnoj stena ; dati jesam prvi ključ za dešifrovanje egipatski hiroglifa 
9437,veoma mali evropski slatkovodni riba uobičajen u potok i reka sa peskovit ili šljunkovit dno 
5309,novčan jedinica Svazilend 
9221,dugonog priobalan ptica . 
17052,transduktor koji konvertovati električni energija u akustičan i obrnut 
4236,osnovni novčan jedinica Jemen 
360,"asortiman hrana početi od haringa , dimljen losos ili jegulja itd . uz hleb i maslac , zatim sir , jaje , kiseo povrće , pihtija , i na kraj se služiti topla hrana , sav taj jesam servirati na baza švedski sto "
13866,prvo izvođenje muzički ili dramski delo negde u svet . 
4977,fizički pojava povezati sa ravnoteža ili kretanje predmet 
5528,koji postojati kao suštinski karakteristika ili konstituent 
11752,malo parac prepečen ili pržen hleb ; servirati se uz sup ili salata . 
13884,suv grožđe sa seme 
1911,Široko rasprostraniti tropski drvo poreklo iz Afrika . 
1695,lekar koji obavljati praksa u oružan snaga . 
12906,"preliv sa sirće , ulje , beo luka i začinski bilje : origano , bosiljak i mirođija "
2375,pripremati hrana na mast ili ulja u tiganj 
13304,matematički tehnika koji se koristiti u ekonomija ; pronalaziti maksimum i minimum linearan funkcija mnogo promenljiv koji jesam pod ograničenje 
6941,"ptica zapadni Afrika , imati taman perje posut beo tačka ; gajiti se za preran u mnogi deo svet . "
3038,uto-astečki jezik koji govoriti narod Kahita 
1932,meriti vreme ili trajanje događaj ili radnja . 
14111,osoba čiji bogatstvo prevazilaziti u vrednost jedan milion dolar 
14205,pododeljak čin u komad 
10572,rod iz familija Aceraceae ; drveće ili žbunje imati plod s krilce . 
