,Sysnet
6464,elektronski oprema za beleženje i reprodukovanje zvuk 
16673,pozicija u gramatički konstrukcija na koji se moći naći biti koji član iz odrediti klasa element 
186,sposobnost da se razumeti ; razumeti i profitirati na iskustvo . 
9,koji zasluživati najviše poštovanje i divljenje 
18408,fizički pojava povezati sa ravnoteža ili kretanje predmet 
227,odbiti s gnušanje 
11359,Crno-bela morski ptica koji se hraniti ostriga . 
1255,teritorija koji upravljati knez 
1219,"Piće koji se praviti od alkoholni pića , voditi sa šećer i sok od limun ili lajma "
11522,u grčki mitologija Muza tragedija 
9829,koji se trenutno koristiti ili jesam spreman za upotreba 
7990,okeanijski jezik koji se govoriti na Havaji 
8848,"šupalj , u oblik kanal ili cev . "
16166,"sonet sačiniti od oktava sa obrazac rima abbaabba , iz koji slediti sekstet sa obrazac rima cdecde ili cdcdcd "
19137,neki zeljast biljka iz rod Aethionema ; poreklo sa sunčan stanište vapnenac . 
6795,reka koji izire u Pirineji i ulivati se u Biskajski zaliv 
2463,zelen salata sa mekan list koji jesam gusto rasporediti ; lako se kidati 
11385,"meso koji jesam usoliti , izrezati na traka i sušiti na sunce "
4679,kamen koji nastajati stvrdnjavanje mineralan so ; nalaziti se u šupalj organ ili kanal telo 
17072,uglavnom tropski višegodišnji žbun koji rađati plod s mnogo seme : sladak i ljut paprika . 
17805,anđeo uzeti sav zajedno 
11802,"( u računarstvo , registar čiji sadržaj prolaziti kroz pravilan skup stanje ( obično jesam taj stanje koji odgovarati redom ceo broj ) "
349,neki ko podučavati engleski jezik . 
15941,neki ples koji par izvoditi u balski dvorana 
15307,predmet koji u bezbol koristiti igrač koji udarati . 
4958,neki organizacija koji se smatrati delom velik društven grupa . 
15706,"imovina koji pripadati neki osoba ili grupa , ona koji jesam oni uložiti ili koji ona po prava pripadati . "
6595,"država razbacati po ostrvo federalni država Mikronezija , tesno povezati sa SAD-om , steći nezavisnost @card@ "
11260,Izvršiti matematički izračunavanje . 
5655,"( knjiga ) povezati tako da jesam hrbat u jedan , a strana u drugi vrsta povez "
12028,"profesionalan oficir u kopnen vojska , avijacija ili mornarica "
17,revnostan u posvećenost i privrženost 
2235,pas srednji rast specijalan uzgajati za potreba lov na lisica 
