,Sysnet
14958,"sladak jestiv tamno-plave bobica , nisko rastući ili visoko rastući biljka borovnica "
4393,projektovati na ekran radi pregledanje 
14117,"štalski oprema koji povezivati dva životinja pri vrat , tako da moći raditi zajedno kao par "
16530,rod iz porodica Umbelliferae ; uključivati paškanat . 
111,"glavni grad Mjanmara , treći po veličina "
8710,Čin primeniti sila da biti se nešto pomeriti . 
6043,asocijacija država stvoriti radi ekonomski i politički saradnja država jugoistočni Azija 
10770,srednjovekovan komad koji predstavljati epizoda iz život svetac ili mućenika 
6499,u prava ; teritorija unutar koji se moći vršiti vlast 
8926,mali brz lako oklopljen ali teško naoružan ratni brod 
14598,krem začinjen vanila ili alkoholni piće 
9079,pustinjski područje na severozapad Australija severni od Gibsonove pustinja 
5232,Ići sa neki na sastanak . 
1083,mesto bogosluženje koji se povezivati s neki svet stvar li neki svet čovek 
5583,"izraziti broj , mera ili veličina . "
13043,trepljaste protozoa koji imati peharasto telo sa retraktilnom stabljika ( stabljika koji se uvlačiti ) 
15044,bestelesan biće koji nadgledati Bog . 
12366,"koji se ticati Butan , njegov ljudi i kultura "
15560,muzičar koji svirati oboa 
7479,vršiti vojni služba 
18196,biti koji telesni struktura ili deo nalik na ploča 
5056,Višegodišnja biljka iz star svet . 
17070,čuga ; ? hemlock fir ; ? hemlock spruce 
12843,održavati konverzacija 
8417,Posteljični sisar koji imati kopitati sa parni broj funkcionalan prst na svaki noga . 
17562,Nešto što služiti za oblačenje . 
3383,kratak komad 
16335,ispupčen nabor na površina mozak 
3205,ručno vetriti oružje sa rotacioni doboš u koji se smeštati metak 
12350,"širok , ravan deo telo , kao što jesam leđa ili jezik "
17883,"dijalekt kineski koji se govoriti u kanton i okolni provincija , kao i u Hong Kongo i drugde van Kina "
951,privlačenje supstanca hemisorpcijom 
14866,vrsta trava 
7389,igrati karta za novac . 
6891,koplje baciti kao oružje ili na takmičarski teren 
1896,Ograđeni prostor za živ stoka . 
15468,država na Skandinavijskom poluostrvo 
6846,"vrsta sosa-umaka poreklo iz Indija , odnosno Južne Azija ; praviti se od voće ili povrće i začin , a služiti se kao dodatak raznim jelo od meso , testo , pirinač "
478,rod porodica Scolopacidae 
6986,"reč pozajmiti iz drugi jezik ( npr . "" general "" jesam reč koji jesam u srpski stignuti iz francuski ) "
796,Čin kradenja . 
5279,štand na koji se izlagati artikl za prodaja 
2577,osnovni novčan jedinica u SAD-u 
11117,hulmani 
18768,"kiseo ili granitan staklo ; obično taman , ali transparentan u tanak komad "
4285,mlin koji pokretati točak na voda . 
6125,kor voće ili povrće 
4167,umetnut reč i taj falsifikovati ceo tekst 
1486,rod visok azijski drveće iz porodica Bombacaceae . 
9437,"Drveće i žbunje , od Madagaskar do Australija . "
11102,simbol kao rezultat štampanje 
6299,natprirodan biće koji se obožavati zbog verovanje da upravljati neki delom svet ili neki aspekt život ili zato što personifikovati sila . 
4898,centralni računar koji jesam u dat trenutak s najviše računarski snaga 
9987,novčan jedinica Kazahstan 
2653,jak vitak pas španski poreklo sa gladak dlaka ; beo boja sa smeđ ili crn tufna . 
16348,"Dugački sofa bez naslon , obično sa jastuk uza zid . "
