,Sysnet
0,opšte prihvatiti i uvažiti 
1,osobina onaj što zasluživati poverenje . 
2,koji imati urođen sklonost prema dobrota 
3,stanje bez oštećenje ili propadanje 
4,osećanje dubok ljubav i divljenje 
5,"koji pobuđivati poštovanje , divljenje ili čuđenje "
6,Nestašno ponašanje sa namera da pobuditi seksualan zanimanje . 
7,koji proizvoditi ili jesam sposoban da proizvoditi ( posebno u velik količina ) 
8,na čiji se lice očitavati zadovoljstvo 
9,stav divljenje ili poštovanje . 
10,osećanje izazvati nešto čudan i iznenađujući 
11,kvalitet onaj što imati velik cena 
12,nalaziti da jesam nešto zabavno ili prijatno . 
13,"koji pokazivati ili jesam motivisan saosećanje , razumevanje i velikodušnost "
14,"koji ushićivati čuti , uzbuđivati duh ili izazivati emocionalno divljenje . "
15,razvijati se u pozitivan smer 
16,priroda ili svojstvo onaj ko jesam emocionalan . 
17,pružiti moralan ili emocionalan snaga 
18,Apolutno važno . 
19,biti prihvatljiv ili pristati . 
20,biti zaljubiti ili u ljubav s neki 
21,jak seksualan nagon . 
22,osećaj spontano dobar rapoloženja 
23,veseo i ozaren 
24,biti privlačan koji 
25,biti šta u sklad sa princip pravda 
26,stanje zadovoljstvo jer nem bolest . 
27,francuski reč za sreća i dobar raspoloženje 
28,neki višeg rang ili položaj ili kvalitet . 
29,"osobina onaj koji ne odustajati od svoj ideja , osećanje ili namera "
30,gajiti osećanje dubok poštovanje i strah pred autoritet . 
31,"koji karakterisati ili koji pokazivati prihvatanje , slaganje ili uverenost . "
32,Čin koji se činiti neki dobro delo . 
33,koji zasluživati najviše poštovanje i divljenje 
34,osobina prefinjen uglađenost i dobar ukus 
35,visok vrednost nešto . 
36,energičan i oduševljen uživanje 
37,sklonost obavljanje dobrovoljan ili dobrotvoran posao 
38,u rimski mitologija boginja sreća i sretan slučajnost ; u grčki mitologija ona odgovarati nTiha 
39,koji zasluživati uvažavanje i poštovanje 
40,stanje kada jesam neki prosperitetan i uspešan . 
41,osećati se veselo i biti ispuniti dobar raspoloženje 
42,onaj koji jesam po moralan kvalitet ili izgled nalik na anđeo ili svetac 
43,koji činiti živahan i veseo 
44,kvalitet neki ili nectega što jesam važan ili vredan pažnja . 
45,biti neki prihvatljiv ili odgovarajući . 
46,profesor visok rang . 
47,jako pozitivan osećanje poštovanje i privreženosti 
48,pristajanje uz onaj što jesam opšte prihvaćen . 
49,pozitivan ili negativan kvalitet nešto što ga činiti poželjan ili vredan . 
50,"stanje pozitivan osećanje , od zadovoljstvo do jak ushićenje . "
51,radnja koji karakterisati dobro raspoloženje 
52,Korisna ili vredan osobina 
53,činjenje dobra ; osećaj dobrotvornosti 
54,koji jesam neki uveseliti 
55,prijatno i površno uzbuđivati 
56,Osećanje samopoštovanje i ličan vrednost . 
57,nešto što izazivati osećanje čuđenje 
58,izuzetno dobar ; ovaj reč se koristiti za naglašavanje značenje drugi reč 
59,"presuda ( odluka ) da optužiti jesam kriv , odluka o nepostojanje krivica , o oslobađanje od krivica "
60,moralan izvanrednost . 
61,osećanje naklonjenost 
62,revnostan u posvećenost i privrženost 
63,"zadovoljan stanje sreća , zdravlje i prosperitet . "
64,briga o razlikovanje dobar i zao ili pravedan i nepravedan ; dobar ili pravedan ponašanje 
65,onaj koji imati visok vrednost ili cena ; 
66,oporavak ili način čuvanje od gubitak ili opasnost . 
67,koji inavodi na divljenje ili odobravanje 
68,smanjiti bol ili neprijatnost ; ublažiti 
69,"onaj koji uživati ili pokazivati radost , zadovoljstvo ili srešu . "
70,koji izražavati ili propovedati obožavanje božanstvo . 
71,koji moći ponovo da se koristiti 
72,postati stabilan ili stabilan . 
73,""" slaviti vrlina svoj deca "" "
74,"koji imati veseo karkater , jesam sklon briga . "
75,koji jesam pun pozitivan energija i širok dobar raspoloženje 
76,na visok nivo po rang ili značaj 
77,zaokupiti na prijatan ili zabavan način . 
78,ne pridržavanje moralan princip . 
79,stanje izuzetan sreća . 
80,inherentan kompleks atribut koji određivati moralan i etički akcija i reakcija osoba . 
81,osećanje naklonost prema neki ili nećemu dobar 
82,usrećiti ili zadovoljiti 
83,"koji ohrabrivati , odobravati ili zadovoljavati "
84,veseo osećanje 
85,osećati zadovoljstvo zbog nešto 
86,izuzetan moralan vrednost . 
87,koji donositi spasenje ili iskupljenje od greh 
88,koji činiti ili donositi dobro 
89,onaj koji posedovati moralan kvalitet ; 
90,"osobina onaj na šta se moći osloniti , što jesam pouzdano "
91,Ublažavanje patnja ; pokazivanje velik dobrota prema izmučen . 
92,sposoban za korektan i validan rezonovanje 
93,biti prihvatljiv ili odgovarajući . 
94,osobina ljudi da verovati u poštenje i pouzdanost drugi 
95,ispuniti očekivanje . 
96,"učiniti da nešto postati sanitarni ( bez bacil ) , replaced-dns "
97,koji osećati ili izražavati radost i veselje 
98,umetnik nenadmašan veština . 
99,postignuti bod ili cilj 
100,diviti se i čuditi nešto 
101,biti veoma primetati . 
102,koji osećati ili pokazivati ljubav i naklonost 
103,"onaj ko imati nežan , pažljiv i obziran priroda ; koristiti se za osoba i njihov ponašanje . "
104,koji jesam osloboditi stresati ili pogodovati mentalan opuštenost ; koji imati ili pružati duševan mir 
105,držanje do moralan princip 
106,nesmanjen i nenarušen celovitost ili ukupnost . 
107,koji donositi dobar profit 
108,pogodan trenutak . 
109,blagonaklon procena 
110,okarakterisan prijateljstvo i dobar volja 
111,koji odgovarati za svoj postupak . 
112,koji osećati ili ispoljavati velik uzbuđenje ili zainteresovanost 
113,moralan ispravnost 
114,"biti zdrav , osećati se dobro . "
115,Čista nezaslađen čokolada koji se koristiti za kuvanje ( za pravljenje kolač ) . 
116,Jačati u snaga . 
117,"kvalitet koji činiti daa jesam nešto poželjan , vredan ili korisno . "
118,"prijatan za oči ili duša , posebno jer jesam lep ili šarmantan . "
119,"koji imati ili ukazivati na dobro zdravlje telo ili duh , kod koji nem upala ili bolest . "
120,koji ispoljavati pogodan ili povoljan uticaj 
121,upadljiv uspeh . 
122,"onaj što jesam dobro , vredan ili korisno "
123,koji koristiti intelekt ili jesam privlačan intelekt . 
124,nagon za polni prisnost . 
125,proizvesti smeh . 
126,( za naglašavanje značenje ) izuzetno dobro 
127,"koji se žeti , tražiti "
128,neki ceniti atribut ili kvalitet . 
129,osobina onaj ko jesam široko prihvatiti i čiji se društvo tražiti . 
130,lepota koji jesam privlačan čulo . 
131,osećanje prijateljstvo i uvažavanje 
132,gledati neki sa divljenje . 
133,nadmoćan ili povoljan položaj 
134,"u skolastika , jedan od četiri vrlina koji dolaziti od priroda . "
135,velik bogatstvo . 
136,koji moći da se redukovati 
137,"osobina neki ko jesam veličanstven , briljantan "
138,moralno primeran 
139,"zadobiti kakav prednost , kao što jesam bod itd . "
140,osobina da se radi onaj što jesam ispravan i da se izbegavati onaj što jesam 
141,od velik značaj ili važnost . 
142,"imati poželjan ili pozitivan kvalitet , posebno onaj koji jesam pogodan za određenu stvar "
143,koji jesam sklon ljubav ili ispoljavanje ljubav 
144,koji osećati ili pokazivati dobro raspoloženje 
145,osećanje seksualan ljubav 
146,"zaklanjati od opasnost , povreda , uništenje ili šteta . "
0,veoma odbojan 
1,stanje u koji jesam neki tužan . 
2,slab sposobnost da se razumeti iskustvo ili profitirati iz on . 
3,uzrokovati probadanje 
4,Ispuštati vonj . 
5,"zaprljati , onečistiti . "
6,onaj što izazivati bol ili patnja . 
7,nedoličan ili nemoralan ponašanje 
8,"koji osećati ili ispoljavati žalost , naročito zbog nepovratan gubitak "
9,odbojnost doživiti kao odsustvo druželjubivost . 
10,koji ne moći da se desiti ili ostvariti ili s koji se ne moći rukovati . 
11,"koji nemati potreban sposobnost , veština ili znanje . "
12,ne biti podložan nešto . 
13,odbiti s gnušanje 
14,nepravedan postupanje prema neki osoba ili grupa na osnova predrasuda . 
15,Pokušaj da se za sebe dobiti ličan priznanje ( posebno neprihvatljiv sredstvo ) . 
16,koji dovoditi ( pričinjavati ) fizički neudobnost . 
17,okarakterisan zloba 
18,izuzetno uvredljiv za moral ; koji izazivati užas 
19,divljački i prekomeran ubijanje mnogi ljudi 
20,intenzivan ili preterano loš ili neprijatan po kvalitet ili stepen . 
21,izuzetno loš ili nezadovoljavajući 
22,"nezgoda , posebno ona koji prouzrokovati povreda ili smrt . "
23,koji nemati osećanje sažaljenje i toplina 
24,izazvati šteta na nešto . 
25,osećanje misaon tuga 
26,osoba koji ne prihvatati nov ideja 
27,bolan osećaj koji proizlaziti iz svest o nedovoljnost ili krivica 
28,Uništiti ili oštetiti na nasilan način . 
29,okrutan poslodavac koji od zaposlen tražiti da prekomeran raditi . 
30,Osećanje pomanjkanje briga . 
31,"Nemogućnost da se odmoriti , opustiti ili biti miran . "
32,osećanje intezivne nesreća 
33,"neraspoznatljiv , nejasan obris "
34,okoristiti se kakav mogućnost bez obzir na posledica za drugi 
35,"koji jesam normalan , tipičan , uobičajen , regularan ili jesam u saglasnost sa norma . "
36,koji ne proizvoditi nameravan efekt . 
37,stanje u koji čovek ne moći da funkcionisati normalno i bez bol . 
38,osobina onaj što ne zasluživati poverenje . 
39,onaj koji nemati ili ne pokazivati sažaljenje ili saosećanje . 
40,intenzivan ojađenost 
41,koji jesam otrovati ili proizvoditi otrov . 
42,koji ispoljavati žalost 
43,Osećanje velik žalost povezati sa gubitak ili lišavanje . 
44,nedostatak briga za dobrobit drugi 
45,"onaj što jesam lako , zahtevati velik fizički ili mentalan napor da biti se ostvariti . razumeti ili izdržati . "
46,koji jesam klonuo duh 
47,bez nada ili skoro bez nada 
48,Osećati tuga . 
49,osećanje zaplašenost 
50,koji jesam savršen ; defektan ili neadekvatan . 
51,povrediti nečiji osećanje 
52,koji izazivati strah ili užas 
53,koji osećati ili ispoljavati kajanje zbog nedelo 
54,koji više nemati životan funkcija ( ili bar tako izgledati ) . 
55,patiti od nešto ; bolovati od nešto . 
56,koji narušavati princip dobra i zlo . 
57,biti podvrgnuti ( emocionalan bol ) . 
58,"koji karakeriše ili koji pokazivati odbijanje , poricanje ili suprotstavljanje ; koji nemati pozitivan svojstvo . "
59,stanje bol ili patnja zbog loš zdravlje 
60,"koji jesam vlik po količina , broj ili stepen . "
61,odbaciti ( dokument ) kao nevažeci 
62,stanje sumoran žalost 
63,iznenadno stanje žestok emocionalan uznemirenost 
64,koji zasluživati sažaljenje ili podsticati na sažaljenje 
65,neprijatan ili razočaravajući iznenađenje 
66,"odgovor telesni tkivo na povreda ili nadržaj ; karakterisati ga bol , otok , crvenilo i pečenje . "
67,biti odbojan ; izazivati averzija 
68,koji drugi žeti zlo ; koji nastajati iz velik zloba ili mržnja . 
69,koji jesam zadovoljan ; koji doživljavati ili ispoljavati nezadovoljstvo 
70,( poetski ) muka 
71,"onaj koji se ne moći ukazati poverenje , u koji se ne moći pouzdati "
72,žalostan zbog gubitak ili uskraćenosti 
73,kvalitet onaj što ne moći da postojati ili raditi u usklađen kombinacija . 
74,koji izazivati osećanje užas 
75,neprijateljski stav 
76,stanje biti nezaposlen ili nemati posati . 
77,nejasno i neprijatan osećanje koji se imati u iščekivanje neki loš ishod 
78,koji jesam tužan ili izazivati tuga 
79,pun ili označen ozlojeđenost ili zlovolja 
80,"biti uplašiti , plašiti se "
81,stanje u koji se malo novac i materijalan dobro . 
82,uopšten osećanje tuga 
83,nenormalan depresija i nezadovoljstvo 
84,"koji ne tražiti , ne iziskivati specijalan nutricione potreba "
85,onaj što jesam ispod standard i očekivanje u pogled moral ili pristojnost 
86,tuga izazvan bol i tuga 
87,usmrtiti namerno i sa predumišljaj . 
88,koji jesam spojiti ili vezati . 
89,poduhvat koji se preduzimati bez obzir na moguć gubitak ili povreda 
90,Oblačiti se u crn kao znak žalost . 
91,kvalitet nešto što jesam adekvatno ili perfektno . 
92,Pričati na besposlen ili neobavezan način sa element sumnja ili bez dovoljno razlog da se doći do zaključak . 
93,tuga onaj koji jesam neki napustiti ili ostaviti 
94,podsticati neki da počiniti zločin ili neki krivičan delo 
95,učiniti da neki ili nešto ne biti osetljiv ili osetljiv 
96,kada nem jednakost 
97,koji jesam raspoložiti da sarađivati 
98,koji jesam tužan ili prizivati tuga 
99,taj neprekidan nerazumljiv zvuk ; obično ga pratiti kretanje usna koji ne proivodi artikulisan govor . 
100,koji osećati nadolazeći opasnost 
101,smanjenje u veličina organ usled bolest ili nekorišćenja . 
102,kvalitet koji ne pružati zadovoljstvo čulo . 
103,stanje koji još ne odgovarati zrelost . 
104,koji jesam nesposoban da se jesam snaći 
105,okrutan čin ; namerno izazivanje bol ili patnja . 
106,koji odrati ( po pitanje cena ) ; za šta nerazuman cena tražiti 
107,stanje kada jesam učiniti prekršaj . 
108,griža savest kada se neki osećati kriv za prekršaj 
109,"biti lažljiv , neiskren prema neki . "
110,tuga izražen plakanje 
111,nesposoban da delovati : bez pomoć 
112,lišiti sloboda ; držati u zatvor 
113,stanje koji karakterisati osećanje u raspon od blag nezadovoljstvo do dubok bol . 
114,svojstvo onaj koji nedostajati živost 
115,veoma loš kvalitet ili u veoma loš stanje 
116,bolest krv ili narušavanje funkcionisanje krvni ćelija . 
117,ne osecati se dobro ili udobno . 
118,koji ne pripadati snaga sopstven zemlja ili snaga saveznik 
119,osećanje uporan tuga 
120,moralno iskvariti 
121,svaki odstupanje od zdrav ili normanog stanje 
122,koji jesam nezavisan . 
123,kvalitet neki ili nešto što imati slab ili manje poželjan pozicija . 
124,"prolivati suza zbog tuga , bes ili bol . "
125,"odbojno , vrlo neprijateljski ponašanje "
126,bolest koji karakterisati neki zapaljenski proces 
127,koji jesam moralno odbojan ili neugodan za čulo . 
128,na prljav i nečist način 
