,Sysnet
2576,"koji se ticati Šajcarske , njen ljudi i kultura "
7902,žut Pipin jabuka sa karakterističan ukus 
13214,koji se odnositi na naučni izučavanje jezik . 
15758,komad pribor za jela koji imati drška i zaokrugliti deo koji se uzimati tečan hrana 
9521,"u računarstvo , ukazivač koji kada pokazivati zaslon računar detektovati da li jesam tačka osvetliti ili ne "
93,osećati fizički bol 
10276,učiniti zadovoljan 
17470,ugao koji graditi dva objekt i posmtrač ( koji jesam u teme ) koji ona posmatrati 
15290,vrtni salata kod koji jesam lišće okupiti u čvrst glava . 
7640,dozvoliti učešće ili dati neki prava da biti deo nešto 
7273,grupa predstavnik ili delegat . 
678,divljati ili pripitomiti ptica sa težak telo i kratak noga . 
4388,pešadinac koji jesam naoružan musketa 
14341,sredstvo za čišćenje metenje ; snop slamka ili grančica prikačen na dugačak ručak 
5127,Zaštitini prekrivač koji obezbeđivati zaštita od vremenski prilika . 
8807,koji se odnositi na isposnik ili jesam prikladan isposnik ili njihov izolovan život 
6705,jedan od više brz afrički konj sa crno-belim pruga . 
8912,podeliti ili organizovati u govorni segment ili govorni zvuk koji se moći izolovati 
10611,služba u koji ljudi pevati himna i zajedno se moliti 
903,"po spoljašnjost ličiti na ovan ; koren rogoca jesam on širok i pokrivau skoro ceo čela ; imati gusto , dugačak i rutav runo . "
10010,slovo upisati na nešto ( posebno izrezbariti ili ugravirati ) . 
18830,tiganj od tučen gvožđe 
15450,osnovni novčan jedinica u Singapur 
276,izuzetan moralan vrednost . 
7743,pozicioni brojni sistem koji koristiti @card@ cifra i osnova @card@ 
5153,godišnji i višegodišnji trava koji uključivati i dekorativan i livadsek vrsta kao i korov 
15313,malo poznat kamarupski jezik 
4567,( stih ) koji imati retorički pauza na kraj svaki red 
8970,sova . 
18486,"kuhinjski sprava za pasiranje , npr . krompir "
14563,Daždevnjak Novog svet ( Meksiko ) ; mali do umereno velik . 
16994,"jestiv riba , školjka , rak , itd . "
19104,karakterističan funkcionisanje nešto 
428,"tempo , obično brz , koji se nešto događati . "
7641,evropski varijetet dabar . 
11639,koji se odnositi na Meksiko i njegov ljudi 
17325,biti koji od brojni relativno mali izdužen mek životinja posebno red Annelida i Chaetognatha i Nematoda i Nemertea i Platyhelminthes ; takođe i mnogi larva insekt 
16243,ugljeni gorivo koji se dobijati destilacija ugalj 
13817,biti u odbrambeni položaj ; delovati protiv napad . 
9736,pun aktivnost ili uključiti u neprestan aktivnost . 
17703,svojstvo koji se uočavati dodir 
3287,jezik na koji se prevoditi tekst napisan na drugi jezik 
6696,sudski nalog ( koji jesam uobičajen ) koji se nalagati službenik da sprovesti izvršan akt koji zakon prepoznavati kao apsolutan dužnost a ne kao stvar slobodan odlučivanje službenik : koristiti se samo u slučaj kada jesam sav pravni lek iscrpiti ( kada nijedan upotrebiti pravni lek ne uspeti ) 
6486,sloj malter 
19281,koji se ticati Rim i njegov ljudi 
5604,bakterijski rod ( rod bakterija ) 
11845,koncepcijski celina sačiniti od komplikovan i povezan delovati . 
16019,provodnik načiniti od poluprovodnički materijal . 
15715,sastojak koji se dodavati nešto da ga poboljšati . 
9567,britanski novinarstvo ; ulica u centar London u koji jesam smestiti sedište većina novinski agencija 
5672,Višegodišnja zeljast biljka čiji riza miriti slično kao đumbir 
18900,stanje nepovezanosti u pamćenje ili mašta 
8811,mesto gde stvar moći da se ostaviti na čuvanje 
11733,biti koji osoba u oružan snaga koji držati položaj od autoritet ili komanda 
13313,porodica gljiva koji pripadati red Agaricales . 
188,koji jesam pun pozitivan energija i širok dobar raspoloženje 
11735,"izuzetno mršav , kost i koža "
14630,"centralni deo planuti zemlja , izgraditi od materijal velik gustina , u koji dominirati gvožđe i nikl . sastojati se od čvrst unutrašnji i tečan spoljašnji jezgra . "
6238,"zvaničan književan jezik Pakistan , u blizak veza sa hindijem ; u širok jesam upotreba u Indija ( uglavnom među musliman ) ; pisati se arapski pisma "
6441,Ograničena zona na zemlja . 
1922,privatan nezavisan srednji škola u velik Britanija podržavan donacija i školarina 
6789,imati proslava . 
9475,Društveni ili samostalan opnokrilac koji obično imati tanko telo sa abdomen koji jesam prikačiti uzak batrljicom uočljiv otrovan žokom . 
1223,izmeren porcija lek koji se uzimati odjednom . 
5838,"vrlo rasprostraniti soko , koristiti se u lov "
8268,neki od brojni biljka iz porodica tikva sa tvrd kor i sladak sočan meso . 
3302,"okretan vitak životinja koji živiti na drvo , nešto veće od lasica . "
3664,u računarstvo pravilo koji određivati format i način prenos podatak 
5642,nešto što obezbeđivati pristup 
16315,"sastojati od tri delo , cilijarnog tijelo ( Corpus ciliare ) , kroz koji prolaziti struktura sočivo i deo za akomodacija oka . istaknut deo srednji opna oka jesam dužica ( Iris ) . ona regulisati veličina otvor zenica ( Pupilla ) i količina svetlost . njen pigmentacija određivati boja oči . "
7398,visok šaš iz dolina Nil koji davati vlakno koji se kroz istorija koristiti za razneti namena . 
17576,arhitektonski podloga ili baza ( kao za stub ili statua ) 
12689,predstavljanje reč drugi osoba u govor 
4399,Događaj koji jesam karakterističan po taj što ljudi formirati grupa . 
10991,urbani zona sa određenom granica koji jesam manja od grad 
19263,uspostaviti ili proveriti upotreba šta 
14393,ponašati se na takav način da se neki ili nešto steći 
1679,baciti činiti na neki ili nestxo 
10289,jedan od dva blizanac koji jesam se razviti iz isti oplođen jaje i imati isti genetski materijal 
13946,( o kosa ) koji imati talasast kosa ; 
2602,Predložiti za prihvatanje ili odbijanje . 
16732,pitati koji sadržati goveđi odrezak i prethodno propržiti bubreg koji jesam zatim zajedno sa crn luka kuvan u vino i konjak . 
500,slab kaša ( često ovsena ili kukuruzni ) 
12725,"organizam koji nastati od genetički različit roditelj ; posebno se odnositi na biljka i životinja nastati od različit varijetet , sorta ili vrsta "
5266,svaki drvo ili žbun iz rod Betula kojeima tanak kor koji se ljuštiti . 
333,grupa stvar ( dobro ili umetnički delo itd . ) za javan pokazivanje . 
4240,stanovnik Mauricijus ili poreklo sa Mauricijus 
14656,"čovek s urođen albinizam : imati beo kosa , potpuno beo koža i roze oči "
6983,električni uređaj koji konvertovati jedan oblik energija u drugi 
7626,dokaz identitet ; nešto što utvrđivati osoba ili stvar 
1411,zona ili područje koji ličiti na ostrvo 
12752,paprikaš ( ili gust sup ) od meso i povrće 
11595,široko rasprostraniti beo čaplja star svet 
13822,grčki vino koji jesam radi ukus izložen smola najčešće bor 
1507,abnormalan mali lobanja i nedovoljno razviti mozak 
2054,fakultet i student škola koji se specijalizirati za jedan od lep umetnost 
12875,biti koji komunikacija koji se kodirati poruka . 
16221,sistem javan prevoz putnik 
17995,zbirka predmet naredanih na jedan vlakno . 
13468,osoba koji poznavati . 
16753,"prazan prostor , obično na neki način ograničiti . "
1464,pokretan torbar nalik pacov ; živiti u Australija i suednim ostrvimal hraniti se insekt i biljka . 
1064,davati nešto kao proizvod . 
108,nejasno i neprijatan osećanje koji se imati u iščekivanje neki loš ishod 
1711,"grupa od tri japanski ostrvo u severozapadni Tiha okean , severno od Marinaskih ostrvo "
2324,"skeletni sistem , posebno kod kičmenjak "
11462,elektronski prenos podatak koji jesam digitalan kodiran ( npr . za skladištenje i obrada putem računar ) 
8636,novčan jedinica Makao 
8642,"imati na glava dva nosni otvor ; ždrelo ime jesam uzan , koža gladak , glava ogroman , rožne ploča dugačak , grudni peraja širok i zubat , a leđni peraja nemati . "
16403,velik skoro izumro evropski divalj goveda sa dug rog ; smatrati se predak domaći goveda . 
9751,koji se odnositi na jezik koji jesam nastati iz latinski 
3357,"koji se odnositi na grana filozofija koji se baviti element i zakon , naročito takav odlika vaseljena kao što jesam prostor , vreme i uzročnost "
12092,upravljati avion . 
5272,visok višegodišnji biljka sa čupav stabljika i lišće ; široko se gajiti zbog velik nepravilan jestiv krtola . 
18427,Jaka zelen liker aromatizovan pelin i anis . 
5438,neki od brojni godišnji i višegodišnji biljka iz rod Physalis koji rađati jestiv mesnat bobica zatovorene u ljuska ; neki se gajiti zbog cveće . 
3352,"trava sa širok pljosnat lišće koji se gajiti u Evropa i Amerika za ispaša , sena i za lej . "
12387,deveti mesec Francuski revolucionaran kalendar ( maj i jun ) ; mesec dolina 
10869,planinski lanac koji se prostirati duž istočni obala Australija 
9750,sistematski uništavanje kakav rasan ili kulturan grupa 
2693,sposobnost vođenje . 
3933,osnovni novčan jedinica Irak 
12220,napitak koji se sastojati od primesa mleven zrno kafa . 
5064,električni pražnjenje u atmosfera 
9609,"ući u ( voz , autobus , brod , letelica itd ) "
41,stav divljenje ili poštovanje . 
16778,postati mekan ili tečan . 
7407,izbaciti ili eliminisati ( ukloniti ) 
4714,Najmanja administrativan oblast u više evropski zemlja . 
18740,vrsta riba morski đavo sa velik glava ; nalaziti se u severozapadni Atlantik 
14106,slovoslagački mašina koji se upravljati pomoću tastatura koji svaki red izlivati kao jedan mašinski red 
11369,traženje informacija 
10900,promeniti spoljašnji struktura ili izled 
9005,neki od različit trava iz star svet iz rod Anchusa koji imati cvet u oblik trubica grupisati na jedan strana . 
6268,metrički jedinica za zapremina koji odgovarati zapremina kocka čiji jesam stranica dužina jedan milimetar 
12493,"rashlađen pića koji se najčešće praviti od džin i voćni sok , služiti se u visok čaša "
17871,knjiga sa tekst koji pomagati u savladavanje gradivo 
17713,alkeni jesam organski jedinjena iz grupa nezasićen ugljovodonika kod koji se javljati najmanje jedan dvostruk veza 
1683,"Muško goveče , obično uškopiti , upotrebljavati se kao tegleći životinja . "
161,pretrpeti izmena površina ili izazvati takav promena . 
12180,( filozofija ) filozofski teorija po koji jesam materija jedina realnost 
15993,predacious long-bodied large-eyed insect of warm regions ; rests with forelimbs raised as in prayer 
15054,gornji sloj profil tlo ; obično sadržati humus 
15173,vrsta mali raka koji se obično kratko kuvati 
