,Sysnet
17135,Synset: ID is ENG30-00778275-v
2682,Synset: ID is ENG30-06248043-n
4761,Synset: ID is ENG30-07010275-n
9995,Synset: ID is ENG30-00088481-n
9914,Synset: ID is ENG30-04590553-n
12355,Synset: ID is ENG30-00923444-n
2625,Synset: ID is ENG30-01916214-v
53,Synset: ID is ENG30-07890617-n
5522,Synset: ID is ENG30-01302544-a
17653,Synset: ID is ENG30-12782530-n
17101,Synset: ID is ENG30-12530208-n
11595,Synset: ID is ENG30-02009750-n
1804,Synset: ID is ENG30-03237639-n
12933,Synset: ID is ENG30-06284898-n
2591,Synset: ID is ENG30-06193203-n
17054,Synset: ID is ENG30-00158503-v
6103,Synset: ID is ENG30-01789064-n
16728,Synset: ID is ENG30-06724763-n
10907,Synset: ID is ENG30-04396902-n
10166,Synset: ID is ENG30-13867641-n
19088,Synset: ID is ENG30-02579557-n
7464,Synset: ID is ENG30-09733333-n
2027,Synset: ID is ENG30-01204318-a
10701,Synset: ID is ENG30-00030358-n
1168,Synset: ID is ENG30-09577308-n
7016,Synset: ID is ENG30-04166553-n
9172,Synset: ID is ENG30-13996300-n
235,Synset: ID is ENG30-08324514-n
11682,Synset: ID is ENG30-06875697-n
2200,Synset: ID is ENG30-07976936-n
7260,Synset: ID is ENG30-03822504-n
4116,Synset: ID is ENG30-02666029-a
18979,Synset: ID is ENG30-02354162-n
9470,Synset: ID is ENG30-00042228-a
2593,Synset: ID is ENG30-09792555-n
13734,Synset: ID is ENG30-02108654-v
6001,Synset: ID is ENG30-08928193-n
10138,Synset: ID is ENG30-02830849-a
248,Synset: ID is ENG30-01061489-a
44,Synset: ID is ENG30-01993926-v
12262,Synset: ID is ENG30-03176594-n
4561,Synset: ID is ENG30-01547143-n
17033,Synset: ID is ENG30-00007846-n
11104,Synset: ID is ENG30-15174885-n
11376,Synset: ID is ENG30-07744682-n
17492,Synset: ID is ENG30-01043887-v
8910,Synset: ID is ENG30-02310855-v
3938,Synset: ID is ENG30-00873251-a
127,Synset: ID is ENG30-05141683-n
10231,Synset: ID is ENG30-05238036-n
14647,Synset: ID is ENG30-12679023-n
1605,Synset: ID is ENG30-13787723-n
15675,Synset: ID is ENG30-07922147-n
11973,Synset: ID is ENG30-03078975-a
16947,Synset: ID is ENG30-08842583-n
12276,Synset: ID is ENG30-01190683-a
4398,Synset: ID is ENG30-13384877-n
3664,Synset: ID is ENG30-06665108-n
212,Synset: ID is ENG30-00403783-n
5451,Synset: ID is ENG30-10393909-n
6860,Synset: ID is ENG30-08842258-n
14064,Synset: ID is ENG30-06955242-n
132,Synset: ID is ENG30-01011425-n
13828,Synset: ID is ENG30-03971422-n
3482,Synset: ID is ENG30-07754451-n
295,Synset: ID is ENG30-04809089-n
10793,Synset: ID is ENG30-06904748-n
4076,Synset: ID is ENG30-13134302-n
19251,Synset: ID is ENG30-12744277-n
13776,Synset: ID is ENG30-01718952-v
