,Sysnet
10891,Synset: ID is ENG30-02671062-n
8657,Synset: ID is ENG30-02931013-n
538,Synset: ID is ENG30-00434919-v
11098,Synset: ID is ENG30-01409523-v
12501,Synset: ID is ENG30-08838716-n
17859,Synset: ID is ENG30-10006511-n
649,Synset: ID is ENG30-06813506-n
2802,Synset: ID is ENG30-11595312-n
18109,Synset: ID is ENG30-06053982-n
3268,Synset: ID is ENG30-01042661-n
18382,Synset: ID is ENG30-00074038-v
12329,Synset: ID is ENG30-01005904-v
16315,Synset: ID is ENG30-05317960-n
19116,Synset: ID is ENG30-02769748-n
4296,Synset: ID is ENG30-03885535-n
9484,Synset: ID is ENG30-12651611-n
18541,Synset: ID is ENG30-02373336-n
16496,Synset: ID is ENG30-02848523-n
5612,Synset: ID is ENG30-01355207-a
1939,Synset: ID is ENG30-11153615-n
9730,Synset: ID is ENG30-02806565-a
15626,Synset: ID is ENG30-01911839-n
12180,Synset: ID is ENG30-05972585-n
255,Synset: ID is ENG30-01510444-a
16531,Synset: ID is ENG30-00894499-v
2324,Synset: ID is ENG30-05586446-n
6596,Synset: ID is ENG30-05221649-n
950,Synset: ID is ENG30-02465084-n
10462,Synset: ID is ENG30-07590974-n
4743,Synset: ID is ENG30-02866183-a
16745,Synset: ID is ENG30-09236423-n
10115,Synset: ID is ENG30-01868370-v
18009,Synset: ID is ENG30-06201136-n
133,Synset: ID is ENG30-01128193-v
18494,Synset: ID is ENG30-11664929-n
2723,Synset: ID is ENG30-11817000-n
7287,Synset: ID is ENG30-05844105-n
11247,Synset: ID is ENG30-00594337-v
4758,Synset: ID is ENG30-01030280-n
14231,Synset: ID is ENG30-00813589-a
4897,Synset: ID is ENG30-03969259-n
10413,Synset: ID is ENG30-01038485-n
377,Synset: ID is ENG30-11779801-n
13739,Synset: ID is ENG30-01942177-n
6151,Synset: ID is ENG30-03081021-n
7997,Synset: ID is ENG30-00661713-v
4945,Synset: ID is ENG30-02382948-n
2789,Synset: ID is ENG30-08659993-n
16802,Synset: ID is ENG30-01860795-v
18149,Synset: ID is ENG30-03842012-n
11584,Synset: ID is ENG30-01332730-v
6957,Synset: ID is ENG30-01983771-v
16710,Synset: ID is ENG30-06923580-n
13988,Synset: ID is ENG30-12660796-n
17560,Synset: ID is ENG30-05980412-n
228,Synset: ID is ENG30-01782519-a
7703,Synset: ID is ENG30-07931001-n
50,Synset: ID is ENG30-14491625-n
5685,Synset: ID is ENG30-13891371-n
16154,Synset: ID is ENG30-14360915-n
1033,Synset: ID is ENG30-07780874-n
8551,Synset: ID is ENG30-07638039-n
8760,Synset: ID is ENG30-13714184-n
12984,Synset: ID is ENG30-05448704-n
15639,Synset: ID is ENG30-08375369-n
300,Synset: ID is ENG30-01513050-a
8084,Synset: ID is ENG30-05459101-n
7538,Synset: ID is ENG30-14726484-n
4172,Synset: ID is ENG30-05580416-n
3905,Synset: ID is ENG30-02240517-n
17161,Synset: ID is ENG30-07017733-n
19445,Synset: ID is ENG30-06373314-n
2474,Synset: ID is ENG30-03851787-n
5615,Synset: ID is ENG30-01617095-n
15816,Synset: ID is ENG30-01349333-n
6544,Synset: ID is ENG30-11703669-n
12224,Synset: ID is ENG30-10302446-n
9495,Synset: ID is ENG30-08997132-n
537,Synset: ID is ENG30-02002724-n
7483,Synset: ID is ENG30-08913434-n
7504,Synset: ID is ENG30-02802576-a
16968,Synset: ID is ENG30-11484861-n
2103,Synset: ID is ENG30-14688500-n
3102,Synset: ID is ENG30-07972674-n
8478,Synset: ID is ENG30-13671047-n
6048,Synset: ID is ENG30-08160276-n
16859,Synset: ID is ENG30-12916356-n
6439,Synset: ID is ENG30-12769430-n
3755,Synset: ID is ENG30-14424780-n
11745,Synset: ID is ENG30-00759501-v
814,Synset: ID is ENG30-11721337-n
13491,Synset: ID is ENG30-13788369-n
9068,Synset: ID is ENG30-12316444-n
18815,Synset: ID is ENG30-08278589-n
19021,Synset: ID is ENG30-00614489-n
7260,Synset: ID is ENG30-03822504-n
16743,Synset: ID is ENG30-05706375-n
4304,Synset: ID is ENG30-14680514-n
3739,Synset: ID is ENG30-01439121-n
17516,Synset: ID is ENG30-03859958-n
9948,Synset: ID is ENG30-13407561-n
8292,Synset: ID is ENG30-03589093-n
10545,Synset: ID is ENG30-00525453-a
14408,Synset: ID is ENG30-05532944-n
4384,Synset: ID is ENG30-09571090-n
13027,Synset: ID is ENG30-02909952-a
4985,Synset: ID is ENG30-00406243-v
10880,Synset: ID is ENG30-07651774-n
17963,Synset: ID is ENG30-00228181-n
18313,Synset: ID is ENG30-02655560-a
17394,Synset: ID is ENG30-04493381-n
7049,Synset: ID is ENG30-09376198-n
10174,Synset: ID is ENG30-13547048-n
5779,Synset: ID is ENG30-07001065-n
14277,Synset: ID is ENG30-07777358-n
16250,Synset: ID is ENG30-12471544-n
9379,Synset: ID is ENG30-00177243-v
17962,Synset: ID is ENG30-06427831-n
3991,Synset: ID is ENG30-12326604-n
11282,Synset: ID is ENG30-02560964-n
13746,Synset: ID is ENG30-14479615-n
9804,Synset: ID is ENG30-00473572-v
5464,Synset: ID is ENG30-02188587-v
11109,Synset: ID is ENG30-07112364-n
2237,Synset: ID is ENG30-09406551-n
2720,Synset: ID is ENG30-07877849-n
10111,Synset: ID is ENG30-09167505-n
17281,Synset: ID is ENG30-01090335-v
9631,Synset: ID is ENG30-07798728-n
12211,Synset: ID is ENG30-02133161-n
6145,Synset: ID is ENG30-13524399-n
17168,Synset: ID is ENG30-01309807-n
7512,Synset: ID is ENG30-12914731-n
11082,Synset: ID is ENG30-03021543-a
13486,Synset: ID is ENG30-07926920-n
4362,Synset: ID is ENG30-02798014-a
2448,Synset: ID is ENG30-09843824-n
7137,Synset: ID is ENG30-13591761-n
15098,Synset: ID is ENG30-05974156-n
12392,Synset: ID is ENG30-00180837-v
6630,Synset: ID is ENG30-03096960-n
15677,Synset: ID is ENG30-07111510-n
16767,Synset: ID is ENG30-00697365-n
1639,Synset: ID is ENG30-14911057-n
9545,Synset: ID is ENG30-13699747-n
11020,Synset: ID is ENG30-05948264-n
3501,Synset: ID is ENG30-02737876-v
15493,Synset: ID is ENG30-03963982-n
1611,Synset: ID is ENG30-12598629-n
193,Synset: ID is ENG30-01653442-v
258,Synset: ID is ENG30-07602279-n
10070,Synset: ID is ENG30-06290637-n
2637,Synset: ID is ENG30-06976833-n
15114,Synset: ID is ENG30-06394701-n
6194,Synset: ID is ENG30-13388245-n
3771,Synset: ID is ENG30-13724582-n
13720,Synset: ID is ENG30-02857023-n
13385,Synset: ID is ENG30-07710952-n
17227,Synset: ID is ENG30-10351874-n
9189,Synset: ID is ENG30-03001428-a
16829,Synset: ID is ENG30-13128365-n
13839,Synset: ID is ENG30-00657260-v
11854,Synset: ID is ENG30-00873381-n
5935,Synset: ID is ENG30-12586110-n
15873,Synset: ID is ENG30-13693514-n
420,Synset: ID is ENG30-07932323-n
3407,Synset: ID is ENG30-05285275-n
16389,Synset: ID is ENG30-06409752-n
8796,Synset: ID is ENG30-03052218-a
7220,Synset: ID is ENG30-06072145-n
12030,Synset: ID is ENG30-12289744-n
42,Synset: ID is ENG30-01367651-a
12839,Synset: ID is ENG30-03414162-n
68,Synset: ID is ENG30-14493145-n
116,Synset: ID is ENG30-02728142-v
5320,Synset: ID is ENG30-01010852-v
3042,Synset: ID is ENG30-03789946-n
12834,Synset: ID is ENG30-05296775-n
18880,Synset: ID is ENG30-06551498-n
17599,Synset: ID is ENG30-01174294-v
12164,Synset: ID is ENG30-12130937-n
11410,Synset: ID is ENG30-15254550-n
5955,Synset: ID is ENG30-09576548-n
1194,Synset: ID is ENG30-00755447-v
259,Synset: ID is ENG30-01090308-a
9720,Synset: ID is ENG30-01533893-n
6790,Synset: ID is ENG30-09433839-n
15652,Synset: ID is ENG30-02408281-v
9275,Synset: ID is ENG30-09041371-n
4729,Synset: ID is ENG30-10121800-n
12933,Synset: ID is ENG30-06284898-n
8589,Synset: ID is ENG30-08478018-n
5366,Synset: ID is ENG30-03189707-n
10944,Synset: ID is ENG30-11065345-n
3097,Synset: ID is ENG30-02296495-v
10991,Synset: ID is ENG30-08665504-n
8191,Synset: ID is ENG30-00752764-v
8667,Synset: ID is ENG30-07658168-n
12995,Synset: ID is ENG30-12546015-n
15490,Synset: ID is ENG30-08069878-n
3368,Synset: ID is ENG30-09170788-n
1919,Synset: ID is ENG30-14450540-n
7444,Synset: ID is ENG30-14813182-n
10972,Synset: ID is ENG30-13384557-n
11286,Synset: ID is ENG30-15284285-n
9916,Synset: ID is ENG30-09263619-n
2339,Synset: ID is ENG30-06253690-n
5684,Synset: ID is ENG30-00112018-a
18619,Synset: ID is ENG30-00629997-a
6891,Synset: ID is ENG30-03594148-n
15580,Synset: ID is ENG30-01589893-n
18190,Synset: ID is ENG30-02937294-a
12411,Synset: ID is ENG30-02236495-n
5231,Synset: ID is ENG30-05558717-n
2025,Synset: ID is ENG30-07745803-n
2768,Synset: ID is ENG30-01203288-a
1520,Synset: ID is ENG30-01476829-n
12503,Synset: ID is ENG30-02685951-v
16191,Synset: ID is ENG30-09369844-n
8517,Synset: ID is ENG30-07917507-n
13090,Synset: ID is ENG30-13377003-n
10953,Synset: ID is ENG30-06574334-n
18291,Synset: ID is ENG30-08759013-n
17184,Synset: ID is ENG30-02795978-n
14691,Synset: ID is ENG30-01817574-v
16730,Synset: ID is ENG30-02779774-a
10367,Synset: ID is ENG30-00612160-n
681,Synset: ID is ENG30-09730951-n
18534,Synset: ID is ENG30-12434239-n
1129,Synset: ID is ENG30-07789240-n
13282,Synset: ID is ENG30-00456596-v
12606,Synset: ID is ENG30-07577657-n
13853,Synset: ID is ENG30-06367879-n
9472,Synset: ID is ENG30-07697100-n
8493,Synset: ID is ENG30-11714618-n
11002,Synset: ID is ENG30-01987160-v
9079,Synset: ID is ENG30-09169930-n
16624,Synset: ID is ENG30-00041188-n
2077,Synset: ID is ENG30-03380867-n
16362,Synset: ID is ENG30-06982487-n
9712,Synset: ID is ENG30-13741603-n
8297,Synset: ID is ENG30-06215618-n
5261,Synset: ID is ENG30-07999699-n
4814,Synset: ID is ENG30-06841873-n
449,Synset: ID is ENG30-09729156-n
17616,Synset: ID is ENG30-07868508-n
71,Synset: ID is ENG30-07532440-n
13358,Synset: ID is ENG30-00940384-v
8773,Synset: ID is ENG30-06925305-n
12511,Synset: ID is ENG30-10407310-n
4189,Synset: ID is ENG30-01045924-n
12067,Synset: ID is ENG30-09721088-n
13623,Synset: ID is ENG30-04434932-n
6887,Synset: ID is ENG30-08057633-n
9491,Synset: ID is ENG30-09624559-n
16125,Synset: ID is ENG30-01049685-n
15310,Synset: ID is ENG30-09167101-n
5918,Synset: ID is ENG30-02748618-n
7404,Synset: ID is ENG30-08589351-n
18528,Synset: ID is ENG30-13480667-n
9115,Synset: ID is ENG30-08568978-n
14261,Synset: ID is ENG30-07716034-n
14631,Synset: ID is ENG30-03627232-n
1911,Synset: ID is ENG30-10468559-n
15823,Synset: ID is ENG30-02627686-n
17563,Synset: ID is ENG30-06108643-n
8034,Synset: ID is ENG30-13861050-n
2908,Synset: ID is ENG30-03164344-n
7593,Synset: ID is ENG30-01113068-n
10775,Synset: ID is ENG30-06495000-n
19104,Synset: ID is ENG30-13923929-n
9071,Synset: ID is ENG30-01356582-v
9057,Synset: ID is ENG30-02645304-n
9321,Synset: ID is ENG30-01982482-n
1803,Synset: ID is ENG30-02016523-v
2519,Synset: ID is ENG30-02801964-a
2168,Synset: ID is ENG30-09933098-n
290,Synset: ID is ENG30-01625063-a
18151,Synset: ID is ENG30-00007347-n
6383,Synset: ID is ENG30-00769834-v
3950,Synset: ID is ENG30-06843520-n
19285,Synset: ID is ENG30-02970685-n
9628,Synset: ID is ENG30-09417560-n
11433,Synset: ID is ENG30-02067240-n
2928,Synset: ID is ENG30-06412771-n
17555,Synset: ID is ENG30-09462773-n
19394,Synset: ID is ENG30-08991491-n
9026,Synset: ID is ENG30-02546873-n
3418,Synset: ID is ENG30-07588299-n
16409,Synset: ID is ENG30-06388579-n
9179,Synset: ID is ENG30-06909298-n
280,Synset: ID is ENG30-01564073-a
10752,Synset: ID is ENG30-07727868-n
7827,Synset: ID is ENG30-11875691-n
12661,Synset: ID is ENG30-14727670-n
4426,Synset: ID is ENG30-01723437-v
6929,Synset: ID is ENG30-01991520-n
3894,Synset: ID is ENG30-09603761-n
3611,Synset: ID is ENG30-03346455-n
378,Synset: ID is ENG30-03097673-n
14380,Synset: ID is ENG30-09816771-n
16314,Synset: ID is ENG30-00543233-n
301,Synset: ID is ENG30-01691073-a
14215,Synset: ID is ENG30-06915313-n
19058,Synset: ID is ENG30-01233627-n
528,Synset: ID is ENG30-14695588-n
3888,Synset: ID is ENG30-07099752-n
5498,Synset: ID is ENG30-09362469-n
10109,Synset: ID is ENG30-06369829-n
16580,Synset: ID is ENG30-08927548-n
12181,Synset: ID is ENG30-13741698-n
268,Synset: ID is ENG30-07749582-n
18050,Synset: ID is ENG30-13625063-n
2249,Synset: ID is ENG30-02747177-n
4044,Synset: ID is ENG30-08699654-n
14734,Synset: ID is ENG30-02988402-a
1445,Synset: ID is ENG30-00010435-v
14201,Synset: ID is ENG30-13723712-n
9795,Synset: ID is ENG30-13658496-n
16205,Synset: ID is ENG30-09491504-n
3401,Synset: ID is ENG30-02358091-n
10114,Synset: ID is ENG30-06674947-n
3841,Synset: ID is ENG30-06570110-n
1705,Synset: ID is ENG30-01135529-n
4894,Synset: ID is ENG30-06017053-n
13378,Synset: ID is ENG30-01263711-n
19345,Synset: ID is ENG30-10759151-n
4201,Synset: ID is ENG30-09379111-n
6328,Synset: ID is ENG30-07588193-n
19073,Synset: ID is ENG30-13387877-n
18112,Synset: ID is ENG30-11986729-n
4311,Synset: ID is ENG30-06319029-n
12402,Synset: ID is ENG30-12556307-n
1751,Synset: ID is ENG30-13683805-n
12414,Synset: ID is ENG30-14642417-n
4464,Synset: ID is ENG30-02900219-a
5225,Synset: ID is ENG30-07931870-n
5059,Synset: ID is ENG30-14678406-n
2558,Synset: ID is ENG30-07915800-n
3860,Synset: ID is ENG30-12737898-n
5694,Synset: ID is ENG30-08225090-n
10870,Synset: ID is ENG30-09211735-n
7993,Synset: ID is ENG30-00351406-v
18351,Synset: ID is ENG30-00801277-n
12837,Synset: ID is ENG30-02151625-n
2480,Synset: ID is ENG30-06252138-n
18864,Synset: ID is ENG30-13129165-n
