,Sysnet
12857,morski krin 
1523,skup prostorija obično na jedan sprat stambeni kuća 
728,Činiti uman ili fizički rad s neki cilj ili iz potreba . 
10518,praksa kooperacija u koji se dvoje ili više ljudi udruživati radi međusoban pomoć ili sigurnost 
8045,Mesec koji jesam između maj i jul . 
7201,misa koji se čitati bez muzika 
5626,novčan jedinica Belorusija 
354,remenjarka 
13698,ukupan vrednost imovina za oporezivanje . 
11856,"sestra nečiji otac ili majka ; žena nečiji ujak , stric ili teći . "
12683,Cvetajući deo biljka ili grupa cvet stabljika . 
9370,porodica loz iz red Rhamnales . 
4770,"tapir koji živiti po barovit , močvaran i voda bogat šuma Sumatra i Indokina . "
8140,paprat . 
5739,uglavnom ? ? drvo ili žbun : grab ; ponekad se smeštati u podfamiliju Carpinaceae . 
3283,nadmetati se za nešto ; učestvovati u takmičenje ; meriti sebe u odnos na drugi . 
13543,Lišće bosiljak koji se upotrebljavati svež i suvo . 
4197,osnovni novčan jedinica Liban 
11481,tropski morski riba sa uvećan peraje nalik na krilo koji koristiti za kratak klizajući let . 
13066,prestonica Švajcarska ; smestiti u zapadni Švajcarska . 
1857,grana sijuskih jezik 
13346,dekorisan kolač koji se služiti na rođendanski zabava 
1424,posebno prostorno uređenje 
3098,prazan list na početak ili kraj knjiga 
3246,stanovnik Venecuela ili poreklo iz Venecuela 
15349,"jedan od više hemijski element koji jesam obično sjajan i čvrst , provoditi toplota i elektricitet , moći se razvaljati u ploča , itd . "
888,"palma sa bodljikav stabljika , često penjačica u tropski predeo "
5845,republika na jug Severne Amerika ; postati nezavisan od Španija @card@ 
16587,stopala životinja sa kandža ( posebno četvoronožac ) 
14324,Nešto što ostajati na površina tečnost . 
17286,"velik familija drvća , žbun , loz i trava koji imati mahunast plod ; pogodnost raditi deliti se u podfamilije Caesalpiniaceae ; Mimosaceae ; Papilionaceae . "
15987,hleb u oblik tanak palačinka ; pripremati se u tiganj . 
12577,šta na odrediti područje ograničiti 
2596,mehanizam koji nešto održavati hladneti . 
6458,Dan računati od ponoć do ponoć . 
8673,vrsta jelen bez rog centralni Azija ; mužjak lučiti vredan mirišljav supstanca u kesa na donji delo trbuh . 
