,Sysnet
2373,velik brz muva čiji ženka sisati krv raznim životinja . 
11159,mali obliti plod drvo evropski maslina ; koristiti se kao hrana i za proizvodnja ulja . 
1873,"zapadnoafrički republika u Gvinejskom zaliv , nezavisan od @card@ "
2808,ekipa koji učestvovati u pravni postupak 
1631,"narediti , zahtevati ili naložiti neki da doći . "
6474,koriti neki od biljka iz porodica slačica 
4152,oblik komunizam koji jesam u Kina uvesti Mao Cetung 
5049,sedalo za jedan osoba sa potpora za leđa . 
17565,metrički jedinica za zapremina koji iznositi jedan stotinu litar 
9767,malo američki tropski grmolik drvo ; gajiti se u toplim područje zbog sladak okrugao žut plod . 
3330,koji jesam u veza sa terminologija 
2546,od pre @card@ milion do oko @card@ milion godina ; morski beskičmenjak 
57,veštački stvoren spoj putem hemijski reakcija 
164,Ućiniti da se neki osetiti opušten . 
9173,grupa brod sličan tip . 
17308,raketa koji predvideti da iz vazduh ( avion ) gađati drugi avion 
12984,svaki neformalan obrok koji se jesti napolju ili na izlet 
18537,jak rastvor so i voda koji se koristiti za turšija . 
4231,džin i kinin voda ( tonik ) 
5942,"instrument koji mera visina iznad zemlja , koristiti se u navigacija . "
9148,nameran pretvaranje ili preterivanje 
8959,odrezak bez koska od goveđi pečenica 
2396,koji pripadati ili jesam blizu leđima ili gornji delo životinja . 
3251,utvrđen običaj 
10632,slepaši 
17953,ispoljiti odgovor ili reakcija na nešto . 
905,jedan od dva blizanac koji jesam se razviti iz isti oplođen jaje i imati isti genetski materijal 
9131,"zglob koji spajati stopala i potkoleničnu kost , tarsus . "
24,osećanje intezivne nesreća 
13874,bosiljak . 
10736,metla napraviti od grančica povezan na dugačak ručka 
9351,grafički karakter koji se koristiti u slikovan pisma 
16273,razmena mišljenje na neki tema . 
13734,"o katjon , koji se odnositi na katjon "
11846,rasti u kraj uz mora ; u proleće cvet žut . 
12110,"država na zapad centralni Afrika , steći nezavisnost @card@ "
12385,atmosferski fenomen koji se stvarati na granica između dva različit masa vazduh . 
13509,"koji se ticati Poljska , njen ljudi i kultura "
6158,čin izuzimanje neki 
9673,ozimnica 
2038,biti koji organizacija koji davati sredstvo i mogućnost za neki funkcija ili događaj 
13528,Doći do odluka . 
5020,vitak evropski sova koji živiti u evropski četinarski šuma ; imati dug ušni resa . 
2627,neki od nekoliko velik goveda sa grb koji imati velik glava i kratak rog . 
16386,"ometati ili sprečiti ( napor , plan ili želja ) "
5494,"Držati ; o teorija , misao ili osećanje . "
11491,Prces uvlačenje i izbacivanje vazduh u tok disanje . 
14264,čvrst šešir od slama sa ravan obod 
5404,tipski i jedini rod porodica Tarsiidae . 
103,uticajan nemački idealistički filozof ( @card@ ) 
16162,jednostavan strukturni jedinica element ili jedinjenje ( u fizika ili hemija ) . 
17713,materija iz gornji sloj Zelmljine površina na koji moći da rasti biljka ( posebno kada se raditi o njen kvalitet ili korišćenje ) . 
10278,stanje duh u koji jesam nešto preokupirati . 
7856,spoljnji površina neki objekt . 
14215,rod porodica Mustelidae . 
16029,pravnik koji za država i u njen ime podizati optužnica 
9123,podnevni obrok 
12815,"drevan država u centralni Italija , na prostor danasnje Toskana , asimilovati jesam jesam Rimljanin oko @card@ p.n.e. "
2720,Odeća koji se nositi preko drugi odeća . 
14297,dekorativan ili umetnički delo . 
3398,broj pojavljivanje u dat vremenski perioda 
6633,golub dresirati da se vratiti kuća 
1902,velik evropski topola . 
10,posramiti neki ; povrediti nečiji ponos . 
3892,"rasprostraniti evropski višegodišnji trava koji se gajiti zbog paš , sena i travnjak . "
5512,utakmica sa palica i lopta između dva ekipa od @card@ igrač ; ekipa se smenjivati pokušavati da pomoću palica ostvariti pogodak 
3394,jedinica geološki vreme u tok koji jesam formirati sistem stena . 
18637,"dva šerpa , jedan unutar drugi "
5018,"srediti misao , ideja , događaj u vreme , itd . "
7482,zaštitni prekrivka biljka sklon truljenje koji se postavljati da biti se smanjiti isparavanje i erozija zemljište 
1955,"dubok rupa koji jesam iskopati i prazniti se da biti se izvaditi voda , ulja ili gas . "
2224,kod koji se sastojati od nizak od @card@ binarni cifra pomoću koji se predstavljati karakter 
3406,unositi zarazan klica ili njihov produkt u živ tkivo radi dijagnoza ili posticanja imunitet 
12923,sportski igra koji se igrati na 
12356,vladin zgrada u koji jesam rezidencija i kacelarija predsednik SAD-a . 
1289,organski proces koji se odigravati u telo . 
2152,koji se odnositi na sociolingvistiku 
18746,Siser nalik mačka koji lučiti cibet koji se koristiti u parfem . 
12322,termin za jabukovač ( cider ) koji se koristiti u sad i neki deo Kanada 
18216,zeljast livadski biljka koji se upotrebljavati kao narodni lek . 
706,"Vrba sa dug viseći grana i tanak lišće , poreklo iz Kina ; gajiti se kao ukrasni biljka . "
6114,( računarstvo ) kod koji se identifikovati gde se čuvati odrediti podatak 
15093,evroazijski višegodišnji lukovičast zeljast biljka . 
2310,ispit koji se obavljati tako što kandidat usmeno odgovarati . 
17136,"velik majmun koji živiti na zemlja i ići četvoronoške , imati njuška kao pas . "
5033,porodica zviždovki . 
17823,"govorni čin raspravljanje , pregovaranje . "
10295,štitast vaš and ? mealybugs 
10473,meso jastog 
6,koji zasluživati najviše poštovanje i divljenje 
13704,ići određenim korak 
11801,preinačavati u svrha objašnjenje 
3553,"Glumac smestiti među publika , čiji nastup jesam uvežbati ali publika izgledati spontan . "
13913,koji se odnositi na centralni Amerika ili njen ljudi 
17191,"Žena koji jesam poveriti čuvanje dete , posebno u privatan kuća . "
18720,izumro grana indoevropski jezik koji neki smatrati srodan sa jermenski 
753,"u računarstvo , taster na računarski tastatura koji kada se pritisnuti u kombinacija s neki drugi taster unositi kontrolni karakter "
13789,Iseći neki alat . 
13255,nakit koji se nositi oko zglob za ukras 
2678,"radioaktivan gasovit element koji nastajati dezintegracija radijum , težak od inertan gas , imati ga u priroda , smatrati se štetan za zdravlje . "
4834,jedan od zabavljačica koji izvoditi pokrenuti sa palica 
4091,kukac kratkokrilici 
10123,Uključuje mnogi morski mekušac koji kao odrasti nemati oklop a tema ona jesam nalik na puž . 
13762,Obični crn evropski drozd . 
9747,Afrička hijena ; poznati zbog tipičan urlanje koji nalikovati na satanski smeh . 
12498,font koji se prikazivati na ekran računar 
15842,minimalan gramatički jedinica koji se moći upotrebiti kao reč 
7343,"peći , samleti zrno kafa u filter prelivan vreo voda "
44,koji jesam pun pozitivan energija i širok dobar raspoloženje 
10740,"privatan zapis , ličan dmevmik ( kao stvar ) "
98,put koji slediti neki predmet koji se kretati kroz prostor . 
7173,"smeđaksto-crn mineral , glavni izvor hrom "
17405,any of various reptiles of the suborder Sauria which includes lizards ; in former classifications included also the crocodiles and dinosaurs 
14760,pauza kada se neki aktivnost prekid 
7454,osnovni SI jedinica za merenje električni struja 
8306,pasulj beo zrno ; obično se za ishrana koristiti suv 
16286,država na zapadni obala Afrika 
1594,mešavina sirće ili vino i ulja sa raznim začin u koji se natapati meso ili riba pre kuvanje 
3278,prevesti u spiralan oblik 
11160,svojstvo onogo što jesam propustljiv 
4314,upotreba hipnoza u psihoanalitički lečenje . svrha jesam otklanjanje otpor koji sprečavati osvešćivanje nesvestan . 
68,osećanje naklonost prema neki ili nećemu dobar 
768,grupa mačka . 
130,osećanje izazvati nešto čudan i iznenađujući 
19202,dodirnut povez knjiga . 
19000,jako ljutiti crven papričica ; obučno jesam dugačak i tanak ; neki jesam jako mali 
6353,neki od različit drveće iz rod Juglans . 
14124,o metal . 
11230,neki od hemijski inertan gasovit element iz helijumske grupa periodičan tabela . 
5796,kratak nož sa špicast sečivo koji se koristiti za probijanje ili ubadanje 
15539,emisija na radio ili televizija 
9831,"Lepirnjača s kožast , naduven plod poput mehur . "
820,keltski jezik koji se ranije govoriti u Kornvol 
6081,okrugao lepinja posut mak ; praviti se od testo koji jesam četvrtast oblik tako što se kraj privući do sredina 
103,koji izazivati strah ili užas 
3253,jevrejski praznik žetva 
11775,malo drvo ili žbun koji jesam poreklo iz tropskig predeo star svet ; rađati zrno kafa . 
15961,"interfejs koji se obično koristiti za modem , miš i neki štampavye koji dozvoljavati transmisija bit po bit "
9334,evropski strnadica čiji jesam mužjak svetložut . 
1224,period od sedam uzastopan dan koji počinjati u nedelja 
2078,crn kobasica koji sadržati svinjski krv i drugi sastojak 
1231,operacija prikupljanje informacija o neprijatelj 
1150,kako dugo nešto postojati . 
8964,izvor supstanca koji hrana telo . 
10247,običan siv divalj evropski gusak ; predak mnogi domaći sorta 
10285,visok drvenast višegodišnji trava sa šupalj tanak stabljika posebno iz rod Arundo i Phragmites . 
13565,koji se odnositi na ili jesam karakteričan za fašizam 
8464,"period nastava u škola , vremenski period u koji škola raditi "
17431,korekcioni kod koji jesam zapisati na svaki sektor magnetan disko i koristiti se da uhvatiti greška u podatak 
16409,osnovni novčan jedinica Etiopija 
18894,"koji služiti da povezati dva , po konstrukcija isti , gramatički konstituent "
1886,oslobađanje od stisak 
14504,velik crn lještarka . 
1169,brzo se i nasilno kretati 
17128,Penušavo pića koji jesam veštački obogaćen ugljen-dioksidom . 
23,"Završiti pre kraj , kao računarski proces , misija itd . "
11784,pravougaon komad tkanina koji se koristiti za slanje signal 
