,Sysnet
10178,kamenjar 
241,praviti se važan 
6093,gramatički kategorija sav promenljiv reč koji se izražavati kontrast jednina / množina / dual u zavisnost od broj entitet o koji jesam reč 
14144,javno prikazivanje obično pisan poruka . 
8421,praviti određenu buk ili zvuk . 
14221,neki čiji jesam posati da snabdevati potrošač određenom usluga ili dobar . 
2794,u grčki mitologija Jokastin brat i Antigonin ujak koji jesam postati kralj Teba posle Edipov pad 
1333,kakaovac 
15186,Višegodišnja evropski biljka koji imati grozdov mali mirisan cvet ( obično beo ) ; gajiti se po bašta . 
5173,uz 
16024,germanski jezik Skandinavija do otprilike @ord@ godina 
3902,meso biti koji morski ili slatkovodni riba iz porodica Salmonidae 
6686,tipski rod porodica Cimicidae : stenica . 
9268,Većina običan liljaka iz umeren područje . 
13107,izbaciti sadržaj stomak na usta 
12394,proklom iz Indija ili stanovnik Indija 
6797,geološki svojstvo koji jesam ostatak ranije postojeći formacija nakon nestanak drugi deo 
4149,biti ili činiti osnova . 
4529,"dug prozni rad , najčešće u forma priča "
9981,kolekcija i izučavanje poštanski marka 
8211,u grčki mitologija drevan bog sunce ; putovati jesam kočija preko nebeski svod svaki dan ; u rimski mitologija on odgovarati bog sol 
8419,čadski jezik koji se govoriti u severni Nigerija 
13596,"Učiniti jednak , ravnomeran , odgovarajući ili saglasan . "
3597,film na koji se fotografisati materijal u veoma smanjen veličina ; koristan za skladištenje ; sistema za uvećavanje se koristiti da biti se materijal pročitati 
16676,Otpočeti razgovor s neki . 
2789,micati neki pribor uz stalan kružan pokret . 
6802,električni uređaj koji generisati signal 
10597,stanovnik današnji Rim 
13446,učiniti da neki nešto uraditi 
2703,reka Južne Amerika dugačak @card@ kilometar 
3928,rezerva novac ostaviti na strana za neki svrha 
3301,dug vremenski period 
3052,"dugačak kožan remen , ili od neki drugi materijal koji služiti da povezati neki stvar ili da ona držati na jedan mesto "
6235,žena - stanovnik Engleska ili poreklo iz Engleska 
14422,velik magmatski stena koji jesam nastati duboko u zemlja . 
11959,"bombona koji u sredina imati fondan , voće ili koštunjav voće i preliti jesam čokolada "
15081,biti koji proces koji uticati na proizvodnja i razvoj i upravljanje materijalan bogatstvo 
143,beo leptir čiji se larva hrana na kupus . 
920,"indijski jezik ; državni jezik Maharaštre , zapadni centralni deo Indija ; pisati jesam devanagarijem "
1133,Vina koji sadržati velik kolicinu ugljen-dioksida . 
433,ukupan novac u privreda ; valuta koji javnost posedovati i pride novac na bankovni račun 
4448,insekt dvokrilac jak dlakav telo čiji larva živa kao parazit na ljudi i drugi sisar . whose larvae ar parasites on humans and other mammals 
9193,Šahovska igra za dva igrač od koji oba imati po @card@ figura : cilj jesam preskočiti protivnički figura i tako ona blokirati . 
7769,"Obrad podatak kod koji jesam rezultat potpuno specifikovan pravilo , posebno obrada koji jesam rezultat jedan instrukcija ( u računarstvo ) . "
9041,zaliv Karskog morati u zapadni Sibir 
5082,ptica sličan golub . 
1697,aparat koji uklanjati vlaga 
10724,Mašin koji obrađivati materijal melvenjem ili razbijanje . 
