,Sysnet
14081,Synset: ID is ENG30-00928077-n
7926,Synset: ID is ENG30-02916684-n
1681,Synset: ID is ENG30-03117012-a
226,Synset: ID is ENG30-01239487-n
5048,Synset: ID is ENG30-04501713-n
811,Synset: ID is ENG30-02745172-v
7575,Synset: ID is ENG30-02315487-n
79,Synset: ID is ENG30-02690081-n
13486,Synset: ID is ENG30-07926920-n
18959,Synset: ID is ENG30-02054036-n
10393,Synset: ID is ENG30-08168241-n
11638,Synset: ID is ENG30-00127286-n
17592,Synset: ID is ENG30-10689564-n
12866,Synset: ID is ENG30-07835547-n
9887,Synset: ID is ENG30-12658846-n
11231,Synset: ID is ENG30-02991302-n
14056,Synset: ID is ENG30-12991184-n
71,Synset: ID is ENG30-07501545-n
5515,Synset: ID is ENG30-08929243-n
14825,Synset: ID is ENG30-10165109-n
9414,Synset: ID is ENG30-12098227-n
11099,Synset: ID is ENG30-08780881-n
11064,Synset: ID is ENG30-01004692-v
5901,Synset: ID is ENG30-09237404-n
10159,Synset: ID is ENG30-12817694-n
13483,Synset: ID is ENG30-07629797-n
3109,Synset: ID is ENG30-07098193-n
16719,Synset: ID is ENG30-09213254-n
4324,Synset: ID is ENG30-12639736-n
11734,Synset: ID is ENG30-02495922-a
16747,Synset: ID is ENG30-14842703-n
19400,Synset: ID is ENG30-05190804-n
7223,Synset: ID is ENG30-05490799-n
1416,Synset: ID is ENG30-07849026-n
6015,Synset: ID is ENG30-01664172-v
13637,Synset: ID is ENG30-03510583-n
14154,Synset: ID is ENG30-01545574-n
16676,Synset: ID is ENG30-03539875-n
7495,Synset: ID is ENG30-01467804-n
8087,Synset: ID is ENG30-02117135-n
4796,Synset: ID is ENG30-01579868-n
6209,Synset: ID is ENG30-09550443-n
17815,Synset: ID is ENG30-11408559-n
1574,Synset: ID is ENG30-01997512-v
18411,Synset: ID is ENG30-01446420-v
2971,Synset: ID is ENG30-02524424-n
18157,Synset: ID is ENG30-03375575-n
1087,Synset: ID is ENG30-12087650-n
2670,Synset: ID is ENG30-07592922-n
1383,Synset: ID is ENG30-00974367-v
12535,Synset: ID is ENG30-15079557-n
13594,Synset: ID is ENG30-02965985-a
14513,Synset: ID is ENG30-13085113-n
4986,Synset: ID is ENG30-13878306-n
3669,Synset: ID is ENG30-02836174-n
11929,Synset: ID is ENG30-09866115-n
11417,Synset: ID is ENG30-07909714-n
10503,Synset: ID is ENG30-12986227-n
10870,Synset: ID is ENG30-09211735-n
10785,Synset: ID is ENG30-00881649-n
12018,Synset: ID is ENG30-02242455-n
4018,Synset: ID is ENG30-00255057-a
17889,Synset: ID is ENG30-07846014-n
8429,Synset: ID is ENG30-08405603-n
8730,Synset: ID is ENG30-00712833-n
146,Synset: ID is ENG30-13886371-n
7794,Synset: ID is ENG30-03400231-n
19247,Synset: ID is ENG30-01650167-n
1241,Synset: ID is ENG30-01983277-n
1645,Synset: ID is ENG30-09467185-n
16869,Synset: ID is ENG30-03778600-n
5839,Synset: ID is ENG30-06637350-n
18432,Synset: ID is ENG30-01480516-n
4921,Synset: ID is ENG30-13083586-n
1216,Synset: ID is ENG30-13806735-n
8799,Synset: ID is ENG30-09546772-n
11390,Synset: ID is ENG30-06911265-n
14413,Synset: ID is ENG30-09428171-n
3801,Synset: ID is ENG30-01719302-v
10841,Synset: ID is ENG30-07577538-n
5383,Synset: ID is ENG30-04226537-n
599,Synset: ID is ENG30-07929940-n
3908,Synset: ID is ENG30-02536685-n
16629,Synset: ID is ENG30-05578251-n
17999,Synset: ID is ENG30-02401809-v
150,Synset: ID is ENG30-00865620-a
12232,Synset: ID is ENG30-09267602-n
13368,Synset: ID is ENG30-13122985-n
10716,Synset: ID is ENG30-00653388-n
7735,Synset: ID is ENG30-02547317-a
164,Synset: ID is ENG30-02437312-n
19334,Synset: ID is ENG30-06552984-n
5477,Synset: ID is ENG30-05592126-n
16949,Synset: ID is ENG30-02859184-n
16700,Synset: ID is ENG30-01863066-a
5085,Synset: ID is ENG30-13734992-n
2653,Synset: ID is ENG30-02099997-n
2501,Synset: ID is ENG30-15202806-n
4562,Synset: ID is ENG30-07563509-n
3947,Synset: ID is ENG30-05868051-n
18499,Synset: ID is ENG30-07978055-n
5827,Synset: ID is ENG30-08996118-n
3927,Synset: ID is ENG30-01595624-n
57,Synset: ID is ENG30-07768230-n
8955,Synset: ID is ENG30-13692014-n
197,Synset: ID is ENG30-01807882-v
16632,Synset: ID is ENG30-01565238-n
3051,Synset: ID is ENG30-05064037-n
12658,Synset: ID is ENG30-11890022-n
15048,Synset: ID is ENG30-12124627-n
17028,Synset: ID is ENG30-01743086-n
10161,Synset: ID is ENG30-07817871-n
2760,Synset: ID is ENG30-02836479-a
6389,Synset: ID is ENG30-14677314-n
2708,Synset: ID is ENG30-15022171-n
3951,Synset: ID is ENG30-02484208-a
3809,Synset: ID is ENG30-07778224-n
2763,Synset: ID is ENG30-05954894-n
13410,Synset: ID is ENG30-06930298-n
19136,Synset: ID is ENG30-01931520-n
2973,Synset: ID is ENG30-09929861-n
7080,Synset: ID is ENG30-01240210-n
8857,Synset: ID is ENG30-09493562-n
639,Synset: ID is ENG30-09737050-n
3034,Synset: ID is ENG30-06390512-n
6032,Synset: ID is ENG30-02429695-n
3354,Synset: ID is ENG30-10493685-n
5944,Synset: ID is ENG30-13006171-n
18600,Synset: ID is ENG30-03088707-n
7048,Synset: ID is ENG30-02629535-v
2717,Synset: ID is ENG30-09551356-n
4778,Synset: ID is ENG30-01242716-n
10042,Synset: ID is ENG30-07764155-n
2640,Synset: ID is ENG30-02700455-v
5612,Synset: ID is ENG30-01355207-a
19233,Synset: ID is ENG30-10126708-n
13277,Synset: ID is ENG30-12849952-n
10160,Synset: ID is ENG30-00961114-v
2908,Synset: ID is ENG30-03164344-n
11185,Synset: ID is ENG30-08006868-n
16963,Synset: ID is ENG30-02853991-n
13342,Synset: ID is ENG30-02858304-n
7855,Synset: ID is ENG30-06536227-n
14054,Synset: ID is ENG30-12158443-n
14887,Synset: ID is ENG30-01302086-n
16044,Synset: ID is ENG30-07917951-n
5796,Synset: ID is ENG30-06824757-n
16725,Synset: ID is ENG30-14717275-n
2224,Synset: ID is ENG30-06650431-n
7916,Synset: ID is ENG30-06900684-n
14732,Synset: ID is ENG30-14027204-n
17595,Synset: ID is ENG30-09595059-n
7545,Synset: ID is ENG30-08780510-n
5370,Synset: ID is ENG30-14621446-n
16236,Synset: ID is ENG30-08759986-n
9216,Synset: ID is ENG30-14539826-n
32,Synset: ID is ENG30-15233239-n
16661,Synset: ID is ENG30-09014586-n
3645,Synset: ID is ENG30-00430606-n
18845,Synset: ID is ENG30-07669211-n
15926,Synset: ID is ENG30-09719794-n
434,Synset: ID is ENG30-04560292-n
167,Synset: ID is ENG30-06824227-n
18988,Synset: ID is ENG30-06493721-n
4977,Synset: ID is ENG30-13691022-n
6745,Synset: ID is ENG30-05034989-n
16989,Synset: ID is ENG30-02897040-a
17075,Synset: ID is ENG30-08838887-n
7148,Synset: ID is ENG30-15167349-n
5334,Synset: ID is ENG30-13465530-n
18516,Synset: ID is ENG30-06331641-n
16561,Synset: ID is ENG30-06961771-n
6227,Synset: ID is ENG30-01516534-v
11565,Synset: ID is ENG30-10788852-n
7501,Synset: ID is ENG30-05535247-n
4240,Synset: ID is ENG30-09722530-n
4594,Synset: ID is ENG30-05929670-n
15129,Synset: ID is ENG30-10760340-n
4045,Synset: ID is ENG30-07658461-n
7690,Synset: ID is ENG30-08181540-n
2941,Synset: ID is ENG30-06934132-n
1415,Synset: ID is ENG30-01682435-n
8698,Synset: ID is ENG30-01887020-v
7500,Synset: ID is ENG30-08245059-n
8459,Synset: ID is ENG30-00520257-n
17870,Synset: ID is ENG30-04934220-n
10366,Synset: ID is ENG30-01370581-n
12947,Synset: ID is ENG30-15043763-n
563,Synset: ID is ENG30-15184755-n
18739,Synset: ID is ENG30-11808468-n
4030,Synset: ID is ENG30-13911151-n
3848,Synset: ID is ENG30-12810318-n
119,Synset: ID is ENG30-00253761-v
12220,Synset: ID is ENG30-07929519-n
16845,Synset: ID is ENG30-05982152-n
1500,Synset: ID is ENG30-08511777-n
3274,Synset: ID is ENG30-13518656-n
19445,Synset: ID is ENG30-06373314-n
11937,Synset: ID is ENG30-06954768-n
18605,Synset: ID is ENG30-09300306-n
4287,Synset: ID is ENG30-00403092-n
4678,Synset: ID is ENG30-06965580-n
5482,Synset: ID is ENG30-00570366-n
11537,Synset: ID is ENG30-06309931-n
9096,Synset: ID is ENG30-02507863-n
218,Synset: ID is ENG30-00306426-n
19028,Synset: ID is ENG30-02600135-n
16920,Synset: ID is ENG30-07846274-n
6254,Synset: ID is ENG30-07699584-n
5272,Synset: ID is ENG30-11979715-n
6289,Synset: ID is ENG30-10141590-n
8337,Synset: ID is ENG30-00178102-v
2019,Synset: ID is ENG30-07710007-n
18835,Synset: ID is ENG30-06998460-n
3916,Synset: ID is ENG30-11891175-n
9925,Synset: ID is ENG30-05403149-n
17708,Synset: ID is ENG30-11674332-n
11763,Synset: ID is ENG30-10011074-n
4568,Synset: ID is ENG30-00926932-v
14677,Synset: ID is ENG30-05388527-n
1872,Synset: ID is ENG30-14909584-n
11249,Synset: ID is ENG30-07770034-n
5492,Synset: ID is ENG30-09565099-n
6510,Synset: ID is ENG30-03297495-n
14956,Synset: ID is ENG30-01803893-n
11743,Synset: ID is ENG30-02082358-n
11365,Synset: ID is ENG30-04280970-n
19165,Synset: ID is ENG30-09725653-n
14023,Synset: ID is ENG30-02892277-a
6152,Synset: ID is ENG30-05302499-n
5783,Synset: ID is ENG30-01310074-n
11926,Synset: ID is ENG30-13608598-n
15214,Synset: ID is ENG30-00745499-v
12932,Synset: ID is ENG30-04170037-n
14345,Synset: ID is ENG30-00949619-n
16103,Synset: ID is ENG30-01876843-n
16515,Synset: ID is ENG30-06993573-n
7316,Synset: ID is ENG30-07671953-n
3658,Synset: ID is ENG30-08212527-n
13539,Synset: ID is ENG30-07142566-n
4262,Synset: ID is ENG30-03313456-n
13888,Synset: ID is ENG30-00182571-n
18692,Synset: ID is ENG30-03888605-n
40,Synset: ID is ENG30-01282510-a
2083,Synset: ID is ENG30-06284777-n
2510,Synset: ID is ENG30-08409617-n
2303,Synset: ID is ENG30-01059400-a
15811,Synset: ID is ENG30-08086646-n
2128,Synset: ID is ENG30-07431852-n
9685,Synset: ID is ENG30-01045520-n
15147,Synset: ID is ENG30-12690388-n
4081,Synset: ID is ENG30-02073041-n
168,Synset: ID is ENG30-00758972-n
11542,Synset: ID is ENG30-09554701-n
4656,Synset: ID is ENG30-08928582-n
12973,Synset: ID is ENG30-04504297-n
3225,Synset: ID is ENG30-06377275-n
1090,Synset: ID is ENG30-13939892-n
0,Synset: ID is ENG30-01407065-n
11994,Synset: ID is ENG30-01134781-v
16842,Synset: ID is ENG30-01532434-v
8296,Synset: ID is ENG30-06919818-n
39,Synset: ID is ENG30-00721437-v
12617,Synset: ID is ENG30-13558696-n
8607,Synset: ID is ENG30-14145095-n
11532,Synset: ID is ENG30-09767700-n
2629,Synset: ID is ENG30-03974215-n
2725,Synset: ID is ENG30-06916313-n
16047,Synset: ID is ENG30-15235853-n
5092,Synset: ID is ENG30-09738708-n
13742,Synset: ID is ENG30-09722658-n
19407,Synset: ID is ENG30-06933689-n
17611,Synset: ID is ENG30-06827344-n
3521,Synset: ID is ENG30-04935239-n
604,Synset: ID is ENG30-01453852-n
11489,Synset: ID is ENG30-06941115-n
17536,Synset: ID is ENG30-00981544-v
4194,Synset: ID is ENG30-01804029-n
9768,Synset: ID is ENG30-08978161-n
8734,Synset: ID is ENG30-04076846-n
14917,Synset: ID is ENG30-12356255-n
6113,Synset: ID is ENG30-12959967-n
10424,Synset: ID is ENG30-14122053-n
5263,Synset: ID is ENG30-06822831-n
14121,Synset: ID is ENG30-00171852-v
7277,Synset: ID is ENG30-06553846-n
12968,Synset: ID is ENG30-06256041-n
10267,Synset: ID is ENG30-07808806-n
13073,Synset: ID is ENG30-00445548-a
2307,Synset: ID is ENG30-04235291-n
19128,Synset: ID is ENG30-00535452-a
10313,Synset: ID is ENG30-11666854-n
16450,Synset: ID is ENG30-14656666-n
2206,Synset: ID is ENG30-03188531-n
8892,Synset: ID is ENG30-02778668-a
250,Synset: ID is ENG30-01365544-a
15171,Synset: ID is ENG30-02286089-n
4616,Synset: ID is ENG30-14865316-n
2007,Synset: ID is ENG30-12931738-n
14311,Synset: ID is ENG30-14427633-n
5986,Synset: ID is ENG30-10523519-n
8601,Synset: ID is ENG30-09227839-n
13371,Synset: ID is ENG30-12867184-n
6479,Synset: ID is ENG30-01039330-v
15859,Synset: ID is ENG30-11877473-n
2993,Synset: ID is ENG30-08268085-n
3755,Synset: ID is ENG30-14424780-n
7472,Synset: ID is ENG30-07970721-n
16065,Synset: ID is ENG30-00174412-n
10303,Synset: ID is ENG30-07847198-n
18213,Synset: ID is ENG30-02796623-n
13778,Synset: ID is ENG30-13084993-n
4479,Synset: ID is ENG30-09940146-n
9838,Synset: ID is ENG30-05462674-n
4410,Synset: ID is ENG30-07916582-n
7469,Synset: ID is ENG30-06998108-n
