,Sysnet
13779,"probijati i prevrtati zemlju, naročito plugom"
11080,"Najmanja od svih ptica, šarenog perja i velikog kljuna."
11716,kantonsko jelo od piletine i proprženog povrća
16618,Biti pod uglom.
1609,majanski jezik kojim govori narod Mam
7286,Fosilno gorivo u gasovtom stanju; koristi se ya kuvanje i grejanje domaćinstava.
6828,Neka biljka iz roda Drosera.
4381,"Po spoljašnjosti liči na ovna; koreni rogoca su mu široki i pokrivau skoro celo čelo; ima gusto, dugačko i rutavo runo."
4987,Rod familije Fasciolidae.
6879,"postatio zreo, dostići puni razvoj"
3353,neko koji živi u pećini
14768,ćelija koja pokriva nervna vlakna u perifernom nervnom sistemu i formira mijelinski omotač
4340,Napraviti nešto od početka.
3979,"ozbiljna, često fatalna bolest imunog sistema koja se prenosi preko krvi, najčešće preko seksualnog kontakta ili zaražene igle"
2603,Računarski hardver koji čita i zapisuje informacije uskladištene na magnetskom ili optičkom disku
13488,"povezan zajedno, posebno u parovima"
17411,Republika u centralnoj Evropi; podeljena na Istočnu i Zapadnu Nemačku posle Drugog svetskog rata i ponovo ujedinjena 1990. godine.
5902,Svetlost meseca.
826,malajski jezik kojim se govori u Maleziji
12025,običaj koji je dugo bio važna karakteristika neke grupe ili društva
11774,koji se odnosi na simpatetički nervni sistem
13543,Lišće bosiljka koje se upotrebljava sveže i suvo.
12249,"Izjava koja je eksplicitna i naglašena, izgovorena ili pisana."
2266,"zaposedanje, prisvajanje nečega na zakonit način"
3676,Neka riblja porodica.
17231,Ići gore ili napredovati.
7547,predmet pričvršćen za jedno mesto (posebno u domaćinstvu)
11786,član nomadskih Berbera iz Sahare
6229,Muški rođak.
498,make larger
14743,"plod iz loze muskatnih dinja, vrsta slatke dinje u srodstvu sa krastavcima"
1691,Rod paprati koji pripada porodici Polypodiaceae (u nekim klasifikacionim sistemima uključuje i rod Asplenium)
1920,najduži period u geološkom vremenu
4776,stanovnik Egipta ili poreklom iz Egipta
5637,stanovnik ili poreklom iz Alžira
6696,sistem čulnih organa u telu
13390,angažovati ili unajmiti za neki posao
7019,koji se odnosi na Mesec
1099,glavni i najveći grad Burundija
7708,Mala kočija sa dva točka koju vuku konji; sa dva sedišta i sklopivim krovom.
14059,Beskičmenjaci koji imaju člankovito telo i hitinski oklop.
12032,prost protein koji se nalazi u rožastima tkivima i sočivu oka
14974,glavni i najveći grad Zambije
13795,hrišćanse veroisipovesti koje su se u XVI veku odvojile od katolicizma
5753,bonito
4328,tanka cevčica koja spaja duplju nosa i ždrelo
10101,"Rod korenskih višegodišnjih i dvogodišnjih trava sa brojnim, ponekad mirisavim cvetovima smeštenim u dugačke cilindrične cvasti; od mediteranskog područja do Kavkaza; ponekad se smešta u porodicu Asphodelaceae."
7584,zapis na crnoj balzatnoj steni; dao je prvi ključ za dešifrovanje egipatskih hiroglifa
16801,memorijski uređaj na kome se beleže informacije - zvuk ili slika
1298,Godišnja zeljasta biljka čiji cvet ima samo jednu laticu.
5364,čin krštavanja polivanjem vode po glavi
1777,ženski gametocit koji se razvija (diferencira) u jajnu ćeliju posle dve mejotičke deobe
9745,čin menjanja lokacije nečega
14985,Bilo šta što uzročno doprinosi rezultatu.
5053,Moljci i leptiri.
2767,Dvogodišnja ili višegodišnja uspravna biljka koja ima cvetove koji mirišu noću.
16085,koji se odnosi na jezik kao organ
2768,mreža lokalnog produčja koja koristi visokofrekventne radio signale za transmisiju i primanje podataka na kratkim razdaljinama; koristi ethernet protokol
14412,"nova reč koja je nastala tako što su joj se pridružile još dve, pa su im se pomešala značenja"
15313,"Velika mesnata paprika, blagog ukusa, može da bude zvonastog ili izduženog oblika."
11891,mera za površinu koja iznosi 640 akri
877,student prve godine
15981,virus koji ostaje uspavan (neaktivan) u telu duže vreme pre nego što se pojave simptomi
7270,prirodna akumulacija bitumena na površini zemlje; često funkcioniše kao zamka za životinje čije se kosti tako očuvaju
15679,porodica amerindijanskih jezika
9387,"država u Indokini na Južnom kineskom moru, stekla nezavisnost 1945"
