,Sysnet
2576,Synset: ID is ENG30-02960975-a
7902,Synset: ID is ENG30-07740115-n
13214,Synset: ID is ENG30-02843218-a
15758,Synset: ID is ENG30-04284002-n
9521,Synset: ID is ENG30-03668279-n
93,Synset: ID is ENG30-02121511-v
10276,Synset: ID is ENG30-01816844-v
17470,Synset: ID is ENG30-13888491-n
15290,Synset: ID is ENG30-11986900-n
7640,Synset: ID is ENG30-02449847-v
7273,Synset: ID is ENG30-08402442-n
678,Synset: ID is ENG30-01811909-n
4388,Synset: ID is ENG30-10341446-n
14341,Synset: ID is ENG30-02906734-n
5127,Synset: ID is ENG30-04191943-n
8807,Synset: ID is ENG30-02686950-a
6705,Synset: ID is ENG30-02391049-n
8912,Synset: ID is ENG30-02482790-a
10611,Synset: ID is ENG30-01032892-n
903,Synset: ID is ENG30-02411206-n
10010,Synset: ID is ENG30-06405699-n
18830,Synset: ID is ENG30-04275283-n
15450,Synset: ID is ENG30-13673946-n
276,Synset: ID is ENG30-04847482-n
7743,Synset: ID is ENG30-06811419-n
5153,Synset: ID is ENG30-12107489-n
15313,Synset: ID is ENG30-06933824-n
4567,Synset: ID is ENG30-00873387-a
8970,Synset: ID is ENG30-01620967-n
18486,Synset: ID is ENG30-03724417-n
14563,Synset: ID is ENG30-01632047-n
16994,Synset: ID is ENG30-07776866-n
19104,Synset: ID is ENG30-13923929-n
428,Synset: ID is ENG30-05058140-n
7641,Synset: ID is ENG30-02363245-n
11639,Synset: ID is ENG30-03026902-a
17325,Synset: ID is ENG30-01922303-n
16243,Synset: ID is ENG30-14685768-n
13817,Synset: ID is ENG30-01127795-v
9736,Synset: ID is ENG30-00035465-a
17703,Synset: ID is ENG30-04946553-n
3287,Synset: ID is ENG30-06284067-n
6696,Synset: ID is ENG30-06554675-n
6486,Synset: ID is ENG30-01360899-v
19281,Synset: ID is ENG30-02921325-a
5604,Synset: ID is ENG30-01352574-n
11845,Synset: ID is ENG30-05870365-n
16019,Synset: ID is ENG30-04171831-n
15715,Synset: ID is ENG30-02679415-n
9567,Synset: ID is ENG30-06266633-n
5672,Synset: ID is ENG30-12356668-n
18900,Synset: ID is ENG30-14421373-n
8811,Synset: ID is ENG30-03177349-n
11733,Synset: ID is ENG30-10317007-n
13313,Synset: ID is ENG30-13016457-n
188,Synset: ID is ENG30-00362467-a
11735,Synset: ID is ENG30-02935913-a
14630,Synset: ID is ENG30-09256815-n
6238,Synset: ID is ENG30-06969916-n
6441,Synset: ID is ENG30-08574314-n
1922,Synset: ID is ENG30-08410688-n
6789,Synset: ID is ENG30-02490877-v
9475,Synset: ID is ENG30-02212062-n
1223,Synset: ID is ENG30-03225238-n
5838,Synset: ID is ENG30-01611472-n
8268,Synset: ID is ENG30-07755411-n
3302,Synset: ID is ENG30-02450034-n
3664,Synset: ID is ENG30-06665108-n
5642,Synset: ID is ENG30-03290771-n
16315,Synset: ID is ENG30-05317960-n
7398,Synset: ID is ENG30-12151365-n
17576,Synset: ID is ENG30-03903868-n
12689,Synset: ID is ENG30-06613448-n
4399,Synset: ID is ENG30-07288639-n
10991,Synset: ID is ENG30-08665504-n
19263,Synset: ID is ENG30-00820611-v
14393,Synset: ID is ENG30-00012267-v
1679,Synset: ID is ENG30-00776988-v
10289,Synset: ID is ENG30-10197182-n
13946,Synset: ID is ENG30-01030022-a
2602,Synset: ID is ENG30-02297142-v
16732,Synset: ID is ENG30-07877411-n
500,Synset: ID is ENG30-07704054-n
12725,Synset: ID is ENG30-01327322-n
5266,Synset: ID is ENG30-12281241-n
333,Synset: ID is ENG30-08407619-n
4240,Synset: ID is ENG30-09722530-n
14656,Synset: ID is ENG30-09781650-n
6983,Synset: ID is ENG30-04470953-n
7626,Synset: ID is ENG30-06885083-n
1411,Synset: ID is ENG30-03587318-n
12752,Synset: ID is ENG30-07590502-n
11595,Synset: ID is ENG30-02009750-n
13822,Synset: ID is ENG30-07897116-n
1507,Synset: ID is ENG30-14509299-n
2054,Synset: ID is ENG30-08287436-n
12875,Synset: ID is ENG30-06646243-n
16221,Synset: ID is ENG30-04018951-n
17995,Synset: ID is ENG30-04338359-n
13468,Synset: ID is ENG30-09763784-n
16753,Synset: ID is ENG30-13910384-n
1464,Synset: ID is ENG30-01876326-n
1064,Synset: ID is ENG30-01629000-v
108,Synset: ID is ENG30-07523905-n
1711,Synset: ID is ENG30-08926877-n
2324,Synset: ID is ENG30-05586446-n
11462,Synset: ID is ENG30-06278830-n
8636,Synset: ID is ENG30-13690321-n
8642,Synset: ID is ENG30-02063662-n
16403,Synset: ID is ENG30-02405101-n
9751,Synset: ID is ENG30-03080351-a
3357,Synset: ID is ENG30-02703001-a
12092,Synset: ID is ENG30-01941093-v
5272,Synset: ID is ENG30-11979715-n
18427,Synset: ID is ENG30-07908411-n
5438,Synset: ID is ENG30-12910285-n
3352,Synset: ID is ENG30-12121610-n
12387,Synset: ID is ENG30-15177244-n
10869,Synset: ID is ENG30-09292545-n
9750,Synset: ID is ENG30-01245159-n
2693,Synset: ID is ENG30-05617310-n
3933,Synset: ID is ENG30-13669342-n
12220,Synset: ID is ENG30-07929519-n
