,Sysnet
13109,voden lokvanj rasprostraniti od Egipat do jugoistočni Azija ; smatrati se svetinja među Egipćanin . 
9313,u grčki mitologija Zevsov sin koji se ubiti meduza ( uz pomoć Atina i Hermes ) i spasti Andromeda od morski čudovište 
6580,lokvanj sa beo cvet . 
19021,pisanje koristiti neki skriti kod ili šifra 
5269,raditi kao pomoćnik u podređen funkcija ili funkcija podrška . 
7008,nešto napisati svojeručni 
18384,ukupan opseg veština ili uređaj koji se koristiti u neki polje ili zanimanje 
229,stimulans sa nepoželjan posledica 
1263,Mladić ili muškarac 
4900,država koji zauzimati dva trećina ostrvo Hispaniola 
5002,"zaoštren alatka za pisanje , crtanje ili graviranje "
6263,osnovni prostorno značenje ; koji imati mali dužina . 
9593,"objekt u koji jesam sedište visok obrazovanje , uključivati uprava , smeštaj kao i prostorija za istraživanje i nastava . "
5421,rod ptica iz red Casuariiformes . 
15397,Načiniti prekrivač na nešto . 
3753,"Ruski vođ koji jesam naslediti Lenjin na čela Komunističke partija , stvoriti totalitaran država tako što jesam eliminisati ceo opozicija ( @card@ ) "
9821,kratak govor ( često u stih ) uputiti direktno publika od glumac na kraj komad 
12067,stanovnik Lihtenštajn ili poreklo iz Lihtenštajn 
4012,aritmetički sredina apsolutan vrednost devijacija od sredina distribucija 
16708,naslov podsekcija koji jesam ispisati u telo tekst 
15091,osnovni novčan jedinica Kolumbija 
5192,hlorid koji se koristiti za konzervacija drvo 
6947,"Komad kolač koji sadržati pun čokolada , obično sa koštunjav voće . "
7227,napraviti znak ili linija na površina . 
18733,svaki gušter iz rod Moloch . 
10848,Neotrovni člankonožac sa valjkast telo i @card@ do @card@ ili više članak od koji skoro svaki imati po par noga . 
14478,"koji se ticati Kirgistan , njegov ljudi i kultura "
325,ubiti velik broj ljudi bez razlika . 
15326,šupljorogi preživar 
10642,učiniti da se gas ili para pretvoriti u tečnost 
10600,Nešto vidljivo što preko po asocijacija ili konvencija predstavljati nešto drugo što jesam nevidljiv . 
17278,koji se kretati ili dozvoljavati kretanje samo u jedan smer 
8170,original kako promeniti 
6971,"drvo od leska , lešnik "
972,osoba koji jesam uticajan i sa koji jesam povezati na neki način ( porodičan ili poznanstvo ) . 
10964,nešto što pokrivati ceo stranica 
6329,glavni grad Severne Koreja i industrijski centar 
1639,organski jedinjenje koji sadržati samo ugljenik i vodonik 
1404,stanovnik Vijetnam ili poreklo iz Vijetnam 
10059,Opšti progresivan rast cena . 
11518,"koji se ticati Australija , njen ljudi i kultura "
7378,"povrediti ili ubiti gaženje , na primer , automobil "
15005,praviti ukrasiti na tkanina pomoću igla i konac . 
9339,"funkcionalan reč koji se kombinovati sa imenica , zamenica ili imenički sintagma dati tako predloško-padežnu konstrukcija koji moći imati pridevski ili priloški funkcija "
19433,"u računarstvo , kopija sadržaj računarski skladište ; ponekad se koristiti za debagovanje "
13022,student prvi godina 
10413,oblik krštenje u koji se ceo telo krštenik potapati 
14707,Taksonomska grupa koji se sastojati od jedan ili više red . 
5435,piletina krčkati u čorba sa luka i paprika i potom pomešati sa kiseo pavlaka 
1745,pripremati hrana na mast ili ulja u tiganj 
18283,dijalekt čivere jezik koji govoriti narod Ajova 
12529,budnost nad mrtav telo noć pre sahrana . 
17734,"Grčki filozof koji jesam misliti da se celokupan svet sastojati od čestica vatra , voda , vazduh i zemlja ( živeti u peta vek pre Hrista ) "
15645,sudski nalog koji se nalagati da se osloboditi dobra koji jesam nezakonito zadržan ( konfiskovan ) 
17521,Prostorna relacija između nešto i tok kretanje ili pokazivanje . 
17543,rasprostranjen bantu jezik ; zvaničan jezik Kenija i Tanzanija ; funkcionisati kao lingva franak u istočni i centralni Afrika 
17056,planiran aktivnost koji uključivati mnogo ljudi koji obavljati razneti zadatak . 
6029,nečiji brat ili sestra 
10997,odnos srodstvo između otac i njegov potomstvo 
16782,ukupan vrednost imovina za oporezivanje . 
10106,"u anatomija mali struktura nalik mali koren , fibrili nerv "
5371,"Zatiljačni spazam mišić , ukočenost vrata . u ležeći položaj telo se oslanjati isključivo na glava i peta , karakterističan jesam za histeričan napadaj . nastajati i kod tetanus , padavica i upao moždani ovojnica . "
17047,ukloniti neki jajnik 
13358,"artikulisati reč , uzvik , vika ili buk . "
12687,ukuvan voće napraviti od njihov meso i kor . 
16997,količina dobijen sabiranje 
8598,Aromatična trava iz star svet koji imati lišće u oblik niti a seme se koristiti kao začin . 
12880,"nalikovati repa , moći biti različit dužina i obavljati za mnogi životinja vrlo korisne funkcija poput održavanje ravnoteža ili pomoć pri penjanje ili skakanje "
2033,deo pesnički delo 
6020,jestiv mlad izdanak biljka asparagus . 
5568,postupak koji se neki stanje od faktički pretvarati u pravni ( zakonit ) 
5186,crveno tropski voće u oblik kruška sa otrovan smena ; meso jesam otrovno kad jesam pold nezreo ili prezreo 
17800,dugačak i uzak komad papir 
6851,tropski penjačica jugoistočni Azija koji rađati bobičav plod oštar ukus . 
15113,politika koji regulisati međunarodan odnos 
10668,dobiti ili pokušati dobiti na telefon . 
6257,Nešto što se davati za pobeda ili nadmoć na takmičenje ili borba . 
15271,proučavanje drevan natpis 
1025,raznovrsnost biljni i životinjski svet na neki stanište 
16270,Čin kada se pritiskati . 
9874,značenje reč koji zavisiti od njen uloga u rečenica i koji varirati sa njen fleksivnim oblik 
14296,predominantan ( prvenstveno ) fotosintetički organizam koji sadržati plav pigment kao dodatak hlorofil ; pojavljivati se samostalno ili u kolonija u različit sredina ; značajan kao fitoplankton 
7385,otac ili majka ; neki ko začeti ili roditi ili hraniti i podignuti dete ; rođak koji igrati uloga staratelj . 
15668,Čin koji se nešto poboljšavati . 
2501,vreme koji jesam potrebno da zemlja napraviti jedan krug oko sunce ; mera se izmeđe dva prolećni ravnodnevica 
9723,grupa od @card@ do tri sloga koji činiti osnovni jedinica poetski ritam 
8357,"drvo poreklo sa Karibi , imati perast lišće : karambola "
4127,potpun kompleks stav i ubeđenje . 
19228,pokazati mesto ; dodeliti mesto . 
13765,ustanova koji uključivati zemljište i oprema za pružanje obrazovanje od zabavište do srednji škola . 
6843,pšenični pahuljica uključivati ovas 
15042,skup kontrolni iskaz koji jesam smestiti u biblioteka i moći se pronaći po ime . 
7362,"Društveni insekt koji živiti u zajednica , uključivati termit ; često se smeštati u podklasa Exopterygota . "
10595,rod drveće dikotiledona iz familija Anacardiaceae koji imati ? drupaceous plod . 
9734,"proces prolivanje suza , koji oično pratiti jecaj i drugi neartikulisan zvuk . "
301,hrišćanin uopšte 
9399,godišnji ili višegodišnji trava toplih predeo 
18739,"evroazijski biljka sa roze , ljubičast ili crven mirisan obično dupli cvet ; gajiti jesam u mnogi varijetet i boja . "
1779,shematski ili preliminaran plan 
1374,objašnjenje čovekov poznavanje maternji jezik 
5727,poklapati se s rod Tropaeolum . 
10130,"Široko rasprostraniti ? južne Evropa koji imati ? racames koji se ne granati ; cvet jesam plav , nekad purpuran ili ružičast ; ponekad se smeštati u rod Delphinum . "
5668,rod biljka koji veoma podsećati na biljka iz rod Silene . 
15511,osoba koji pripadati pol koji moći da rađati beba . 
15976,osobina koji razlikovati organizam prema njihov reproduktivan uloga . 
17667,rana faza rast ili razvoj . 
4539,konstrukt po koji se moći razlikovati predmet ili osoba . 
2889,meteorologija ukupan opseg atmosfera - posebno gornji sloj 
2295,a Plant of the genus Aquilegia having irregular showy spurred flowers ; north temperate regions especially mountains 
1979,mikser sa električni pogon koji vitlati sečivo koji mešati ili sipati ili rastvarati hrana 
11698,uputiti na nešto kao ilustracija ili dokaz 
2637,savremen grčki varijetet 
3091,stanovnik Senegal ili poreklo iz Senegal 
16073,ispuniti ili anulirati dug 
8508,elektronski komunicirati pomoću računar 
5862,nosač samo zvučan zapis 
16490,neki ko verovati u postojanje stvarnost izva ljudski poimanje 
11080,sposobnost da se vispren procena situacija ili okolnost i da se izvući čvrst zaključak . 
10321,"čin komuniciranje sa božanstvo ( posebno koji se izražavati molba , obožavanje , pokajanje ili zahvalnost ) "
2316,"razmenjivati misao , pričati sa neki . "
4677,stvoriti nešto ponovo . 
3351,grana geologija koji se baviti proučavanje fizički i hemijski svojstvo mineral . 
18868,izborni borba među kandidat za neki funkcija 
1016,"zemlja između tigar i Eufrat , prostor na koji jesam nastati mnogi star civilizacija ; danas u sastav Irak "
15035,relacija vlasnik prema stvar koji posedovati ; posedovanje s prava prenos posed na drugi . 
13298,Mladunče domaći mačka . 
2972,instrukcija koji prekid program koji se izvršavati i predavati kontrola supervizor 
4964,obala u morski grad . 
8706,čin koji nešto postajati širok 
11326,"kitov zuban : delfin , narval ; pliskavice , glavat uljarka . "
491,ukloniti posvećenost sa osoba ili objekt . 
