,Sysnet
10178,kamenjari
241,praviti se važan
6093,gramatička kategorija svih promenljivih reči kojom se izražava kontrast jednina/množina/dual u zavisnosti od broja entiteta o kojima je reč
14144,Javno prikazivanje obično pisane poruke.
8421,Praviti određenu buku ili zvuk.
14221,Neko čiji je posao da snabdeva potrošače određenom uslugom ili dobrom.
2794,u grčkoj mitologiji Jokastin brat i Antigonin ujak koji je postao kralj Tebe posle Edipovog pada
1333,Kakaovac
15186,Višegodišnja evropska biljka koja ima grozdove malih mirisnih cvetova (obično belih); gaji se po baštama.
5173,UZ
16024,germanski jezik Skandinavije do otprilike 700. godine
3902,meso bilo koje morske ili slatkovodne ribe iz porodice Salmonidae
6686,tipski rod porodice Cimicidae: stenice.
9268,Većina običnih liljaka iz umerenih područja.
13107,izbaciti sadržaj stomaka na usta
12394,proklom iz Indije ili stanovnik Indije
6797,geološko svojstvo koje je ostatak ranije postojeće formacije nakon nestanka drugih delova
4149,Biti ili činiti osnovu.
4529,"duži prozni rad, najčešće u formi priče"
9981,kolekcija i izučavanje poštanskih maraka
8211,u grčkoj mitologiji drevni bog sunca; putovao je kočijom preko nebeskog svoda svakog dana; u rimskoj mitologiji mu odgovara bog Sol
8419,čadski jezik kojim se govori u severnoj Nigeriji
13596,"Učiniti jednakim, ravnomernim, odgovarajućim ili saglasnim."
3597,film na koji se fotografiše materijal u veoma smanjenoj veličini; koristan za skladištenje; sistema za uvećavanje se koristi da bi se materijal pročitao
16676,Otpočeti razgovor s nekim.
2789,Micati neki pribor uz stalne kružne pokrete.
6802,električni uređaj koji generiše signale
10597,stanovnik današnjeg Rima
13446,učiniti da neko nešto uradi
2703,reka Južne Amerike dugačka 2410 kilometara
3928,rezerva novca ostavljena na stranu za neku svrhu
3301,dug vremenski period
3052,"dugačak kožni remen, ili od nekog drugog materijala koji služi da poveže neke stvari ili da ih drži na jednom mestu"
6235,žena - stanovnik Engleske ili poreklom iz Engleske
14422,Velike magmatske stene koje su nastale duboko u zemlji.
11959,"bombona koja u sredini ima fondan, voće ili koštunjava voće i prelivena je čokoladom"
15081,bilo koji proces koji utiče na proizvodnju i razvoj i upravljanje materijalnim bogatstvom
143,Beli leptir čiji se larva hrani na kupusu.
920,"indijski jezik; državni jezik Maharaštre, zapadni centralni deo Indije; pisan je devanagarijem"
1133,Vino koje sadrži veliku kolicinu ugljen-dioksida.
433,ukupan novac u privredi; valuta koju javnost poseduje i pride novac na bankovnim računima
4448,Insekt dvokrilac jakog dlakavog tela čije larve žive kao paraziti na ljudima i drugim sisarima. whose larvae are parasites on humans and other mammals
9193,Šahovska igra za dva igrača od kojih oba imaju po 12 figura: cilj je preskočiti protivničke figure i tako ih blokirati.
7769,"Obrada podataka kod koje je rezultat potpuno specifikovan pravilom, posebno obrada koje je rezultat jedne instrukcije (u računarstvu)."
9041,zaliv Karskog mora u zapadnom Sibiru
5082,Ptica slična golubu.
1697,aparat koji uklanja vlagu
10724,Mašina koja obrađuje materijal melvenjem ili razbijanjem.
