,ID,Lemme,Definicija,POS,NEG
0,ENG30-03574555-n,ustanova,zgrada u koji se nalaziti organizacioni jedinica neki grana javan poslovanje ,0.00010259733,3.3920693e-05
1,ENG30-07810907-n,začin,pripremljen dodatak jela za poboljšanje ukus ,0.00013684246,2.9801966e-05
2,ENG30-00721431-n,mesto,"u nečiji prilika , mogućnost ",8.506305e-05,0.068718575
3,ENG30-00473799-v,"obnoviti,doterati,uglancati,uljuditi",ostati jesam još samo da se doterati neki finesa u igra plaviti . ,0.0001874366,0.0008639527
4,ENG30-00903385-v,oprostiti,zapad on jesam oprostiti što se nekada računati u Slobin prijatelj . ,0.00012714678,5.8591897e-05
5,ENG30-00900961-v,oprostiti se,""" i najposle se oprostiti : on sklapanje ruka , ja poklon . "" ",0.00013376398,0.0006070305
6,ENG30-01987160-v,postaviti,Čeličnu grdosija težak ukupno @card@ ton postaviti jesam na stub i namontirali neimar Mostogradnje . ,0.0001298409,3.337282e-05
7,ENG30-01348174-v,"zaključati,zabraviti",sputati pomoću brava ,0.0019532247,4.126016e-05
8,ENG30-01376245-v,"rasuti,raštrkati,posuti,rasejati,rasturiti",razmestiti na raštrkan način . ,0.00012851841,0.000257007
9,ENG30-01382083-v,"brati,sakupljati",Tražiti i sakupljati . ,0.00027090748,0.00011177617
10,ENG30-01387022-v,"oturpijati,isturpijati,strugati",uglačati turpija ,0.00019929998,0.021630526
11,ENG30-01393996-v,pomesti,Očistiti metenje . ,0.21229258,8.359036e-05
12,ENG30-01421622-v,"ubaciti,umetnuti,staviti",staviti ili ubaciti u nešto . ,0.00015360497,0.0064601647
13,ENG30-01431987-v,"golicati,škakljati,dražiti",lagano dodirivati ili maziti . ,0.0002829261,0.00043345412
14,ENG30-01437254-v,"odaslati,izaslati,izdati","uzrokovati ili narediti da se preneti , usmeriti ili odaslati na drugi mesto . ",0.00013861977,0.00024657685
15,ENG30-01441100-v,probušiti,napraviti rupa u nešto . ,9.7090706e-05,0.0069412473
16,ENG30-01445932-v,"ujesti,ugristi","uhvatiti , odgristi ili otrgnuti pomoću zub ili kao zub . ",0.00016514005,7.7727185e-05
17,ENG30-01446901-v,"mahnuti,mahati,vitalati",pomerati ili ljuljati napred-nazad . ,0.00013041623,0.022071255
18,ENG30-01371756-v,"šutnuti,voditi","terati , voditi noga , u sport kao što jesam futbal . ",0.00010300734,5.5507022e-05
19,ENG30-01370561-v,šutnuti,udariti noga ,0.000105922816,5.0902418e-05
20,ENG30-01391280-v,"uvaljati,razviti",poravnati ili raširiti valjak . ,0.012551117,0.06742334
21,ENG30-01435380-v,"preneti,sprovesti",poslati od jedan osoba ili mesto na drugi . ,0.00011554582,3.2682983e-05
22,ENG30-01456771-v,"štipati,štipnuti,stisnuti",Čvrsto stisnuti među prst . ,0.00010972392,7.8221565e-05
23,ENG30-01461328-v,"smešati,pomešati",Smešati u jedan celina . ,9.7727425e-05,3.4254466e-05
24,ENG30-01487311-v,"opteretiti,otežati,natovariti",natovariti teret . ,9.500367e-05,6.220873e-05
25,ENG30-01488956-v,utovariti,napuniti ili natovariti do kraj . ,0.0001754219,0.00013537795
26,ENG30-01489989-v,"nakrcati,natovariti",napuniti ili natovariti . ,0.001109251,0.00011082183
27,ENG30-01493619-v,"smestiti se,zavaliti se",Čvrsto ili sigurno se smestiti . ,0.0013728222,0.021686742
28,ENG30-01528069-v,"smestiti,zabiti,zariti",zabiti ili silom uterati . ,0.00025267346,0.236962
29,ENG30-01536168-v,"proprati,isplaknuti",ispratiti sapun ili preostali prljavština . ,0.08767659,0.64163053
30,ENG30-01566705-v,"smrskati,skršiti",Uništiti ili oštetiti na nasilan način . ,7.996675e-06,0.9527785
31,ENG30-01573515-v,"prekinuti se,preseći se,puknuti,rasparati",razdvojiti ili učiniti da se nešto naglo razdvojiti . ,0.00032721684,8.186248e-05
32,ENG30-01631534-v,"zamisliti,stvoriti umom","stvoriti mentalno i apstraktan , a ne ručno . ",0.00010465399,0.3921458
33,ENG30-01634142-v,"smisliti,isplanirati,zasnovati",zamisliti neki ideja . ,0.08501609,0.1822515
34,ENG30-01691057-v,"crtati,pisati",ostavljati ili crtati po površina . ,0.00019516038,6.705058e-05
35,ENG30-01723690-v,"oličavati,oličiti",poprimiti ili glumiti nečiji karakter . ,0.0001795788,0.0004617572
36,ENG30-01747374-v,prepisati,pisati nešto ponovo kako jesam . ,0.00010813256,3.6354028e-05
37,ENG30-01797051-v,"oplakati,tugovati,jadikovati,ožaliti",Osećati tuga . ,6.0933858e-06,0.9640684
38,ENG30-01824532-v,želeti dobro,Osećati ili izražavati želja ili nada za nečiji budućnost . ,0.16589649,0.23921967
39,ENG30-01828405-v,"čeznuti,priželjkivati,žudeti",jako ili neprekidno želeti . ,0.09885412,0.21515125
40,ENG30-01866610-v,"vrteti se,kotrljati se,valjati se",vrteti se ili uzrokovati da se nešto vrtiti . ,0.0007504288,0.13062522
41,ENG30-01868370-v,"migoljiti se,uvrtati se,savijati se",micati se uvijen ili grčevit pokret ( posebno u borba ) . ,0.0001626867,3.902163e-05
42,ENG30-01876530-v,ići tamo-amo,"kretati se u jedan smer , a zatim u suprotan . ",0.00010669829,3.0925818e-05
43,ENG30-01888946-v,"drhtati,potresti se,treperiti,protresti se",tresti se grčevito ,0.010777109,0.11547139
44,ENG30-01902405-v,"odjuriti,strugnuti,kidnuti,odmagliti",kretati se žurno . ,0.020701028,3.8678612e-05
45,ENG30-01902783-v,"plutati,lelujati se",biti u pokret zbog neki strujiti vazduh ili voditi . ,0.00012837749,5.6143275e-05
46,ENG30-01909397-v,"prevrnuti se,iskrenuti se",okrenuti se iz uspravan ili normalan položaj . ,0.00016898912,7.167656e-05
47,ENG30-01911888-v,"ušunjati se,privući se,prikrasti se",Prić kradom ili krišom . ,0.04282368,0.33750686
48,ENG30-01916634-v,"šepiriti se,šepuriti se,kerebečiti se,prsiti se,razmetati se","hodati gordo , često pokušavati da se impresionirati drugi . ",0.00013500248,4.3738328e-05
49,ENG30-01920932-v,dugo pešačiti,"Ići na dug pešačenje , iz zadovoljstvo ili telesni vežba . ",0.00020374657,3.6134872e-05
50,ENG30-01938426-v,"skijati se,smučati se",kretati se na skija . ,0.0005311227,3.389612e-05
51,ENG30-01960911-v,plivati,putovati kroz voda . ,9.6838434e-05,3.214905e-05
52,ENG30-01977701-v,ispustiti,pustiti nešto da pasti na zemlja . ,0.00011839455,3.6183606e-05
