,ID,Definicija,POS,NEG
0,ENG30-03574555-n,zgrada u koji se nalaziti organizacioni jedinica neki grana javan poslovanje ,3.0906765e-05,1.0808697e-05
1,ENG30-07810907-n,pripremljen dodatak jela za poboljšanje ukus ,3.229492e-05,1.2218798e-05
2,ENG30-00721431-n,"u nečiji prilika , mogućnost ",3.3620727e-05,0.0008410133
3,ENG30-00473799-v,ostati jesam još samo da se doterati neki finesa u igra plaviti . ,3.6971083e-05,2.0932835e-05
4,ENG30-00903385-v,zapad on jesam oprostiti što se nekada računati u Slobin prijatelj . ,3.654623e-05,1.137204e-05
5,ENG30-00900961-v,""" i najposle se oprostiti : on sklapanje ruka , ja poklon . "" ",4.61435e-05,1.145828e-05
6,ENG30-01987160-v,Čeličnu grdosija težak ukupno @card@ ton postaviti jesam na stub i namontirali neimar Mostogradnje . ,2.8464381e-05,9.749014e-06
7,ENG30-01348174-v,sputati pomoću brava ,7.394662e-05,1.5781967e-05
8,ENG30-01376245-v,razmestiti na raštrkan način . ,6.0023813e-05,5.1800343e-05
9,ENG30-01382083-v,Tražiti i sakupljati . ,0.00010092891,2.625514e-05
10,ENG30-01387022-v,uglačati turpija ,0.028809635,3.998891e-05
11,ENG30-01393996-v,Očistiti metenje . ,0.0027208622,0.00096566207
12,ENG30-01421622-v,staviti ili ubaciti u nešto . ,0.00012372516,1.4598497e-05
13,ENG30-01431987-v,lagano dodirivati ili maziti . ,0.0007706511,4.1489246e-05
14,ENG30-01437254-v,"uzrokovati ili narediti da se preneti , usmeriti ili odaslati na drugi mesto . ",3.2635468e-05,3.1667718e-05
15,ENG30-01441100-v,napraviti rupa u nešto . ,4.9925606e-05,1.8448285e-05
16,ENG30-01445932-v,"uhvatiti , odgristi ili otrgnuti pomoću zub ili kao zub . ",3.2695774e-05,1.4578579e-05
17,ENG30-01446901-v,pomerati ili ljuljati napred-nazad . ,5.3857046e-05,3.5271034e-05
18,ENG30-01371756-v,"terati , voditi noga , u sport kao što jesam futbal . ",3.4697783e-05,1.6460233e-05
19,ENG30-01370561-v,udariti noga ,3.798122e-05,1.5007351e-05
20,ENG30-01391280-v,poravnati ili raširiti valjak . ,4.291502e-05,0.01956543
21,ENG30-01435380-v,poslati od jedan osoba ili mesto na drugi . ,3.7886122e-05,1.2067595e-05
22,ENG30-01456771-v,Čvrsto stisnuti među prst . ,4.8367645e-05,1.42666795e-05
23,ENG30-01461328-v,Smešati u jedan celina . ,3.582394e-05,1.3373719e-05
24,ENG30-01487311-v,natovariti teret . ,4.8542755e-05,3.285582e-05
25,ENG30-01488956-v,napuniti ili natovariti do kraj . ,3.423178e-05,2.4727746e-05
26,ENG30-01489989-v,napuniti ili natovariti . ,5.4190677e-05,2.4770392e-05
27,ENG30-01493619-v,Čvrsto ili sigurno se smestiti . ,4.4923807e-05,0.005640485
28,ENG30-01528069-v,zabiti ili silom uterati . ,7.980523e-05,2.976895e-05
29,ENG30-01536168-v,ispratiti sapun ili preostali prljavština . ,0.7286816,0.004533582
30,ENG30-01566705-v,Uništiti ili oštetiti na nasilan način . ,2.38912e-06,0.9735943
31,ENG30-01573515-v,razdvojiti ili učiniti da se nešto naglo razdvojiti . ,0.00013517916,1.3320244e-05
32,ENG30-01631534-v,"stvoriti mentalno i apstraktan , a ne ručno . ",3.7410304e-05,6.0774826e-05
33,ENG30-01634142-v,zamisliti neki ideja . ,0.000100324425,6.614561e-05
34,ENG30-01691057-v,ostavljati ili crtati po površina . ,4.104692e-05,1.905027e-05
35,ENG30-01723690-v,poprimiti ili glumiti nečiji karakter . ,5.0915227e-05,0.004774505
36,ENG30-01747374-v,pisati nešto ponovo kako jesam . ,3.5747813e-05,1.12110965e-05
37,ENG30-01797051-v,Osećati tuga . ,8.3191406e-07,0.9768567
38,ENG30-01824532-v,Osećati ili izražavati želja ili nada za nečiji budućnost . ,6.515132e-05,0.0022877844
39,ENG30-01828405-v,jako ili neprekidno želeti . ,0.49807253,0.0001049315
40,ENG30-01866610-v,vrteti se ili uzrokovati da se nešto vrtiti . ,7.4045556e-06,0.92203844
41,ENG30-01868370-v,micati se uvijen ili grčevit pokret ( posebno u borba ) . ,3.272031e-05,1.2073229e-05
42,ENG30-01876530-v,"kretati se u jedan smer , a zatim u suprotan . ",7.883043e-05,9.634868e-06
43,ENG30-01888946-v,tresti se grčevito ,0.00016763373,4.8611382e-05
