X,Predicted,Real
jedinica za mera računarski emorije . ,1,0
velik pljosnatica u SAD-u ,1,0
velik tropski voće sa kor poput koža i mek pulpa ; u srodstvo sa krem jabuka ,1,0
argentinski oklopnik sa šest pokretan ploča ; trbušni strana jesam pokriti čekinjast dlaka . ,1,0
čin polivanje vino kao prinos u religijski ceremonija . ,1,0
dobiti privremeno . ,1,0
glavni i velik grad Gvatemala ,1,0
radijacija koji se sastojati od energetski talas povezan sa električni i magnetski polje koji proizlaziti iz ubrzanje električni naboj . ,1,0
habanje kameni čestica usled trenje prouzrokovan voda ili vetar ili led ,1,0
"živin punjen , kuvan i prekriven aspik ; servirati se hladno ",1,0
dozvoliti neki mogućnost ; priznati istina ili valjanost nešto . ,1,0
"lagan , vazdušast , sladak zemička koji sadržati jaje i puter . ",1,0
vrtni salata kod koji jesam lišće okupiti u čvrst glava . ,1,0
moreuz između egejski i mramoran mora koji odvajati evropski od azijski delo Turska ,1,0
pokretan masa mišićni tkivo pokrvena sluzav opna koji jesam smestiti u usni šupljina . ,1,0
flamingo ,1,0
hrskavica koji povezivati grudni kost ( sternum ) i kraj rebro ; njen elastičnost omogućavati grudi da se pokretati prilikom disanje ,1,0
stanovnik Japan ili poreklo iz Japan ,1,0
lepota koji jesam privlačan čulo . ,1,0
"deo severni leden okean , severno od Island ",1,0
opaziti slušati ,1,0
lak i humorističan drama sa srećan kraj ,1,0
krompir koji se spremati tako što se peći u rerna ,1,0
napraviti dodatak nešto ; spojiti sa drugi ; uvećati sa jedan ili više drugi stvar . ,1,0
evropski slatkovodni riba sa pljosnat telo i srerkastom krljušt ; jesam mnogo vredan za ishrana . ,1,0
kameni riba severni atlantski okean ,1,0
dokument ( pravni osnov ) o prava na nepokretnost ( pisan dokaz o prava svojina na nepokretnost ) ,1,0
ko . ,1,0
o zvuk koji se glasno razlegati . ,1,0
povratiti znanje iz memorija . ,1,0
istraživanje verski ili magijski obred i ceremonija ,1,0
Dobra koji voziti velik vozilo . ,1,0
sob u koji se ručavati . ,1,0
socijalan politika ili reforma ( posebno socioekonomski reforma ) ,1,0
biti proveriti ili potvrditi ; proći inspekcija ,1,0
Sadži jedan vrsta : alpski azalea . ,1,0
otvor koji ličiti na usta ( kao otvor pećina ili klisura ) ,1,0
tanak komad drvo ili metal ,1,0
beo mekan metal koji lako potamniti ; javljati se u redak mineral i obično se klasifikovati kao redak zemlja ,1,0
"ustanoviti , zasnovati na zakon ili na zvanično prihvaćen pravilo ",1,0
"najmanja planeta sunčev sistema , bliz sunce ",1,0
"sos začiniti seckan peršun , vlašac , estragon , vlašac i kapar ",1,0
zamenjivanje ime naslov ( titula ? ) ,1,0
primiti krasti stvar . ,1,0
velik magmatski stena koji jesam nastati duboko u zemlja . ,1,0
"primeniti lažan i nedokazan medicinski medode , lečiti ma šarlatanski način ",1,0
"uklanjati nečistoća iz šta , povećavati koncentracija šta i odvajati putem proces destilacija ",1,0
sastavljanje popisati roba ili zaliha na raspolaganje ,1,0
poljski cveće čiji jesam stabljika nerazgranata i imati u krug rasporediti latica cvet ,1,0
glavni i velik grad Kipar ,1,0
pazitelj koji jesam zadužen da budno motriti . ,1,0
"uklanjanje prepreka , ograničenje . ",1,0
posati koji jesam u obaveza da uraditi zbog moralan ili zakonski razlog . ,1,0
"stanovnik Šri Lanke , ili poreklo iz ona ",1,0
"Mačke , lav , tigar , panter , pas , vuk , šakal . medved , rakun , ? ; sav jesam član podreda Punnipedia . ",1,0
ronac ,1,0
orhideja umeren i tropski kraj koji imati klas belo-žutog cveće . ,1,0
imati rasprava o kakav pitanje ,1,0
neki od mnogi štapičastih gramnegativnih bakterija ,1,0
kvadratni matrica čiji determinanta jesam nula ,1,0
"Polučvrsta smeša koji obično sadržati lek , za spoljašnji upotreba , kao lek ili za ublažavanje nadržaja . ",1,0
stanje posvećenje od bog ,1,0
mali priručnik ,1,0
šnicla pohovan prezla i jaje ,1,0
mali evroazijski jelen . ,1,0
stvoriti društven ili emocionalan veza . ,1,0
Određena vrsta izgledati . ,1,0
carić ,1,0
"velik postavljen vreća koji služiti za spavanje napolju , obično se moći urolati ",1,0
prekursor leukocita koji se obično pojavljivati u koštan srž ,1,0
dijalekt toharskog ,1,0
Godišnja ili višegodišnji tropski ili suptropska žitarica : sorghum . ,1,0
velik evropski bukva ,1,0
australijski drvo sa prijatno kiseo plod koji podsećati na tikva ,1,0
stanovnik Honduras ili poreklo iz Honduras ,1,0
udavke star svet ,1,0
jedrilica sa jedan jarbol koji jesam postavljati više unazad nego kod običan jedrilica ,1,0
velik brazdasti kit sa velik prednji peraja ; živiti u sav more severni i južnog umeren pojas . ,1,0
politički teorija koji propagirati kolektivno vlasništvo u besklasan društvo ,1,0
Mehanički proces habanje ili mlevenje nešto ( kao kada ga trunje glačati ) . ,1,0
"severni deo Sahara , u Libija , Egipat i Sudan ",1,0
fakultet i student u kakav obrazovni ustanova ,1,0
gmizavac iz rod Chelonia . ,1,0
"doneti do destinacija , izvršiti isporuka . ",1,0
"zadnji , posteriorni deo konj . ",1,0
Aromatično drvo zapadni Indija ojesti rađati bobica najgvirca . ,1,0
prekrivač za krevet ,1,0
pisac scenario ,1,0
promena iz jedan stanje u suprotno . ,1,0
