X,Predicted,Real
paket više stvar poveznaih zajedno radi nošenje ili skladištenje ,1,0
zaštitni prekrivač od metal koji prekrivati motor ,1,0
izazvati da se pokrenuti udarac . ,1,0
lenjivac koji imati tri dugačak prst na svaki prednji noga . ,1,0
Čin prodiranje ili otvaranje nešto pomoću oštrica . ,1,0
"neki od mnogh izumro slon koji jesam živeti u leden doba ; ogomni , čupav , s dugackom izvinutom surla . ",1,0
nedostatak darežljivost ; nesklonost da se da novac . ,1,0
brzo se i nasilno kretati ,1,0
gimnastički sprava koji se sastojati od jak platno koji jesam opruga pričvrstiti za metalan okvir i po koji se skakati . ,1,0
voditi izveštaj o nešto . ,1,0
izgovoriti veoma jak glas . ,1,0
čin uključivanje rasan ili verski grupa u zajednica ,1,0
Štampač koji štampati karakter po karakter . ,1,0
nov podatak o poseban i trenutan događaj . ,1,0
davati nešto kao proizvod . ,1,0
povezivanje simbol u niz jedan za drugi ,1,0
kružan ili prstenast struktura ,1,0
klauza koji uvoditi relativan ( odnosni ) zamenica ,1,0
predstava onaj što jesam percipiran ; osnovni komponenta u formiranje koncept ,1,0
uglačan površina koji stvarati slika odbijajući svetlo ,1,0
komercijalan hrana koji jesam trenutno spreman za upotreba ,1,0
"skup koji jesam zatvoren , asocijativan , imati jedinični element i svaki element imati inverzan elementerse ",1,0
mehanički sistem u zgrada koji obezbeđivati svež vazduh ,1,0
organizacija muzičar koji nastupati zajedno . ,1,0
procedura koji se preuzimati da biti se doći do medicinski dijagnoza ,1,0
Čin obavljanje nešto uspešno koristiti znanje . ,1,0
deo odevni predmet koji jesam prikačiti za otvor za ruka i pokrivati jesam ,1,0
aritmetički operacija koji se obavljati na broj u pokretan zarez ,1,0
deo organizam koji povezivati vrat sa ostatak telo . ,1,0
"biti koji od brojni mali glodar koji tipično ličiti na umanjen pacov pošto imati šiljat njuška i mali uši na izdužen telo sa mršav , obično gladak rep ",1,0
"dugačak , masna haringa malo usoliti i kratko dimiti ",1,0
osoba koji posedovati mnogo materijalan dobro i novac ,1,0
"uzajaman transfer ekvivalentan suma novac , posebno valuta različit zemlja ",1,0
iznenadan promena vlast obično uz upotreba sila ,1,0
seljak koji se baviti uzgajanje živ stoka . ,1,0
teritorija koji zauzimati narod . ,1,0
broj koji identifikovati pozicija relativno u odnos na osa . ,1,0
jestiv ptičji organ ,1,0
deo živ biće koji imati poseban funkcija ili ga napajati dat arterija ili nerv ,1,0
"osoba ili preduzeće koji se baviti prevoz ljufi , roba ili poruka . ",1,0
"klasa sastaviti od osoba bez plemenit , viteški ili aristokratski rang ",1,0
lampa koji trenutno davati jak svetlost da i se snimiti fotografija . ,1,0
grčki bog rat ; sin Zevs i Her ; u rimski mitologija on odgovarati bog Mars ,1,0
onaj koji postojati ili se pojavljivati u stvarnost ; imati proveren postojanje ; jesam iluzoran ; ,1,0
reč koji označavati radnja ili stanje ,1,0
nauka o kriminalitet i počinilac kriminalan delo ,1,0
kontrolni sistem s povratan petlja koji jesam aktivan ,1,0
deo deljenik koji preostajati kada rezultat deljenje deljenik delilac jesam ceo broj . ,1,0
Čin koji se neki prati ( ili prati neki drugi ) . ,1,0
kanal koji jesam dovoljno širok da brod moći da proći ,1,0
kupast dečji igračka koji se sužavati u čelični vrh na koji moći da se zavrtiti . ,1,0
stanovnik Andora ili poreklo iz Andora ,1,0
"deo Tihog okean , severoistočno od Australija ",1,0
lekar specijalista za rad nervni sistema i za poremećaj koji na on utoču . ,1,0
mlad krava . ,1,0
paprikaš koji se praviti sa usoljen govedina ,1,0
