X,Predicted,Real
"nezgoda , posebno ona koji prouzrokovati povreda ili smrt . ",1,0
rezultat razvijanje . ,1,0
Događaj koji se desiti kada nešto preći iz jedan stanje u drugi . ,1,0
onaj koji raditi za neki ( osoba ili organizacija ) ,1,0
velik zgrada za sastanak i zabava . ,1,0
imati nagnuti pravac ili položaj ,1,0
sistem ili procedura za identifikacija osoba ,1,0
"smanjiti nivo zemljište , npr . erozija ",1,0
osoba koji kontaktirati sa drugi . ,1,0
"Očistiti sredstvo za čišćenje , kao što jesam sapun ili voda . ",1,0
izraz bez reč ,1,0
obožavanje planeta i zvezda ,1,0
"uređaj koji primati signal ili stimulans ( kao toplota , pritisak , svetlo ili poret ) i odgovarati na on na odgovarajući način ",1,0
Afrička muva koji sisati krv i prenositi bolest spavanje . ,1,0
finansijski institucija koji finansirati svoj investicioni aktivnost od prodaja hartija od vrednost ili osiguranje ,1,0
odrediti po značenje ( čovek u sintagma ' visok čovek ' ) ,1,0
Nečije celokupan iskustvo koji određivati kako on stvar izgledati . ,1,0
sledbenik luteranstva ,1,0
komercijalan važan cipal . ,1,0
koji jesam kao brat ili imati osobina koji odgovarati bratski osobina ,1,0
"koji zadovoljiti ili šarmirati , obično da biti se na on uticati ",1,0
deo računarski program u koji se niz instrukcija izvršavati više puta dok se ne zadovoljiti odrediti stanje ,1,0
"mreža u koji se ukrštati krvni sud , nerv ili limfni sud ",1,0
matematički izraz koji jesam suma član od koji jesam svaki n-ti stepen promenljiv ,1,0
small yellowish moths whose larvae feed on wool Or fur ,1,0
čin prisustvo ,1,0
habulica ,1,0
stvoriti nešto ponovo . ,1,0
ispoljiti odgovor ili reakcija na nešto . ,1,0
javan prikazivanje neki zabava . ,1,0
mera jačina alkoholni pića izražen kao ceo broj koji iznositi dva put procent alkohol po zapreti ,1,0
( čin ) terapija lek ,1,0
dati neki osobina nešto . ,1,0
Pružanje privremen pomoć . ,1,0
postati opšte poznat i prenositi se dalje . ,1,0
Čin izlaženje . ,1,0
proces povećavanje ,1,0
slikovnica za deca sa crtež namenjen za bojenje ,1,0
vršiti posao ,1,0
( klasičan mitologija ) zmija ( ili gušter ili zmaj ) sposoban da ubiti dah ili pogled ,1,0
stvoriti od reč ,1,0
osoba koji vladati ili koamnduje . ,1,0
učenje koji trebati da obezbediti opšti znanje i intelektualan veština a ne zanimanje i profesionalan veština ,1,0
Čin prljanje nešto . ,1,0
"korpus pravilo , regulativa , nalog i odluka koji donositi administrativan agencija vlada ",1,0
odenuti se . ,1,0
Dan na koji se ne raditi po običaj ili zakon . ,1,0
jedrilica sa jedan jarbol koji jesam postavljati više unazad nego kod običan jedrilica ,1,0
Različak . ,1,0
veličina izražen broj ,1,0
kvalitet nešto što jesam adekvatno ili perfektno . ,1,0
Prostorna osoba pozicija sa koji se nešto osmatrati . ,1,0
zlatnica ,1,0
Slično sa prastar orgijskim obožavanje Afrodita na Kipar ,1,0
oduzeti ili ukloniti ,1,0
"mekan nesegmentiran morski crv , sposoban da se izduživati i skupljati . ",1,0
"priznati bog u prisustvo sveštenik , kao u katolisykoj vera ( ? ) ",1,0
Čin uzburkavanje nešto ; uzrok njegov okretanje ( obično snažno ) . ,1,0
lekar specijalista koji koristiti radioaktivan supstanca i X-zrake za lečenje bolest . ,1,0
vizuelan svojstvo nešto što nemati boja . ,1,0
gramatički odnos koji postojati kada reč kvalifikovati značenje sintagma ,1,0
centralni računar koji jesam u dat trenutak s najviše računarski snaga ,1,0
Nešto što hteti se uskoro desiti ili neposredno nailaziti . ,1,0
"homogen mešavina dva ili više sastojak ; često , ali ne obavezno , tečan rastvor . ",1,0
"sistem mera za dužina , težina i trajanje . ",1,0
osoba koji jednak neki drugi osoba iz grupa . ,1,0
grupa koji jesam deo oružan snaga . ,1,0
Čin dodavanje spoljašnji ukras na nešto . ,1,0
operacija koji upravljati štampanje ili prikaza informacija ,1,0
aktivnost snabdevanje ili doturati nešto . ,1,0
grudni koš osoba . ,1,0
prekrstiti neki ( učiniti znak krsta preko neki ) da biti se nad taj osoba prizvati Božija zaštititi ,1,0
velik i impozantan kuća . ,1,0
( filozofija ) doktrina prema koji jesam život vitalan princip koji se razlikovati od fizika i hemija ,1,0
postepeno poboljšanje ili rast ili razvoj ,1,0
koji se odnositi na praktičan predmet koji jesam organizovati po naučni princip . ,1,0
biti pričljiv ,1,0
smrznut voda u čvrst stanje ,1,0
biti šta što jesam opšte prihvaćen kao standard vrednost ili mera bogatstvo u određenoj zemlja ili region . ,1,0
koji se kretati ili rasti naviše ,1,0
koji ispoljavati ili jesam označen tuga i bol ,1,0
"u doslovan značenje , koji imati relativno mali visina ili se malo prostirati uspravno . ",1,0
odrasti ženski osoba ( nasuprot odrastao muški osoba ) . ,1,0
Čin užurban kretanje na nepažljiv način . ,1,0
osoba koji kupovati ili koristiti dobra ili usluga ,1,0
grozničnica ,1,0
vrednost koordinata na horizontalan osa . ,1,0
Učiniti ružan . ,1,0
izbaciti ili eliminisati ( ukloniti ) ,1,0
"Učiniti neki otkriće , učiniti nov pronalazak . ",1,0
Kućni aparat za automatski pranje vešati . ,1,0
"nastaviti odrediti stanje , uslov ili aktivnost . ",1,0
profesija koji se izučavati na medicinski fakultet ili sličan ustanova a u cilj lečenje i sprečavanje bolest ,1,0
ispružiti ili ispraviti ; vratiti iz kriv položaj ,1,0
koji jesam umoran od svet i život ,1,0
muntjak ,1,0
pčelarica ,1,0
nedostatak briga za dobrobit drugi ,1,0
Reći ponovo ili imitirati . ,1,0
čin prinošenje hleb i vino prilikom pričest ,1,0
tvrditi ili misliti da jesam neki odgovoran za neki delo ili čin . ,1,0
"Učiniti velik ili širok po boimu , zapremina i količina . ",1,0
radiografija koji koristiti X-zrake da proizvesti rentgenogram ,1,0
slikan struktura na scenski podloga koji imati za cilj da predstaviti odrediti lokalitet ,1,0
osoba koji imati konzervativan ideja ili stav . ,1,0
ukazivač kao na brojčanik ,1,0
jedan od dva vrednost koji određivati tačka u ravan njen rastojanje od fiksiran pol i ugao koji onaj graditi sa fiksiran prava koji prolaziti kroz pol . ,1,0
stanje u koji se malo novac i materijalan dobro . ,1,0
grupa koji zadovoljavati komutativni zakon ,1,0
Čin povraćaj ili spasavanje nešto izgubljen ( ili u opsanosti da se izgubiti ) . ,1,0
svojstvo koji činiti prostor između dva objekt ili tačka . ,1,0
imati ili vršiti uticaj ili delovanje . ,1,0
Određeni zvučan efekt koji proizvoditi dati izazivač . ,1,0
čin ili praksa koji se odstupati od zadovoljenje želja ,1,0
tražiti ili tragati ,1,0
neki izraziti stil u muzika . ,1,0
obezbediti ustav u država . ,1,0
Povećati cena . ,1,0
ljubazan i blag stav prema ljudi ,1,0
aktivnost usmeriti ka postizanje određenog čulan rezultat ,1,0
platforma podignuti iznad nivo okolina da biti se istaknuti osoba na ona ,1,0
preteran ili nekontrolisan strah ,1,0
Žižak ,1,0
nezreo gamet koji nastajati od spermatocita ; razvijati se u spermatozoid ,1,0
svaki masta dobiti iz neki životinja ,1,0
general visok rang ,1,0
Čin završavanje nešto . ,1,0
pauza kada se neki aktivnost prekid ,1,0
osoba čiji jesam svetost izuzetan ,1,0
poslovanje koji obezbeđivati usluga turista ,1,0
bakterija koji izazivati abortus kod ovca ,1,0
čin prskanje voda tokom krštenje ,1,0
Učiniti da biti čvrsto prikačiti . ,1,0
crkven obred koji se nešto činiti svetiti . ,1,0
"zakon definisati ( pravni ) status , položaj , stanje ",1,0
biti difuzan ,1,0
Čin stanovanje na jedan mesto . ,1,0
forma vladavina u koji jesam vlast koncentrisan u ruka jedan osoba ,1,0
supstanca koji činiti telo . ,1,0
