X,Predicted,Real
verovanje u jedan bog ,1,0
školski zadatak koji učenik ispunjavati da biti zadovoljiti zahtev nastavnik ,1,0
Predviđeni ishod koji se nameravati postignuti i koji voditi nečiji planirati ponašanje . ,1,0
stavljanje jedan stvar ili osoba na mesto drugi . ,1,0
stanje u koji se zemljin površina trošiti usled dejstvo voda i vetar ,1,0
korišćenje regresija za pravljenje kvantitativan predviđanje jedan promenljiv na osnova vrednost drugi ,1,0
proces lingvistički promena u tok određenog vremenski perioda ,1,0
"proces tokom koji ličnost i seksualan ponašanje sazrevati kroz pet faza : prvo usmen faza , slediti analan faza , a onda falusna faza , latentan faza i konačno genitalni faza . ",1,0
grana filozofija koji analizirati princip i procedura neophodan za vršenje istraživanje u određenoj disciplina ,1,0
"stanje u koji jesam neki bogat , imati obilno materijalan dobro i novac . ",1,0
metar koji u taksi registrovati cena ( na osnova dužina vožnja ) ,1,0
postaviti ili ustanoviti naredba ili nalog . ,1,0
koji se kretati . ,0,1
"koji jesam ništa ispuniti , čiji jesam unutrašnjost prazan ",1,0
akumulacija znanje ili veština koji jesam rezultat direktan učešće u događaj ili aktivnost . ,1,0
Opšte stanje u koji se stvar nalaziti . ,1,0
publikacija koji činiti deo niz ili serija ,1,0
"koji osećati ili ispoljavati žalost , naročito zbog nepovratan gubitak ",1,0
Markovljev proces kod koji jesam parametar diskretan vremenski vrednost ,1,0
kreativan pisanje koji imati umetnički vrednost . ,1,0
Učiniti da se slagati ili saglasiti . ,1,0
Osećanje pomanjkanje briga . ,1,0
Čin primena sila da nešto pogoniti . ,1,0
stanje zajednički život u pleme ,1,0
osoba stručan za simbolički logika ,1,0
verovanje plemenski društvo ,1,0
Nečije celokupan iskustvo koji određivati kako on stvar izgledati . ,1,0
filozofski teorija znanje ,1,0
"Meteorološki uslov : temperatura , vetar , oblačnost i vlažnost . ",1,0
oblik matematički logika u koji istinitost moći da imati kontinuum vrednost između @card@ i @card@ ,1,0
koji ne proizvoditi nameravan efekt . ,1,0
moralno iskvariti ,1,0
namerno učiniti nešto pogrešan ili netačan . ,1,0
"fashioned Or shaped by cutting ; "" a well-cut suit "" ; "" cut diamonds "" ; "" cut velvet "" ",1,0
stanje u koji jesam neki tužan . ,1,0
osoba koji jesam član ministarski kabinet . ,1,0
stanje kada jesam čovek prognati ili ostrakiziran ( isključiti iz društvo sveopšti odluka ) ,1,0
oblik salmonela koji izazivati gastroenteritis ( upao želudac ) kod ljudi ,1,0
Čin biranje neki . ,1,0
Obeležen intenzivan fizički sila . ,1,0
"standard , model ili obrazac koji se smatrati tipičan ",1,0
osobina onaj što jesam izotropan ; koji imati imati isti vrednost kada se mera po raznim pravac ,1,0
neki cilj koji se žeti neposredno postignuti . ,1,0
neprijateljski stav ,1,0
Sloboda od kontrola ili uticaj drugi ili drugi . ,1,0
osoba koji se baviti štampanje kao zanimanje . ,1,0
Čin koji se neki ili nešto remetiti ; pokretati nešto . ,1,0
alkaloid koji se ekstrahovati iz lišće koka ; koristiti se kao spoljašnji anestetik ili se uzimati iz zadovoljstvo ; izazivati velik zavisnost . ,1,0
slatkiš od čokolada ,1,0
forma vladavina u koji jesam vlast koncentrisan u ruka jedan osoba ,1,0
politički teorija koji propagirati kolektivno vlasništvo u besklasan društvo ,1,0
Tražiti nešto što vi pripadati ili jesam vaš vlasništvo ; tvrditi da jesam taj vaš prava . ,1,0
ulaz u biti koji telesni šupljina ,1,0
kineski knedla ispuniti začinjen mleven svinjski meso ; obično se služiti u supa ,1,0
umetnik iz perioda romantizam ili koji jesam pod uticaj romantizam . ,1,0
antivirusni protein koji proizvoditi ćelija koji jesam napasti virus ; sprečavati razmnožavanje virus ,1,0
Učiniti nešto velik ili da nešto biti više . ,1,0
čin osiromašivanje neki ,1,0
zbog šteta koji jesam nanositi u poxlima već jesam istrebiti ,1,0
"negodovati , kao protiv politika ; takođe i metaforički . ",1,0
koji nedostajati dobar raspoloženje ,1,0
elektronski uređaj koji pojačavati snaga signal koji kroz on prolaziti . ,1,0
krasti dobra ,1,0
Učiniti da se raširiti . ,1,0
Učiniti čvrst ili čvrst . ,1,0
Švajcarski pisac ( roditi u Nemačka ) čiji roman i pesma odražavati njegov interesovanje za istočnjački duhovan vrednost ( @card@ ) . ,1,0
bogatstvo koji jesam naslediti a ne zaraditi . ,1,0
velik vojni vežba u cilj obuka . ,1,0
skup jednačina dva ili više promenljiv za koji postojati vrednost koji zadovoljavati sav jednačina istovremeno ,1,0
osoba koji posedovati mnogo materijalan dobro i novac ,1,0
antigen krvni grupa koji imati Rh pozitivan osoba ; ako Rh negativan osoba dobiti transfuzija krv od Rh pozitivan osoba moći doći hemolize ili anemija . ,1,0
Široko poznat ličnost . ,1,0
Psihološko stanje neki ko funkcionisati na zadovoljavajući nivo emocionalan prilagođavanje i ponašanje . ,1,0
letelica koji jesam potreban izvor energija da biti pletela i održati se u vazduh ,1,0
"uzrokovati bol , unesrećiti ",1,0
svečan čin valdaočevog ustoličenje ,1,0
navlaka koji prerušavati ili štititi lice . ,1,0
droga koji moći da proizvesti stanje opijenost . ,1,0
krst čiji jesam krak u oblik trougao ili strelica koji pokazivati ka centar ,1,0
"prisiliti ili privoleti ili neprestano terati ili prisiljujući pritisak vršiti , ili snažno motivisati ",1,0
( prava ) prava i ovlašćenje za tumačenje i primena zakon ,1,0
( računarstvo ) prozor za aktivan aplikacija ,1,0
"neaktivan vulkan na Sicilija , poslednji erupcija jesam biti @card@ ; visok vulkanski planina u Evropa ",1,0
fabrički mešavina za pravljenje limunada ,1,0
preterano velik ,1,0
promeniti se iz gasovit u tečan stanje ,1,0
skup vrednost nezavisan promenljiv za koji jesam funkcija definisati ,1,0
položaj na kakav skala ,1,0
govorni čin koji se nešto tražiti . ,1,0
vremenski period koji jesam pod nečiji kontrola i koji ga smatrati dovoljan za postizanje nešto . ,1,0
alatka koji se koristiti za rezanje ili sečenje ,1,0
"koji se lako upravljati , koji ustupati . ",0,1
velik zeba ,1,0
supstanca koji činiti telo . ,1,0
osoba iz vaš zemlja ,1,0
mesto za koji se tvrditi da postojati u verski ili književan spis ,1,0
"šupljina u udubljenje temporalan kosti , koji okruživati unutrašnji uvo koji činiti zamrsiti sistem cev i šupljina , u vida tvrd sklerotičan kosti ",1,0
čin izraditi film ,1,0
dobiti neki bolest . ,1,0
Nešto za šta se verovati da donositi sreća . ,1,0
upozoriti na opasnost ili pozvati u stanje pripravnost . ,1,0
velik australijski skampi ,1,0
jevrejski praznik koji se slaviti šesti Sivan koji se slaviti Mozesovo primanje deset zapovest ,1,0
Čin uklanjanje dlaka brijač . ,1,0
Ući ili poprimiti odrediti stanje . ,1,0
škola koji pružati praktičan stručan i tehnički obuka ,1,0
osoba čiji kreativan rad pokazivati senzitivnost i mašta . ,1,0
biti koji životinja koji proizvoditi polni ćelija ( spermatozoid ) koji moći da oploditi žense polni ćelija ( jaje ) . ,1,0
